"","Genotype","Day","Speed","Distance"
"89","trioWT",9,12.9358954316791,355.866483325493
"90","trioWT",9,9.46115320327168,260.276324622004
"91","trioWT",9,8.58377723349123,236.139711693344
"92","trioWT",9,9.79101139585099,269.350723499861
"93","trioWT",9,13.9842891971639,321.63865153477
"94","trioWT",6,10.8998065758217,353.26273112238
"95","trioWT",6,8.56760871452071,277.676198437616
"96","trioWT",6,9.24550256652351,299.646738181027
"97","trioWT",6,8.8365401292164,286.392265587904
"98","trioWT",6,14.5682658219703,472.157495290059
"99","trioWT",10,8.53006963961369,279.10387860816
"100","trioWT",10,10.1782449146514,333.032173607395
"101","trioWT",10,7.55885736076021,247.325812844074
"102","trioWT",10,10.5854804920519,346.356921699939
"103","trioWT",10,15.2034940753979,497.45832614702
"104","trioWT",12,9.19115597058005,276.102325356225
"105","trioWT",12,8.95071795607812,268.879567400587
"106","trioWT",12,14.0035562336332,420.66682925834
"107","trioWT",12,11.615289453083,348.923295170613
"108","trioWT",12,16.5972072629266,498.580106178316
"109","trioWT",14,13.7512915030541,454.617697090967
"110","trioWT",14,15.7396836299661,520.353940806678
"111","trioWT",14,15.5838064299394,515.200640573796
"112","trioWT",14,16.1897918501643,535.234518566432
"113","trioWT",14,9.10664055141379,301.06553662974
"114","trioG85R",2,15.8451672598104,209.79001451989
"115","trioG85R",2,10.7934987053681,316.357447054339
"116","trioG85R",2,9.64150481397265,282.592506097538
"117","trioG85R",2,12.5648460155866,368.275636716844
"118","trioG85R",2,16.0232225550877,469.64065308962
"119","trioG85R",3,6.11220358147349,179.637663259506
"120","trioG85R",3,11.9586493996008,351.464705854267
"121","trioG85R",3,7.90939358929256,232.457077589308
"122","trioG85R",3,12.0702249188437,354.743910364816
"123","trioG85R",3,8.10493286037937,238.20397676655
"124","trioG85R",7,11.849426783143,337.35318051608
"125","trioG85R",7,15.7469884343626,448.316760726304
"126","trioG85R",7,9.60938641845375,273.579231333378
"127","trioG85R",8,17.765801427994,504.19344452647
"128","trioG85R",8,11.6995506344513,332.033247005729
"129","trioG85R",8,13.3485448193812,378.831701974037
"130","trioG85R",9,11.6944956695314,343.467337814137
"131","trioG85R",9,14.5686580615154,427.881487266706
"132","trioG85R",9,3.0336323004446,89.0977806640578
"133","trioG85R",9,9.41847668981702,276.620660379926
"134","trioG85R",6,7.7874877932132,216.725785285123
"135","trioG85R",6,11.5609687781968,321.741761097216
"136","trioG85R",6,8.84723479088651,246.218544230372
"137","trioG85R",10,13.2427482676554,501.370449413432
"138","trioG85R",10,13.628458233914,515.973428735985
"139","trioG85R",10,15.780090633955,331.381903313056
"140","trioG85R",10,12.1191321060155,458.830341533747
"141","trioG85R",10,13.2852820324331,502.980777747918
"142","trioG85R",12,13.3633681221277,371.36800011393
"143","trioG85R",12,11.7437933194199,326.36001634668
"144","trioG85R",12,12.1635172574698,338.024144585087
"145","trioG85R",12,14.7928107002109,411.092209358861
"146","trioG85R",14,12.4484879851283,349.678027502255
"147","trioG85R",14,10.2659577977647,288.370754539211
"148","trioG85R",14,8.30214894677196,233.207363914824
"149","trioG85R",14,10.670211684668,299.726246222325
