Leg #,ID,Organism #,Genotype,Sex,Leg Location,Shortest Primary Branch (um),Longest Primary Branch (um),Mean Primary Branch Length (um),#Primary Branches,Mito:Branch in Random Branch #1,Mito:Branch in Random Branch #2,Mito:Branch in Random Branch #3,Mito:Branch in Random Branch #4,Mito:Branch in Random Branch #5,Mito:Branch in Random Branch #6,Avg Mito:Branch Length
35,26_GCH_M_B,26,G85R cr/hr,M,back,39.7,189.9,86.8,15,0,0.02,0,0.01,0.03,0.05,0.02
36,17_GCH_F_F,17,G85R cr/hr,F,front,26.4,205.2,69.3,16,0.1,0.07,0.4,0.07,0.26,0.18,0.18
37,01_GCH_M_F,1,G85R cr/hr,M,front,11.1,217.3,91.9,18,0.54,0.34,0.25,0.28,0.36,0.31,0.35
38,16_GCH_F_M,16,G85R cr/hr,F,middle,25.7,156.5,75.6,18,0.19,0.34,0.33,0.32,0.15,0.16,0.25
39,24_GCH_M_B,24,G85R cr/hr,M,back,6.7,123.9,51.9,29,0.12,0.25,0.4,0.27,0.36,0.13,0.25
40,12_GCH_F_F,12,G85R cr/hr,F,front,7.7,144.7,56.9,20,0.13,0.35,0.31,0.28,0.34,0.39,0.3
41,18_GCH_F_B,18,G85R cr/hr,F,back,13.7,191.5,86.3,17,0.22,0.41,0.24,0.29,0.2,0.25,0.27
42,25_GCH_M_F,25,G85R cr/hr,M,front,5.9,147.2,60.8,19,0.28,0.32,0.3,0.31,0.38,0.21,0.3
43,13_GCH_F_M,13,G85R cr/hr,F,middle,14.5,198.6,64.2,24,0.31,0.23,0.2,0.24,0.28,0.35,0.27
44,13_GCH_F_B,13,G85R cr/hr,F,back,14,239,72.9,24,0.32,0.36,0.2,0.37,0.25,0.3,0.3
45,10_GCH_M_F,10,G85R cr/hr,M,front,15.86,106.14,58.76,12,0.03,0.06,0.06,0,0.1,0,0.04
46,09_GCH_M_F,9,G85R cr/hr,M,front,10.86,178.46,55.9,15,0.05,0.09,0.01,0.2,0,0,0.06
47,24_GCH_M_F,24,G85R cr/hr,M,front,14.32,167.42,101.21,13,0.35,0.29,0.35,0.07,0.1,0.11,0.21
48,01_GCH_M_M,1,G85R cr/hr,M,middle,13.13,162.12,65.31,14,0.25,0.18,0.27,0.16,0.46,0.19,0.25
49,26_GCH_M_M,26,G85R cr/hr,M,middle,24.43,209.31,93.21,9,0,0,0,0,0,0,0
50,10_GCH_M_B,10,G85R cr/hr,M,back,7.54,87.32,56.43,16,0.23,0.23,0.26,0.53,0.25,0.29,0.3
51,21_GC_M_M,21,G85R cr/cr,M,middle,14.8,166.6,74.1,12,0.2,0.25,0.22,0.26,0.23,0.19,0.23
52,22_GC_M_M,22,G85R cr/cr,M,middle,4.5,262.1,84.3,16,0.19,0,0.29,0.28,0.45,0.36,0.26
53,14_WT_F_F,14,Sod WT,F,front,15.8,230.8,95.4,17,0.23,0.73,0.22,0.16,0.29,0.35,0.33
54,11_WT_M_B,11,Sod WT,M,back,27.3,119.2,60,12,0.23,0.13,0.12,0.22,0.22,0.3,0.2
55,07_WT_F_M,7,Sod WT,F,middle,17.4,111.4,62.9,18,0.17,0.29,0.32,0.28,0.13,0.22,0.24
56,09_WT_F_F,8,Sod WT,F,front,12.8,251,73.5,20,0.2,0.39,0.23,0.17,0.58,0.31,0.31
57,11_WT_M_F,11,Sod WT,M,front,16.5,149.1,58.5,15,0.24,0.31,0.22,0.29,0.42,0.18,0.28
58,06_WT_F_M,6,Sod WT,F,middle,20.6,168.6,66,19,0.29,0.11,0.27,0.19,0.19,0.27,0.22
59,14_WT_F_B,14,Sod WT,F,back,43.7,183.11,110.1,9,0.21,0.34,0.21,0.31,0.36,0.34,0.3
60,08_WT_F_B,8,Sod WT,F,back,15.9,158.2,57.2,21,0.35,0.26,0.48,0.29,0.31,0.38,0.34
61,04_WT_M_B,4,Sod WT,M,back,15.5,203.7,74.6,19,0.17,0.15,0.11,0.13,0.26,0.12,0.16
62,05_WT_F_F,5,Sod WT,F,front,10.7,193.4,56,23,0.24,0.19,0.42,0.17,0.3,0.24,0.26
63,04_WT_M_M,4,Sod WT,M,middle,13.8,197.5,97.8,20,0.2,0.22,0.24,0.21,0.26,0.28,0.24
64,11_WT_M_M,11,Sod WT,M,middle,12.2,127.8,47.8,19,0.35,0.18,0.26,0.31,0.51,0.08,0.28
65,14_WT_F_F,14,Sod WT,F,front,14.05,188.4,78.02,18,0.22,0.17,0.21,0.28,0.32,0.19,0.23
66,00_WT_M_B,0,Sod WT,M,back,24.88,135.25,75.44,20,0.11,0.17,0.22,0.17,0.22,0.29,0.2
67,07_WT_F_B,7,Sod WT,F,back,28.87,127.91,79.9,11,0.31,0.38,0.29,0.23,0.1,0.17,0.25
68,06_WT_F_F,6,Sod WT,F,front,19.46,103.85,57.76,11,0.05,0.28,0.35,0.04,0.04,0.16,0.15
