"","FBgn","Symbol","CHR","Complex","A3FH1","A3FH2","A3FH3","A3MH1","A3MH2","A3MH3","A40FH1","A40FH2","A40FH3","A9FH1","A9FH2","A9FH3","A9MH1","A9MH2","A9MH3","S3FH1","S3FH2","S3FH3","S3MH1","S3MH2","S3MH3","S40FH1","S40FH2","S40FH3","S9FH1","S9FH2","S9FH3","S9MH1","S9MH2","S9MH3"
"ND-B16.6","FBgn0029868","ND-B16.6","X","Complex I",0.841156525338573,0.7333888157986,0.755471147708101,-0.224615209838732,0.255584405891041,-0.159412985877301,-1.7150095461063,-1.30044284778322,-0.791030396495162,-0.464957755523753,-0.462304164252528,1.25989426888379,-0.869381368976279,-0.990289264584314,-1.09283436265389,1.59090992465213,-0.674231624219133,1.46938128111846,-0.0828827756671925,-0.407666488226558,-0.0168083350919163,-0.0852076701610884,2.44305389867083,-0.297031569720767,0.0906903438482264,0.869774571080841,-0.258071467737498,1.50362504051574,-0.451637390620604,-1.46911499997007
"ND-ASHI","FBgn0029888","ND-ASHI","X","Complex I",0.692059458204526,0.22598600173002,0.683657323063282,-0.0452658705076637,0.330323161288388,0.587011072315946,-1.8589307549714,-1.35211960553943,-1.04785016009157,-0.659144588860917,-0.0264327656172328,0.821612422928011,-1.10299463945155,-1.1854588451177,-0.720475780929063,1.69070793295232,-0.462284052042039,0.984522448602237,0.278783412589534,0.0641856272661845,0.387479181943378,0.166888668670076,1.59210392725045,-0.32322626145675,-0.294430702926931,1.40086396697406,-0.179614136619757,2.04422743553574,-1.13508341612605,-1.55710046105609
"CG11752","FBgn0030292","CG11752","X","Complex I",1.04705107238029,0.831117301644738,1.09478837778845,0.414753049997328,0.218228684144679,-0.30547676605679,-1.58587434412472,-1.12347299808778,-0.93338920209277,-0.571107888237731,-0.527238209466089,0.363148661985265,-1.00505426302646,-1.03580304205997,-0.97222776043162,1.57039948743215,0.0918735931490599,2.31654891683299,-0.416863790983819,0.141003809337227,-0.0440140797287769,-0.398034847238396,0.634160249257787,-0.675186031356495,-0.446314607764435,1.40246502594424,0.325475037169474,1.84684807662319,-1.17334794035755,-1.08445557267345
"ND-B18","FBgn0030605","ND-B18","X","Complex I",0.393337181088163,0.53065808599674,0.0966859004089932,0.0620154240489565,0.572575207161316,-0.00874948092220292,-1.42364448486442,-1.14110053134418,-0.786991913840915,-0.639444601168443,-0.340845529206576,0.66328271592634,-1.26890056863664,-1.27469877321202,-1.01108299251575,1.94968620001592,0.0904804805073633,2.72943734530959,0.210812825174147,0.0517234883795752,0.234758129186396,-0.262092660902053,0.349373177340945,-0.31279362694571,0.0463027513886046,0.953091888969466,0.865983269210455,1.39957128818511,-1.19468924455828,-1.5347409501809
"ND-20","FBgn0030718","ND-20","X","Complex I",1.12439921375942,1.19955627039357,0.905100594905972,0.468545551144884,0.341243475323602,0.265043707354949,-1.33570287610919,-1.30350923312946,-1.05453723833296,-0.566084871069376,-0.429389965378373,0.769750083336072,-0.153849743620951,-0.887606353199657,-0.531858147868866,1.13893338775448,-0.0110032998494787,-0.120023457831003,0.0944924947263805,0.0121553919681201,0.165011505672187,-0.30210997554813,2.30536120448958,-0.0395215599407578,-0.157534711391174,-0.369523614478773,-0.605601981722481,2.35849482117255,-1.46947158977129,-1.81075908275985
"ND-24","FBgn0030853","ND-24","X","Complex I",0.515908652574051,0.520082225456115,0.706993397793942,0.101912072708642,0.330906569362258,0.217256009863731,-0.944527388650577,-1.28089726695879,-0.442089772703998,-0.096207448686029,-0.547576273126517,0.628034855456747,-0.706308374109651,-0.551970633457336,-0.484091643071016,0.30206156797442,0.0462004243401645,-0.242486273739235,-0.503571388503967,0.24747367097654,0.348939175757347,-0.268487228069899,0.943933549736068,-0.713751599363329,-0.17083096607523,0.216870689711354,0.115282463325127,4.23791358211325,-1.15570940466645,-1.37126324596775
"ND-18","FBgn0031021","ND-18","X","Complex I",1.45413833782743,1.06960717917021,1.30188189350097,0.314212620024654,0.387842036781558,0.452534557519467,-1.20137334051597,-1.63275946581265,-0.625018544067709,0.0590588286232918,-0.95005794332557,0.858760642205689,-1.27017414357878,-0.525945430974745,-0.531836716838087,0.98277708559341,0.472791973081706,1.06353378824851,-0.271175848107118,0.550671972240249,0.516637511787093,-0.662837404241423,-0.43971590462502,-1.35239820012908,-0.612229891433183,0.384639825641586,0.737122333597874,2.22513061349346,-1.51188753154284,-1.24393083414501
"ND-15","FBgn0031228","ND-15","2L","Complex I",-0.399064452466551,-0.594960674916952,-0.719112023961686,-0.441389724488841,-0.351929850249312,-0.465575868721355,-1.84028239341883,-1.0018881565128,-1.40543889116072,-1.14795917587592,-0.48394066099793,-0.379270416131731,-0.149950743400622,-1.16725759092083,-1.41169216337421,1.68738967016946,-0.0301754709599494,1.22892893855558,1.45152161875137,0.488326424855871,0.628775724259874,0.851035431765979,2.02451921164874,0.544548580347319,0.684292851326667,1.25614660062475,0.338082265614836,1.21997219459421,-0.0622439826773897,-0.35140727227901
"ND-B17.2","FBgn0031436","ND-B17.2","2L","Complex I",0.0791398272032122,-0.0478267904795736,-0.134564138506232,0.0786004728233409,0.12063008181946,-0.114429440892116,-1.61778819683074,-1.16730499412461,-1.10424711160035,-0.620864072694706,-0.567383218149497,-0.00859925020287755,-0.552888144364496,-0.863658986847215,-0.805103317739902,1.18068955132818,0.0152423559640504,1.37037261010143,0.425885716591611,0.584199169280242,0.509255450301785,-0.0906987815210556,0.102639496491336,-0.445608427843026,0.02792723569609,0.897585302379152,0.113358987073231,3.91753028348589,-0.44956044394885,-0.832531224793754
"ND-B14.5B","FBgn0031505","ND-B14.5B","2L","Complex I",0.546105156249073,-0.091143621321953,0.186525746301985,0.315251476531983,0.133856219526645,0.093418363204883,-1.14912463575631,-0.934165417387487,-1.00212651286821,-0.673184212945852,-0.573336299285068,0.292158438566531,-0.278402288627835,-0.942248677354559,-0.58944010192087,1.2852759749343,-0.551487943961131,2.19767215596277,0.0892261557887057,0.0976482952323585,-0.246247064796348,-0.538725044813343,-0.669822503955571,-0.540144631931465,-0.178518340639606,1.19823001092726,-0.103532272437256,3.60014180364038,-0.0703818391481223,-0.903478387715887
