Well Position,Sample,Genotype,Plate,Biological replicate,Technical replicate,Concentration ,Primer,Cq,Cq Mean,Cq Confidence,Cq SD,Efficiency,Censor,Comments
C3,WT1 5,WT-cr,B,1,3,5,PyK,31.25132611,31.49187141,0.987442215,0.373136849,no,no,
C4,WT2 5,WT-cr,B,2,1,5,PyK,34.93194135,33.2023967,0.97414719,1.497876756,no,no,
C5,WT2 5,WT-cr,B,2,2,5,PyK,32.34950951,33.2023967,0.985807522,1.497876756,no,no,
C6,WT2 5,WT-cr,B,2,3,5,PyK,32.32573924,33.2023967,0.988877166,1.497876756,no,no,
C7,WT3 5,WT-cr,B,3,1,5,PyK,23.5535466,23.55417168,0.989386426,0.011342166,no,no,
C8,WT3 5,WT-cr,B,3,2,5,PyK,23.54315498,23.55417168,0.987440804,0.011342166,no,no,
C9,WT3 5,WT-cr,B,3,3,5,PyK,23.56581347,23.55417168,0.99096842,0.011342166,no,no,
D1,WT1 5,WT-cr,B,1,1,5,p53,33.37227798,33.39711901,0.980760907,0.380837788,no,no,
D2,WT1 5,WT-cr,B,1,2,5,p53,33.78976921,33.39711901,0.983577354,0.380837788,no,no,
D3,WT1 5,WT-cr,B,1,3,5,p53,33.02930984,33.39711901,0.983626472,0.380837788,no,no,
D4,WT2 5,WT-cr,B,2,1,5,p53,32.87721316,33.42145255,0.986064997,0.491406903,no,no,
D5,WT2 5,WT-cr,B,2,2,5,p53,33.55452779,33.42145255,0.79027755,0.491406903,no,no,
D6,WT2 5,WT-cr,B,2,3,5,p53,33.83261669,33.42145255,0.98773749,0.491406903,no,no,
D7,WT3 5,WT-cr,B,3,1,5,p53,26.44564981,26.39342043,0.986223552,0.0463776,no,no,
D8,WT3 5,WT-cr,B,3,2,5,p53,26.37755026,26.39342043,0.985358625,0.0463776,no,no,
D9,WT3 5,WT-cr,B,3,3,5,p53,26.35706121,26.39342043,0.978669526,0.0463776,no,no,
E1,Idgf6 RNAi 1 5,"221> Idgf6 RNAi, G85R",B,1,1,5,PyK,24.43225007,24.42747979,0.987068435,0.06540665,no,no,
E2,Idgf6 RNAi 1 5,"221> Idgf6 RNAi, G85R",B,1,2,5,PyK,24.4903707,24.42747979,0.981315218,0.06540665,no,no,
