Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Threshold,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Curve Quality,Result Quality Issues
C8,false,KD3 (5ng),RP49,Unknown,SYBR,16.067381643025726,0.9742696442904935,1.5330288292796952,Amp,false,0.42262132729843505,3,10,86.0693588256836,,,,,
C9,false,KD3 (5ng),RP49,Unknown,SYBR,14.747377296754472,0.9868057601845699,1.5490169155528735,Amp,false,0.42262132729843505,3,9,85.61274719238281,,,,,
D1,false,GR1 (5ng),Pepck-1,Unknown,SYBR,20.99785968112343,0.9806747421729156,1.4779784799094409,Amp,false,0.3924918296296407,3,15,89.08157348632812,,,,,
D2,false,GR1 (5ng),Pepck-1,Unknown,SYBR,20.97168227190287,0.9818257409380673,1.4798296633757189,Amp,false,0.3924918296296407,3,15,89.08157348632812,,,,,
D3,false,GR1 (5ng),Pepck-1,Unknown,SYBR,20.721060440633998,0.9830012661964695,1.495902679213182,Amp,false,0.3924918296296407,3,15,89.08055877685547,,,,,
D4,false,GR2 (5ng),Pepck-1,Unknown,SYBR,22.060707939636586,0.9783103568494332,1.4835378951500922,Amp,false,0.3924918296296407,3,15,89.08055877685547,,,,,
D5,false,GR2 (5ng),Pepck-1,Unknown,SYBR,21.96464675422446,0.9898409118517665,1.4933981089830004,Amp,false,0.3924918296296407,3,16,89.37945556640625,,,,,
D6,false,GR2 (5ng),Pepck-1,Unknown,SYBR,21.883077564757798,0.9897464746483001,1.498171582409054,Amp,false,0.3924918296296407,3,15,89.37945556640625,,,,,
D7,false,GR3 (5ng),Pepck-1,Unknown,SYBR,21.870683227775544,0.9919244618857826,1.4867667609560118,Amp,false,0.3924918296296407,3,15,89.38714599609375,,,,,
D8,false,GR3 (5ng),Pepck-1,Unknown,SYBR,21.705992604413616,0.9841302882903809,1.4959024286121168,Amp,false,0.3924918296296407,3,16,89.38714599609375,,,,,
D9,false,GR3 (5ng),Pepck-1,Unknown,SYBR,21.906099962802593,0.9833539770067141,1.4828061252692464,Amp,false,0.3924918296296407,3,16,89.0908203125,,,,,
