"","GO:0005515","GO:0003735","GO:0005524","GO:0030554","GO:0032559","GO:0035639","GO:0017076","GO:0000166","GO:1901265","GO:0032553","GO:0032555","GO:0016887","GO:0031491","GO:0016874","GO:0003682","GO:0003723","GO:0017147","GO:0051087","GO:0044183","GO:0008092","GO:0009055","GO:0015631","GO:0004812","GO:0016875","GO:0030145","GO:0008017","GO:0036094","GO:0048038","GO:0008139"
"GO:0031491",0.127,0,0.103,0.104,0.104,0.106,0.107,0.109,0.109,0.107,0.107,0,0.998,0,0.811,0.114,0.078,0.082,0,0.101,0,0.093,0,0,0.078,0.09,0.11,0.073,0.076
"GO:0016874",0,0,0,0,0,0,0,0,0,0,0,0.196,0,0.989,0,0,0,0,0,0,0.174,0,0.864,0.864,0,0,0,0,0
"GO:0003682",0.165,0,0.128,0.129,0.129,0.132,0.133,0.136,0.136,0.133,0.133,0,0.811,0,0.988,0.144,0.091,0.097,0,0.123,0,0.112,0,0,0.091,0.108,0.138,0.085,0.089
"GO:0003723",0.22,0,0.442,0.446,0.445,0.459,0.464,0.477,0.477,0.464,0.463,0,0.114,0,0.144,0.943,0.106,0.113,0,0.151,0,0.135,0,0,0.105,0.129,0.174,0.097,0.102
"GO:0017147",0.363,0,0.097,0.097,0.097,0.099,0.1,0.101,0.101,0.1,0.1,0,0.078,0,0.091,0.106,0.999,0.242,0,0.293,0,0.272,0,0,0.074,0.265,0.103,0.07,0.073
"GO:0051087",0.393,0,0.103,0.104,0.104,0.106,0.106,0.108,0.108,0.106,0.106,0,0.082,0,0.097,0.113,0.242,0.998,0,0.312,0,0.288,0,0,0.078,0.28,0.11,0.073,0.076
"GO:0044183",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998,0,0,0,0,0,0,0,0,0,0
"GO:0008092",0.545,0,0.134,0.135,0.135,0.138,0.139,0.143,0.143,0.139,0.139,0,0.101,0,0.123,0.151,0.293,0.312,0,0.983,0,0.89,0,0,0.094,0.858,0.145,0.087,0.092
"GO:0009055",0,0,0,0,0,0,0,0,0,0,0,0.163,0,0.174,0,0,0,0,0,0,0.998,0,0.156,0.156,0,0,0,0,0
"GO:0015631",0.477,0,0.121,0.121,0.121,0.124,0.125,0.128,0.128,0.125,0.125,0,0.093,0,0.112,0.135,0.272,0.288,0,0.89,0,0.993,0,0,0.087,0.96,0.13,0.082,0.085
"GO:0004812",0,0,0,0,0,0,0,0,0,0,0,0.173,0,0.864,0,0,0,0,0,0,0.156,0,0.997,0.997,0,0,0,0,0
"GO:0016875",0,0,0,0,0,0,0,0,0,0,0,0.173,0,0.864,0,0,0,0,0,0,0.156,0,0.997,0.997,0,0,0,0,0
"GO:0030145",0.116,0,0.424,0.097,0.097,0.433,0.099,0.101,0.101,0.099,0.099,0,0.078,0,0.091,0.105,0.074,0.078,0,0.094,0,0.087,0,0,0.999,0.085,0.102,0.07,0.072
"GO:0008017",0.455,0,0.116,0.117,0.117,0.119,0.12,0.123,0.123,0.12,0.12,0,0.09,0,0.108,0.129,0.265,0.28,0,0.858,0,0.96,0,0,0.085,0.995,0.125,0.08,0.083
"GO:0036094",0.207,0,0.871,0.878,0.877,0.157,0.912,0.937,0.163,0.912,0.91,0,0.11,0,0.138,0.174,0.103,0.11,0,0.145,0,0.13,0,0,0.102,0.125,0.958,0.095,0.099
"GO:0048038",0.107,0,0.09,0.09,0.09,0.091,0.092,0.094,0.094,0.092,0.092,0,0.073,0,0.085,0.097,0.07,0.073,0,0.087,0,0.082,0,0,0.07,0.08,0.095,1,0.068
"GO:0008139",0.113,0,0.094,0.094,0.094,0.096,0.097,0.098,0.098,0.097,0.096,0,0.076,0,0.089,0.102,0.073,0.076,0,0.092,0,0.085,0,0,0.072,0.083,0.099,0.068,0.999
