"","TktOEWT1","TktDfWT1","WT1","TktDfGR1","GR1","TktOEGR1","TktOEWT2","TktDfWT2","WT2","TktDfGR2","GR2","TktOEGR2","TktOEWT3","TktDfWT3","WT3","TktDfGR3","GR3","TktOEGR3","TktOEWT4","TktDfWT4","WT4","TktDfGR4","GR4","TktOEGR4"
"2-keto-isovaleric acid",16846835980,24071857550.8242,23034146620.8137,43368790436.8734,23556981821.8817,19407527359.5566,19622442391.3021,16920593179.2762,32174646719.7507,31893598145.7723,24268954405.9737,17594566179.7141,20260829466.1956,18952936285.8401,12192341946.8906,41173779740.2047,21005675990.7753,30519043352.3646,26335674278.3003,25283710953.4915,22128288390.1659,38221200376.9792,46844397181.4423,36262899288.6701
"2-ketovaleric acid",NA,1042944745.11879,NA,NA,1105132689.80397,NA,1634555215.4754,NA,1409615334.33052,NA,NA,NA,NA,NA,NA,NA,NA,1758459245.52153,NA,NA,NA,NA,NA,NA
"2-oxoadipic acid",13348418660,6177213177.20767,36121326807.2951,7309507936.6752,9000269120.6128,11285493502.8322,18988925694.3593,8752231343.35888,31657285954.6286,4663420565.40916,6152439009.10218,16402133198.3226,11750809633.3336,4925899293.61406,12495988550.3153,6675526338.68106,13423282413.7237,14408671548.4354,15754649747.2489,6081598059.82831,22485254150.1109,7483318426.83397,9332138549.50123,13015035604.94
"2-oxobutanoic acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3- / 4-hydroxyphenylacetic acid",12033933640,5119420698.34261,6260296031.98806,5179038856.01174,27317708751.2525,19062139582.5128,14996843780.7491,7660987002.12368,14910403285.0266,17299298140.4942,12670550048.1239,10705657998.6437,9196187713.09773,8317846096.72219,3863647797.34536,13704193434.8957,25963788427.8362,15053448966.3187,24922933321.8963,26729108825.0895,19248754243.9475,17023609582.5615,70515275857.3215,26414661468.3248
"3- / 7-methylguanine",3404208326,8682524606.21962,9326363800.53842,3911978128.19262,6628540266.11902,1897544422.66484,10517888399.4138,8666892022.82314,11658336330.9699,6731623376.59679,5766790088.06633,3971454694.83432,6387597424.31504,10089326866.4695,4073560879.47567,4857345281.55372,10290523533.6233,7892830987.44369,11790700914.7729,11115194861.0893,8689756595.03313,4739923692.27024,3929371121.95085,6180249231.56771
"3,4-dihydroxymandelic acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3,4-dihydroxyphenylpropanoate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3-hydroxy-anthranilic acid",1073340668,3139316263.33772,1752800886.23164,2516008180.85437,2251123675.67967,1923051668.9422,2452721073.42105,2149990470.79976,2208699117.90508,2013123276.6356,1901494705.97726,1050678912.71609,2225810152.54284,2248437542.30622,1181365739.21036,2019396063.18812,2245599408.9189,2084555496.12677,3149735212.4595,3213012140.69897,2883432996.17924,2221742435.4679,1980136190.94514,1631654771.81536
"3-hydroxybutanoic acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3-hydroxykynurenine",23702240460,29183816536.498,15924954908.3042,10014637863.0197,15975232507.3611,6474573611.78802,37488735965.1368,26324063308.8824,27521990861.9707,6643122404.86585,10637533532.4833,6734019554.70378,24485894215.7192,21482927511.918,32356185742.3894,18291363046.7623,13971473010.934,9835908487.42135,55079569000.2918,30275710091.9865,21532982235.2983,19746286670.8995,7577527143.78968,8991723975.25439
"3-hydroxypropanoic acid",31130913880,56069047395.6486,31711760974.504,131649625736.262,119010732084.266,54218123300.0956,102075735522.635,126990873498.684,98587918190.2555,41543920701.5734,NA,150021566880.156,130908131240.024,166791061850.108,68714434315.7601,89235397963.3454,29288317552.2603,113119251215.994,210015217328.24,110777224999.605,177637434232.059,2188513505.74476,93566610524.8963,160729957739.137
"3-methoxytyramine",1690653309,1127841761.42056,1161587318.15966,1193000606.15667,1861175893.37293,2952195611.10693,1244757270.36432,930133955.04751,1444953087.52624,1003522238.74086,1125070156.61605,1396455733.26787,1166326770.7578,600795049.495432,485844479.038735,987029557.739529,899822808.447866,1516672531.77865,891496219.393377,2077406365.46297,1147736861.80133,792041995.361835,363390522.590447,999218002.243978
"3-phosphohydroxypyruvic acid",3262922267,4361721403.98279,3677181763.61608,7789268650.67009,4516704198.49226,4153245054.77005,1825806317.72067,4213977635.31754,3561179636.55734,3755573595.39489,1724481215.69903,4120818461.10554,2213820423.44137,2201442923.12226,4420440999.46059,4527390984.0035,3426319397.29215,4593881901.23171,2054621815.51355,2804157929.45179,3218753560.40484,5849778306.52461,2995125456.85769,3615145533.00656
"3-phospho-serine",3795462162,6636232004.60939,10333316861.222,1530929121.22912,953771889.865303,564152846.881058,4148346291.62278,6229838359.48047,2606961754.00978,1320061220.83586,652820001.261959,880614664.28483,2721569272.50824,4766494810.77208,7586858947.50855,1396910108.71898,1010577579.93284,612277451.83826,3816730281.47538,5675835500.48887,5219172598.14965,1288445097.46009,452495191.686047,604711815.939037
"3-ureidopropionic acid",858131054.4,507240635.018629,832949559.570322,531838004.463481,630232923.702946,153318746.419858,976069726.838946,410013201.902044,901316358.711206,658165130.864224,991064597.135639,655730562.083937,1126148981.14808,1113897589.08911,385477513.199893,582274245.766154,1263240131.01212,455700282.930629,1189480345.67337,877523853.576173,806032861.736564,858737991.870893,263752113.403798,631782526.403001
"4-hydroxybutanoic acid",3382200453,9677206809.69802,7331416722.16318,5329620439.08673,5259436390.55446,3557662602.41891,7883624958.79022,10074607027.8281,9404134518.15077,7830721731.69866,5366863052.79774,2015776622.19655,11111465995.3252,9561340220.02399,2086764315.89544,5175693753.8296,15069432322.899,4030830822.54379,7874504961.49902,8835856322.50954,7157038958.23993,9110248517.91438,4017966372.03763,4941062836.52506
"4-hydroxyphenylpyruvic acid",NA,66382406.9385195,18415738.7220885,36340037.6474043,40729424.8821491,80095046.6997044,33632600.9870696,14296205.0370108,36013371.7114514,19250596.2327583,91555851.6199017,75612822.4013807,NA,29534364.3097083,112282899.882709,49522498.4847181,16357510.3611412,74954864.3035054,68055073.5867501,146966309.275986,19458114.8497701,158889451.188445,NA,73742740.970961
"4-hydroxyproline / 5-aminolevulinate",31706387860,15467619619.302,31293824097.3716,31489762712.8241,36581965382.5057,30777630109.0272,31485732496.5156,24026284879.0125,38412333897.6312,35001710716.1451,38511712545.2398,46423628759.5748,24105964757.0409,23861947723.9021,25291661155.657,46334334562.0158,36569081187.2743,48724441168.8462,34623385208.8392,22972097407.4231,28981271060.7523,44643915990.1504,31255218176.8576,39651984714.4676
"5-aminopentanoic acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5'-deoxyadenosine",76135224.61,39909192.5705996,293726336.827495,371663616.036425,76201717.3534795,209073351.899125,137591273.137759,159021677.379473,367950102.527876,393808256.643503,430061490.383675,219116089.963511,99960402.5637137,216577995.961887,95412264.1859132,351909989.743069,377405284.124688,365294212.502725,252984442.309096,286639307.906946,219795129.107885,333577438.717905,402010347.381393,316365180.599365
"5-HIAA",4109699517,2316816172.39101,1503256714.33866,1345105482.71598,3296647219.24013,763197876.079006,8382969606.11614,1454174723.80585,2560609133.25966,2484181688.14075,2465976680.20009,1154253873.79826,3279107803.87752,1316486690.33926,807000717.055338,3024192358.18445,2884649686.92185,3875868102.86965,7198112216.01409,2296296378.17154,1325312705.30744,1622942730.97933,1191210497.98272,1825890703.67416
"5-methylcytosine",3305804075,5585004377.08416,5156329401.25526,4592339546.88903,6396158170.65865,2329781130.81154,4887446688.1558,5291743204.24915,6686109365.40329,4675292870.80302,506918986.706322,3721057127.57657,5024262469.73195,5148122589.28384,2136374126.17912,4748190123.44379,5344543016.4881,5293353798.36227,7176854939.45252,5894807288.82787,5929876832.78712,6208690406.69429,3218981802.71768,4963275528.98283
"5-methyl-THF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5'-methylthioadenosine",12210804100,13649717861.6752,19837008972.1838,24356137280.1978,13673741036.4888,16589694901.169,27224114241.7775,19705660338.325,38124375984.3253,21271313646.5728,20646989319.1119,12147022592.4344,27109268335.1697,19264708221.075,21374679424.9334,27580232259.1307,15696649669.2426,14899404044.6293,49261623482.3557,15789751774.4429,23509210839.3267,19455752845.3447,15353502489.3055,14560965103.1743
"6-aminohexanoate",NA,100020822177.446,115634587274.324,85521105760.1344,165509829064.593,127821196122.991,179902185458.595,110610410297.02,153012565785.692,64515615780.1689,202236817944.951,122682539453.509,124251684809.518,83222252566.2362,70604620114.7858,77200279490.8899,225949978692.967,194672752684.098,136355370336.722,91941239813.4528,92636758978.2701,78440523282.1252,93490230160.9515,154422347301.408
"6-O-methylguanine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6-phosphogluconic acid",NA,571906327.210799,2014805355.39106,422250624.491643,763154847.101243,253304220.766351,648754313.268117,248577435.49728,485066775.189546,1792098310.17461,775721090.755005,956802931.15415,423525026.243775,1502012433.43532,1295876791.80124,904832389.61704,643230721.467283,766153075.088745,500172353.045454,835902974.21303,1376723910.74802,869014757.08568,424978525.321724,1067974052.75476
"6-phosphoglucono-D-lactone",NA,NA,19474741.7284306,10730991.772171,NA,NA,NA,10712179.5311455,11085135.6237687,11007161.702234,NA,39128256.2686822,13050369.2762085,NA,NA,19369936.1093545,NA,NA,8785609.71754643,45020264.0703224,9912807.18467005,14146742.9249721,NA,NA
"acetoacetic acid",86579334940,21528788619.7258,15451666637.5133,14175709754.092,26327468680.5234,31416979992.5077,11681006146.4201,10760188424.1218,5849059404.47186,15659498194.4088,14628836333.2855,20023477122.8273,11737017966.2969,10265882767.5065,18117093984.47,11895854319.0694,10441293044.3826,10790373209.251,14022426744.8944,9869367823.61591,10912076728.8064,10106487998.8169,28207471367.2908,12582163527.005
"acetoin -",1452433671,2824147742.6928,3724132763.86122,2620916572.65748,2061155082.47789,1645052684.39051,4455219953.79333,3267007874.95134,4422970184.18199,2627612939.90676,1875590721.06926,1669975178.60105,261109320.063252,2428201638.19588,1469182435.74175,2555553230.61798,1672700861.70064,4000272019.70986,3656321146.71345,3346666651.92912,3141347409.108,3654511411.80744,798735463.248729,3467560131.3141
"acetylcarnitine+",1137932345000,853814810430.903,518530978618.236,458437285863.948,472560120354.353,315055714408.986,677804707323.778,630608609953.282,476807135005.427,426246802476.976,271937602160.613,305181367579.789,545130131790.335,628188593108.693,567027225718.184,429355446388.442,539045636480.762,381844160070.673,516833389210.615,558213612158.311,550808230530.963,349170599428.672,263609620045.081,310095486572.397
"acetylcholine+",37659468270,216834222236.528,66489773533.4295,45619850125.0849,397428284479.456,25842001429.0067,55638933511.8714,120691674872.942,78653065592.0878,54381252454.0757,43992035407.9748,34048244048.5523,129524431651.874,231657291143.762,37731598535.8772,115508990661.972,49931218627.3888,48168952823.6544,109307923020.904,237990206672.467,63455373552.5767,59314640004.1333,260392389595.39,41666938204.4362
"acetyl-CoA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aconitic acid",195107329100,129701274011.962,177925663628.642,125724670733.405,129078232310.443,133998185019.746,175176694741.744,208419857837.478,152426100926.54,194364634628.892,158745902473.575,243225605682.179,123169988861.65,125723764018.412,153286109977.896,210279973219.694,237947605394.768,231100730656.475,128472902038.06,130723633104.981,175348697954.34,145064834912.652,76701214021.8302,176463623787.112
"acrylic acid",172137729900,247130439537,246467528097.56,306719452763.332,418835559333.614,305821366737.722,268070805421.917,234552930868.498,260338605035.954,320021548893.311,323074469727.221,352397652368.402,281299370356.603,242481375739.999,223652784947.183,289726582907.823,333865492350.237,322104818539.332,321432074026.71,266266878684.298,281361123298.178,355193956278.629,352935130799.546,354453166658.221
"adenine",66686761630,78271036719.0035,76070038669.5142,93796746934.9483,154287320361.983,61169113331.8201,129506829048.895,86903833906.2643,101340512415.323,101257477817.636,158257405047.444,77365437175.547,68932540097.9167,82047679613.4686,23819598633.138,121124494739.818,166410564535.619,126550354481.085,140239609390.513,129711734045.919,97566182420.769,117770206492.755,168917623125.278,152251439947.495
"adenosine",618886977400,906456304691.446,688961758879.723,686931548156.734,1000437714214.1,349090715365.275,1186730346419.81,963393352378.803,828362527899.992,751309242798.172,850770839835.473,490906316108.945,541250357998.761,650146413500.386,261683297029.432,720115118112.252,757735082892.926,741092476556.656,1038886480853.51,1070717410900.86,954807255645.127,888925864116.963,513559113880.418,915707511219.258
"adenylosuccinate",218420169,586901537.651514,5340152776.22413,1146542188.52051,872762264.857145,541911021.766747,565332034.229862,1019702689.84454,405454313.378624,1475486775.5486,979168670.87277,1155977088.71553,466103991.988071,1006982209.7163,761112428.927699,1589827322.08798,834328064.798131,716183730.655271,386821344.631887,846152706.348126,676455974.391905,1084906469.7855,423487512.978447,1191264604.75026
"ADP / dGDP",27233413340,35907901705.3308,79099081597.7198,32523197780.8456,34784661030.3941,31188236967.7081,42707559702.1914,48896109677.0948,20966857392.2467,36179074396.1595,35628315933.9363,42657917284.4971,31764731547.4236,38009923179.5624,46257071019.6246,34114914710.3808,31074737791.638,31947900673.8162,30158825403.2128,38674762076.4186,41542498233.7572,41174421263.2045,14702185923.7528,36476180380.175
"ADP-D-glucose",53776443.07,146964384.851496,264244107.329694,100680761.367721,128298713.634677,195283925.17973,125648648.918312,232940720.057956,66261196.8116318,157800453.92202,102486133.548632,74079049.5695147,129932156.852266,178671938.740131,147121641.072095,108694020.001975,137083840.487824,26065704.6628136,96745365.9175007,186172265.953463,169485632.777873,105335785.407149,9731515.74993691,81931508.4502372
"agmatine",2010489142,12550710791.9793,6059981308.74493,13127766731.9421,9218369377.97827,15769211782.2009,13416823663.7745,18693702581.9482,7612391753.36177,10013972282.6769,8023346410.0654,14376374994.1311,21817237225.1173,9489441190.79386,7489393466.20364,11415893028.2557,9004224985.13773,16580075480.6989,21507819073.487,20495123422.7579,8307649836.0918,12232798417.7621,9690177299.99307,14640199361.7896
"AICA ribonucleotide",59586494.55,45961341.5336295,244916710.510891,45133209.5645052,150801120.797858,204297752.154182,276141705.823997,45338642.7881304,554725911.878957,147850972.833952,201506254.230554,234201843.875674,138008811.910288,203671831.744044,285496868.491364,41012234.1189572,170645320.524669,342253250.685421,272424049.049498,316362762.627584,424809694.510618,48797017.3525829,59871976.1081644,201194149.035757
"a-KG",270420347900,315619437434.1,293464795506.879,555708106412.408,323053225290.931,312019544203.085,162403413756.104,379284897449.846,315255772280.834,291714400998.878,149717866365.227,341282807793.711,172607502824.851,196409412804.647,354140013818.749,342644480091.897,262448159975.852,336418761405.175,174296833209.718,218335595969.567,261184064552.625,434956234994.952,257720503861.955,280673170187.354
"alanine",1669358806000,1615897619590.25,1284602418062.44,1522328060597.9,1390520416113,1262301192671.63,1627622786960.47,1633767841919.54,1670789781308.7,1466587172410.19,1229779411978.38,1115833720677.75,1258835996624.79,1836186025839.64,1322191375499.84,1396879404670.17,1200392057214.51,1001039790086.15,1636078005897.87,1511651684712.14,1368843065151.84,1495786838521.83,1581054098294.63,1107718916154.56
"alanine methyl ester",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"allantoin",59051556370,134650696045.542,158879707448.42,99009153129.5822,138602628520.992,63709170200.8178,109271713152.793,140082798373.133,234171933070.978,94398305892.5386,147987302074.833,86557500434.2532,102744945238.08,132838359511.5,81032630600.1299,136710983414.371,176961317178.84,135498047340.376,171464828785.513,142425419765.903,165773502235.127,143936731969.411,77654821743.0854,125899801048.037
"AMP / dGMP",76137494780,138404103901.457,161651557149.808,112133450755.955,127010688069.671,130090135260.358,138300445356.81,143871200073.13,130248995123.123,125334201003.973,126154720243.691,148820156667.603,167389586214.799,139766713990.453,147607307202.782,126420444216.323,146393490995.727,152680689014.526,120282975857.97,153415164636.308,133802625900.438,113821560267.292,62045434192.3207,145546341518.855
"anandamide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"arginine",5979625876000,5513911869165.91,9876846240241.26,5581584400103.51,6425592849028.33,5723833617771.79,6338553965527.22,6543404053146.36,5953576388166.53,6604344954699.38,6182282905213.63,7522831544610.42,4793302987128.62,7174494410013.52,7583042174892.74,6262811188596.92,6725964841079.85,6333168550960.7,7030128644222.54,6839126311936.92,7788630844163.68,6289028158790.89,5726418080885.42,6061366403814.15
"ascorbic acid",186479769800,149020171418.26,256683554330.587,611136356925.133,315896480637.791,371149457969.055,256033392917.138,158130728739.56,120299252837.924,1079272559395.89,537804801106.367,480995211035.165,464682190378.001,234003107719.756,404384615615.271,694744958410.41,569681807129.379,386683494972.669,183820697093.561,32473880824.4768,203250252342.269,512022114498.03,140702897460.298,585964810317.013
"asparagine",288552246300,514082692568.978,459092580203.789,776104288072.391,706715941722.203,440602871073.34,522727462596.482,505000296891.825,520789878584.561,718430767497.325,626718810882.808,556898236373.928,508296762313.087,541994965924.165,619173951884.93,767448195202.948,777040453596.8,553238485460.507,502212269302.14,526499607756.921,516229177373.318,791835217326.525,542125103071.913,554120742277.076
"aspartic acid",28703055870,30286335822.9008,42882568079.9523,17877760940.9281,26396531894.7505,31503173474.1141,43900775388.2185,40267544066.5655,19926427981.1025,50548120404.4165,31642554036.1818,29123162373.6848,39968764954.7354,55731154205.4596,45626868713.9551,40848425457.9182,47877643519.9103,21034098928.7095,33450990238.5117,44373755720.7522,38778532956.6807,36873510148.0228,19676050792.3842,32844321784.0058
"ATP / dGTP",2393536420,1842049932.93739,9692215516.11811,2707728292.3538,3135606748.76356,3111673097.45778,2584120685.08413,4002320572.05728,982711662.099317,2139767041.25209,2137879759.61869,4062683589.85774,2464800664.07042,3214557743.00548,5201385413.14005,2935055462.5784,2537530598.28597,2818183843.58705,1906638287.77779,2514118486.29421,4126294677.64434,3684804661.48657,2192700262.68082,3322816779.93571
"b-alanine",1222618787000,1073638407685.4,1015186095998.94,745733358441.307,725978759332.296,679267204753.822,1201493345742.15,1035271491962.37,1024012745442.97,635708940149.222,713461981582.378,726992648750.106,1086300703926.37,1150352778484.46,903186982251.989,716604175445.604,686195818692.345,643989542185.757,1039072154291.56,1143408063003.8,1029863635192.06,712153348626.894,751921107840.289,732142436228.255
"betaine+",1678739755000,2186536880625.66,2326116454545.89,1757399904666.33,2568965270651.14,1701906850459.69,2361361468164.38,2462797025565.79,2767100269097.09,1803476568106.68,1689954522229.68,2081299953889.67,1344996339892.36,2701032266671.49,802363817226.091,1745202245428.35,1905242889546.88,2575045158645.67,2481610884119.99,2677628271578.76,2230268920225.61,2191778826438.02,1049654916651.09,2334972635292.43
"bilirubin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5212999.86205136,NA,NA,NA,NA,NA,NA,NA,NA
"biotin",3490440570,6210551358.52675,5950899128.94985,4012099808.95067,4382519028.99171,2714751726.46894,6586635666.36802,6112794712.90595,6681445753.70641,4090896752.02566,4847530162.39422,3292091506.13463,5153963638.53277,5114099147.98843,4325554411.45004,4077543581.77909,6546284264.82614,4348808012.02248,9740620131.17316,6609098675.73679,6418860289.23094,4361081251.79948,2845009102.16243,4410971070.89809
"butyric acid",2377547897,2075686901.37922,3250069530.19539,2528106458.69778,3753938215.67017,2378319328.52806,3006164255.16908,2340259773.75686,4322087849.38484,3359611020.10287,1447274520.49899,3551903996.61204,3852825819.74851,3648399536.72901,2296702568.84829,2904466860.18201,3523552520.75509,3904705660.06625,2861886669.59718,3686418056.822,3901303363.28666,2867470946.36317,1333599441.5587,3342725546.84571
"butyric acid(iso)",1918186179,2109762031.74883,2970568321.73695,4626817685.29794,5764087545.29737,4377112332.0174,3759035423.42387,2044869369.12222,3896969481.40652,4457759549.46416,2511292931.73279,5072636130.02305,5219664941.29401,3461829509.79254,3884197241.216,3399454560.66594,4414170353.5071,4745288137.34722,3028790311.58056,4693472900.69885,4437397334.37333,4849825827.50687,3818796771.45672,5229911611.09088
"caffeic acid",77220383.75,256799507.298458,202744963.123613,136420921.140033,85796472.8150948,120426735.58263,190318249.072669,285295023.884094,198786755.593831,87657350.0446299,144177275.148128,118349433.392312,88256187.9192566,211041696.552857,129877232.533209,194921227.47404,260367414.136478,273151562.499217,259054100.452764,412684314.259241,290109228.01835,222844114.516262,148401286.882695,316988312.834648
"cAMP(2',3') / cAMP(3',5')",10110968480,10845696134.163,22058972491.511,10846471282.0735,18697125174.0662,10248590414.6915,20132525702.7431,13889613754.7574,25080512516.1703,14228707977.0954,18889654628.6975,15667699522.6916,18694979010.1776,14212040110.553,11186602113.5122,19275808402.0154,22495520158.3441,21438644624.1392,21562430230.9107,13278701997.3052,22108094776.5073,13495253997.5545,7727260008.69949,16249841975.1413
"carbamoyl phosphate",3911414978,5539931317.41936,4970242338.13529,4127758756.35593,6101296117.21231,6102820360.07543,6065789407.84805,6657147258.02285,7093203412.9583,4664126783.56495,5047533292.64907,5821319174.77906,6930341513.90303,5327148784.00596,5623385531.07665,4726153920.36059,4638502423.83596,4427693976.12824,6246127670.38388,5728113266.89669,5562693113.10817,4914597170.2324,4307291805.36155,5912616811.63146
"carnitine+",5083698125000,5608226736634.58,4491728976216.68,4805512258155.59,5061146166868.6,4387497538085.98,5257071262553.25,5548637005372.88,5005556355822.75,4631047875148.71,4341210298050.39,4544371881134.07,4905825960861.61,5124666306331.11,4610566749900.03,4594772595491.93,4332312285961.84,4025701356631.62,5196375008675.86,5210381620426.94,4489194247199.54,4286091676228.14,4540008272848.81,4605643038434.02
"cCMP(2',3'-)",6973759920,8224428615.25706,8368503098.99464,5412820819.90647,13961739685.8603,4974559121.07128,10257627197.1998,10101885600.9295,8517015656.34933,6447969104.58393,9687078408.69488,7388182494.63789,11139623516.6916,10870669194.6708,4495459929.7164,8616368413.02549,10329348464.661,10838938021.0254,11487194066.5249,11281129652.4055,10396077059.2346,7705013597.38174,4130030222.5689,9005148601.50245
"CDP",493895090.6,319261075.728734,1961491360.48979,286562028.391742,234329003.257245,148550363.395858,442850472.695803,578058051.623701,46421241.8133655,342192277.510057,205079640.085604,185047109.178394,191990630.814903,292458872.68455,409560066.65294,187622016.796239,238017393.709427,154297269.623083,262855775.354001,342396164.937965,516433215.659936,280511777.568587,91906736.0815085,193108871.81819
"CDP-choline+",656074841.4,1376646091.99935,4059375130.30824,1735771737.93298,1469541530.23988,1515601949.42623,3267844734.46114,1582812411.9695,1208421688.2365,2716666918.5884,1409665354.60627,1600804247.69598,1186401862.00605,2535129151.21521,1612122518.00145,1599270744.95598,1306597704.35286,1111679984.14058,1138971749.51838,2074073477.32548,3061628703.60951,2029861179.17232,660110957.107297,1307242522.60865
"cGMP",16814808090,15359348595.7058,28427016997.1499,14160115447.9967,26016034593.6529,9035845742.51345,24745894182.2751,16255272729.1699,33019016798.6872,18145690906.2232,18356386038.382,18734210112.2084,21085984034.8605,19781924312.6857,11502757301.3224,19030461781.0507,29641704181.9483,26186612956.0877,24446909438.0676,19131768351.5998,28865313816.6404,19485616448.5241,9819330386.97018,19355627246.1613
"choline+",2595272141000,2949525819027.28,2945402182215.57,2976879604580.12,3156239315645.04,2762832018430.02,2969989743851.27,2914937856918.03,3324777338838.76,2720568438312.63,2895993644780.02,2336336709498.19,2842025175783.72,2765677929553.32,1905492920381.43,2724207508442.99,3014055961294.63,3186125761747.75,3317481454486.78,3112074893801.11,3195769908700.45,3265896923170.72,1961169817665.86,3197214334071.71
