,KEGG,GRxWT.C,GRxWT.Df,GRxWT.OE,GR.CxDf,WT.CxDf,GR.CxOE,WT.CxOE,GR.DfxWT.C,GR.OExWT.C
dimethylglycine,C01026,0.32680089,0.283753693,0.082100903,0.476555143,0.96021625,0.320204242,0.322802903,0.577783408,0.100655876
NADPH,C00005,0.334825065,0.678095624,NA,0.91937014,0.60462276,NA,0.062436725,0.349172472,NA
putrescine,C00134,0.338618348,0.574099701,0.628314947,0.369787739,0.828935309,0.388158961,0.502071607,0.706001511,0.581531009
pantothenic acid,C00864,0.34489908,0.108598247,0.939761511,0.334866679,0.515530073,0.417700601,0.836724712,0.755023893,0.881057849
sorbitol / galactitol / L-iditol / manitol,C00794 / C01697 / C01507 / C00392,0.346406606,0.024139062,0.302171207,0.432733625,0.012374005,0.204885701,0.418706849,0.545653648,0.093510132
thymidine,C00214,0.3468271,0.004207953,0.271044827,0.1852099,0.015358813,0.471577595,0.194769876,0.086909633,0.739940864
phosphoenolpyruvate,C00074,0.363873348,0.423753382,0.158333871,0.153861126,0.683588396,0.323466209,0.319482452,0.555455671,0.496681659
serotonin,C00780,0.364614376,0.053329715,0.599144298,0.17392037,0.817697029,0.614608263,0.374063991,0.067658835,0.895873381
dehydroascorbic acid,C05422,0.37285712,0.000436492,0.304376577,0.002131181,0.272619884,0.650403674,0.146467859,0.001825841,0.838628783
deoxyuridine,C00526,0.379932932,0.210831063,0.725543566,0.279555919,0.34616435,0.375169495,0.759556299,0.327744845,0.998646388
caffeic acid,C01197 / C01481,0.387685078,0.047516405,0.456983265,0.987471274,0.163765406,0.479737391,0.378840139,0.352905652,0.97682319
2-keto-isovaleric acid,C00141,0.403327558,0.001620764,0.330925007,0.185122897,0.821082607,0.705352285,0.734493538,0.0144397,0.577677865
glyoxylic acid,C00048,0.400800638,0.013968452,0.440332592,0.98126039,0.285927743,0.896709232,0.99730867,0.351546564,0.383158643
methylmalonic acid,C02170,0.400240587,0.005097153,0.36528412,0.123065685,0.919642823,0.208946836,0.755120579,0.041154001,0.327904065
thymine,C00178,0.405851407,0.799575878,0.537772101,0.291536352,0.729681865,0.987139016,0.632443951,0.513673051,0.193357214
3-phosphohydroxypyruvic acid,C03232,0.413498114,0.089335992,0.003186928,0.070616797,0.601403648,0.169037197,0.014577361,0.103584481,0.259925725
D-galactonic acid / D-gluconic acid,C00880 / C00257,0.417484411,0.291213536,0.036996566,0.758708948,0.177359083,0.099453837,0.211825691,0.514487631,0.462570351
GABA,C00334,0.415476598,0.654902753,0.039115967,0.611079866,0.854177377,0.203142313,0.417385414,0.747266112,0.272274103
2- / 3-phosphoglycerate,C00631 / C00197,0.42674345,0.819836079,0.113193719,0.092931494,0.882936079,0.429864891,0.287856473,0.81517002,0.643798849
3- / 7-methylguanine,C02230 / C02242,0.423303325,0.001601509,0.238969297,0.317903603,0.505240016,0.406236773,0.874292213,0.093620771,0.144175001
adenylosuccinate,C03794,0.425031902,0.027869341,0.032117806,0.019709534,0.463160984,0.562551706,0.286737138,0.705655597,0.482396094
ethyl acetate,C00849,0.444137771,0.239085787,0.486174389,0.273689321,0.396947048,0.588796622,0.757787106,0.704202982,0.261213239
galactosamine / glucosamine / mannosamine,C02262 / C00329 / C03570,0.436369737,0.794013291,0.469353721,0.277159123,0.220062458,0.481065309,0.347408541,0.249259832,0.721291211
lysine,C00047 / C00739,0.442582776,0.001442392,0.822413137,0.070559742,0.213159015,0.052365945,0.241609073,0.670312841,0.251312536
UMP,C00105,0.438956468,0.0471988,0.086278532,0.201448925,0.0532977,0.807688878,0.663953273,0.655953632,0.429121078
epinephrine / normetanephrine,C00788 / C05589,0.465178541,0.501950288,0.059081916,0.93315881,0.240402992,0.522907221,0.059421136,0.380514685,0.76976668
kynurenic acid,C01717,0.464624426,0.001138512,0.057179484,0.040846986,0.318545851,0.651759123,0.022141548,0.024343693,0.939816042
5'-deoxyadenosine,C05198,0.473039056,0.013128816,0.047298761,0.638123348,0.412999177,0.645365987,0.193721093,0.093558746,0.648945598
phenylalanine,C02057,0.475369907,0.004174335,0.233514819,0.798229771,0.764204053,0.705020305,0.887056649,0.492667724,0.302299726
uridine,C00299,0.488075502,0.00587885,0.460999849,0.553360661,0.169920809,0.689019121,0.955741916,0.666693056,0.379909543
"cAMP(2',3') / cAMP(3',5')",C02353 / C00575,0.502283206,0.491703283,0.634318537,0.520423232,0.066479499,0.798098427,0.557065203,0.160575021,0.312688124
thiamine+,C00378,0.502516326,0.00049946,0.035036928,0.238460189,0.001747105,0.361545175,0.01884812,0.016175674,0.565988307
cGMP,C00943,0.513932381,0.965404656,0.420263531,0.502411192,0.160418104,0.657173889,0.498523131,0.166092201,0.274632412
5-methylcytosine,C02376,0.523206101,0.351404654,0.364663264,0.414203037,0.636601589,0.890556243,0.927243732,0.943524171,0.482622766
2-aminobutanoate / 2-/3-aminoisobutanoate,C02261 / C03665 / C05145,0.527434682,0.88772759,0.853782642,0.003994055,0.166683412,0.792075941,0.558402016,0.032290094,0.374669481
"cCMP(2',3'-)",C02354,0.530465006,0.019824033,0.281158013,0.291994308,0.174309945,0.558338791,0.256463726,0.551272943,0.953196832
allantoin,C01551,0.536629401,0.191821766,0.796375236,0.51786394,0.501231048,0.272505792,0.252176141,0.266039832,0.159684736
aspartic acid,C16433,0.541581151,0.504796466,0.11589695,0.593383903,0.482563806,0.687793718,0.966056152,0.977263461,0.246827126
FAD,C00016,0.548877613,0.252409758,0.836089307,0.047024324,0.319455542,0.734268562,0.933290809,0.211567463,0.778587342
fructose / mannose,C00095 / C00159,0.546700783,0.894730738,0.774209521,0.8245497,0.505793091,0.540556401,0.759894767,0.531723065,0.942759593
GalNAC / GlcNAC,C01074 / C00140,0.546480924,0.758833813,0.054119979,0.474730301,0.959718881,0.604928781,0.01126692,0.629184179,0.871261801
N-methylaspartic acid,C12269,0.551048058,1.44650140339315e-05,0.327680699,0.031538754,0.234395293,0.639068715,0.991421556,0.034869638,0.353036927
S-adenosyl-L-homocysteine,C00021,0.555702582,0.109791283,0.964732729,0.6572392,0.008858749,0.858416887,0.257352296,0.944463413,0.407236026
succinic acid,C00042,0.56279384,0.226046338,0.015249054,0.306187844,0.023356622,0.160419469,0.08806186,0.139512925,0.375764547
3-hydroxy-anthranilic acid,C00632,0.820426749,0.157712686,0.300167805,0.534415872,0.187528956,0.135301116,0.71038382,0.640947651,0.462555805
3-hydroxypropanoic acid,C01013,0.765287666,0.226046515,0.982832933,0.733121884,0.605850223,0.331225454,0.631704289,0.528586301,0.541938202
3-methoxytyramine,C05587,0.995185297,0.582553666,0.34612042,0.838230643,0.753109985,0.261594863,0.499854246,0.773029969,0.214357585
3-ureidopropionic acid,C02642,0.829185206,0.711048207,0.006452327,0.592586917,0.98373222,0.250907655,0.069710614,0.61088914,0.169241592
4-hydroxybutanoic acid,C00989,0.766185047,0.036669175,0.060509978,0.843000396,0.10191124,0.200504572,0.647910603,0.847846457,0.138076673
4-hydroxyphenylpyruvic acid,C01179,0.929325742,0.969862301,0.078421799,0.709477965,0.649110952,0.212870661,0.908232837,0.632565704,0.233682858
aconitic acid,C00417-C02341,0.695440505,0.500995952,0.235007534,0.657889819,0.474451085,0.320960304,0.641940685,0.852189246,0.275749043
adenosine,C00212,0.612659924,0.221816644,0.313507857,0.871400778,0.267167983,0.373124401,0.48294767,0.635654866,0.773479787
alanine,C00041,0.639755943,0.049725992,0.00844796,0.238110673,0.076319592,0.067423485,0.337614995,0.54703844,0.030747367
betaine+,C00719,0.681403023,0.007528434,0.554530534,0.837169292,0.323826117,0.349602479,0.902243675,0.732958902,0.770712699
butyric acid(iso),C02632,0.671632547,0.126096155,0.103773612,0.791793995,0.343192233,0.338337178,0.69061366,0.271313635,0.025382954
carnitine+,C00487,0.714540437,0.002701701,0.003126569,0.95958136,0.005570164,0.439460606,0.018717602,0.683042526,0.197581458
choline+,C00114,0.844797919,0.929269427,0.819540786,0.601979643,0.788214014,0.748815225,0.812111144,0.827525455,0.944388137
citraconic acid,C02226,0.950792877,0.060274059,0.278433553,0.065130301,0.475458838,0.213043868,0.926586216,0.230084979,0.365246517
cystine,C01420,0.899935792,0.724630566,0.223055761,0.478772272,0.903609871,0.516952614,0.345384566,0.566261509,0.613841873
cytosine,C00380,0.75613363,0.000136125,0.51274077,0.531312489,0.15044459,0.424255061,0.871926236,0.830784441,0.654466814
deoxyadenosine,C00559,0.676103071,0.001975983,0.156764752,0.786063732,0.230938231,0.922328372,0.420910692,0.531504705,0.752222948
deoxycytidine,C00881,0.864205287,0.228998995,0.274923786,0.799870635,0.351512693,0.894922409,0.347794051,0.674851243,0.943112983
D-sedoheptulose,C02076,0.624933085,0.126820429,0.009308698,0.029519335,0.197884934,0.012211534,0.589039881,0.059224562,0.018552637
dTMP,C00364,0.584998354,0.392256677,0.117877019,0.851218124,0.230410303,0.925234578,0.294875317,0.377770972,0.657297438
FMN,C00061,0.61606944,0.002989093,0.826681058,0.499170884,0.092027315,0.396933717,0.472035223,0.009228974,0.463848792
fumaric acid,C00122,0.680475619,0.210750069,0.747964224,0.024615892,0.192962224,0.859617087,0.61700171,0.073637053,0.799101822
glucono-lactone,C00198,0.597728691,0.714861588,0.431253004,0.797098208,0.381095992,0.383165704,0.688732059,0.464390647,0.897291881
glutaconic acid,C02214,0.671689249,0.713416911,0.421875958,0.746849895,0.415906853,0.358486704,0.794516855,0.509318229,0.770011375
glutathione,C00051,0.752144709,0.409654468,0.310465002,0.382015444,0.437915748,0.255845186,0.610976198,0.069230555,0.057176214
glyceraldehyde,C02426,0.963652636,0.058493509,0.127126917,0.364252713,0.547023393,0.439186908,0.446740427,0.85073779,0.563270854
glyceric acid,C00258,0.780064485,0.367649361,0.151184262,0.496682488,0.18632915,0.362825545,0.655237,0.579565801,0.127826537
glycylglycine,C02037,0.699027463,0.477746455,0.454425196,0.548081015,0.616231874,0.529774696,0.617379522,0.878303934,0.863549135
GMP,C00144,0.844730177,0.981159444,0.007741556,0.716525634,0.700948796,0.484194279,0.072817066,0.657425233,0.042399035
guanidine,C17349,0.781895203,0.573645946,0.181547489,0.843753954,0.717179126,0.482258869,0.466322366,0.907289591,0.283782047
histamine,C00388,0.583716901,0.42496858,0.183136303,0.978185115,0.073178803,0.215680318,0.851463574,0.666654606,0.051598991
lactic acid,C01432,0.916419369,0.224834895,0.271005478,0.52183209,0.415425221,0.731532746,0.623304864,0.734051977,0.703665824
lactose / maltose / sucrose,C00243 / C00208 / C00089,0.984564968,0.008996368,0.039163937,0.261128736,0.839066736,0.309254676,0.326675793,0.122260591,0.178885553
