"","logFC","logCPM","F","PValue","FDR"
"FBgn0029526",-9.68089890905419,1.26810205790992,38.52394922022,0.00202753513278561,0.0416349619337731
"FBgn0039523",-9.73269199149941,1.31591833383418,38.227173373016,0.00206100302539864,0.0416349619337731
"FBgn0250910",-9.70499725533128,1.2871493000271,38.1886549598875,0.00206540459499001,0.0416349619337731
"FBgn0034011",6.30210002332288,5.14090902479937,28.6651057300543,0.00208077034151794,0.0416349619337731
"FBgn0035484",-3.29928054494595,4.79930890313618,28.6560387997144,0.00208236673433135,0.0416349619337731
"FBgn0036640",-9.72196017862214,1.30810177005782,37.990178220879,0.00208829924362559,0.0416349619337731
"FBgn0038266",-9.68521695526794,1.27266274709013,37.8764973339256,0.00210157621221433,0.0416349619337731
"FBgn0264000",-7.71925397925052,1.68565112952634,28.4484684578752,0.00211937124382897,0.0416349619337731
"FBgn0037546",-6.54688617477796,1.40443328588008,28.413396261295,0.00212571147920433,0.0416349619337731
"FBgn0040028",-10.6766054139684,2.24244222923534,37.6295485756477,0.00213083651862154,0.0416349619337731
"FBgn0035143",-6.51863724608932,1.88914537392093,28.2785770360402,0.00215032420350866,0.0416349619337731
"FBgn0259146",-9.96619127491594,1.54582031882237,37.4355636592968,0.00215423131344155,0.0416349619337731
"FBgn0033062",-1.90306875231918,4.56151533647376,28.2044486719296,0.00216402176105969,0.0416349619337731
"FBgn0035699",-9.48403121463179,1.07450046180167,37.2509165890583,0.00217684248985893,0.0416349619337731
"FBgn0261560",3.11655173477748,6.75832188307469,28.0775988815874,0.00218773668987448,0.0416349619337731
"FBgn0001330",-9.78743838065921,1.37225400039135,37.145842018842,0.00218986121806858,0.0416349619337731
"FBgn0033491",-9.50406547444316,1.09302189202806,36.9136614558667,0.00221902579341804,0.0416349619337731
"FBgn0015872",1.8053443499652,5.23893723802901,27.8654829499431,0.00222818504008591,0.0416349619337731
"FBgn0036889",-7.7333172240054,1.73588230562757,27.851129725526,0.00223095851734495,0.0416349619337731
"FBgn0031549",-7.64156145441155,1.64792153121356,27.8502316469579,0.00223113220867112,0.0416349619337731
"FBgn0085570",-5.45149424263705,1.55137454016034,27.8427365470195,0.00223258249986714,0.0416349619337731
"FBgn0031971",2.99593259903871,5.34917883209677,27.8189991797524,0.00223718407948369,0.0416349619337731
"FBgn0031388",-10.1889170413195,1.76436618212825,36.7674810070007,0.00223767330921317,0.0416349619337731
"FBgn0264892",-7.38132222106155,-0.873375087998412,36.6150759793613,0.0022573542654582,0.0416349619337731
"FBgn0267137",-7.3112622946049,-0.934337019068121,36.5733713421644,0.00226278293685215,0.0416349619337731
"FBgn0037622",-7.29071398758786,2.10050885873269,27.6272102483074,0.00227483849805622,0.0416349619337731
"FBgn0036678",-9.40298345479869,0.998018359801147,36.4331909810182,0.00228116754023868,0.0416349619337731
"FBgn0266902",-7.16470684364413,-1.05811933271805,36.4313650297313,0.00228140841959557,0.0416349619337731
"FBgn0265315",-7.40392842746636,-0.853625163759557,36.4244469771537,0.00228232137845072,0.0416349619337731
"FBgn0026384",-7.21013684004966,-1.02072216293149,36.398753249506,0.00228571669330415,0.0416349619337731
"FBgn0053246",-5.21315694158423,3.84654572146056,27.5719785546814,0.00228584131380011,0.0416349619337731
"FBgn0036416",-7.29323304507986,-0.94786221585066,36.3554644518788,0.0022914534695021,0.0416349619337731
"FBgn0263709",-7.33495644385964,-0.913050609644456,36.3155898493523,0.00229675601163337,0.0416349619337731
"FBgn0052463",-7.3887668121867,-0.865746352330562,36.313028949375,0.00229709716038153,0.0416349619337731
"FBgn0263322",-7.13797734711449,-1.08090276056384,36.2675412063841,0.00230316887078794,0.0416349619337731
"FBgn0037205",-9.47776350144622,1.06968731185249,36.1839926676637,0.0023143808505719,0.0416349619337731
"FBgn0032338",-7.67539015976956,1.68160387886336,27.4246859149979,0.00231553837699044,0.0416349619337731
"FBgn0264605",-7.10145037013292,-1.11252504591836,36.1739596569573,0.00231573249618226,0.0416349619337731
"FBgn0011653",-9.59789503401102,1.18752491889538,36.1732043647348,0.00231583429469306,0.0416349619337731
"FBgn0039554",-3.10266306259643,2.69454982216203,27.4130405912289,0.00231790853931507,0.0416349619337731
"FBgn0053767",-7.40375156613757,-0.852441367024365,36.144769335095,0.00231967143444382,0.0416349619337731
"FBgn0010051",-1.55128753716747,4.70578671864563,27.3976756908619,0.00232104077364998,0.0416349619337731
"FBgn0259700",-7.64094214337303,-0.644749291987807,36.0679775437471,0.00233007955506466,0.0416349619337731
"FBgn0267571",-9.3999198807186,0.995821284052695,36.0645534204769,0.00233054520348073,0.0416349619337731
"FBgn0039472",-7.37176887918285,-0.880654446174006,36.0615188488491,0.00233095798773198,0.0416349619337731
"FBgn0031197",-7.66177317356251,-0.627371701317987,35.904783832626,0.00235242110340387,0.0416349619337731
"FBgn0010015",-1.84966168354188,4.26572879153776,27.2239977658702,0.00235684810522728,0.0416349619337731
"FBgn0265823",-9.47130071494592,1.06561756998777,35.8005014931564,0.00236685822465764,0.0416349619337731
"FBgn0031111",-7.62848681681446,-0.656587983773712,35.7981658500849,0.00236718302564698,0.0416349619337731
"FBgn0036496",-11.241931277246,2.79936938346127,35.7911677566303,0.00236815658138326,0.0416349619337731
"FBgn0036289",-7.54069140270327,-0.732467274480628,35.7641056174029,0.00237192678322379,0.0416349619337731
"FBgn0038128",-9.428703520591,1.02270925702508,35.7366395118412,0.00237576204272081,0.0416349619337731
"FBgn0052374",-7.03516304002699,-1.16920205827276,35.7184821292722,0.00237830233704858,0.0416349619337731
"FBgn0267681",-7.03516304002699,-1.16920205827276,35.7184821292722,0.00237830233704858,0.0416349619337731
"FBgn0034487",-9.34705259617299,0.942428912270003,35.7030061900029,0.00238047055197737,0.0416349619337731
"FBgn0038487",-7.65170826064168,-0.634286439881172,35.7018225285119,0.00238063650198879,0.0416349619337731
"FBgn0267287",-7.48877178571559,-0.777143705935376,35.6638166957884,0.00238597374278245,0.0416349619337731
"FBgn0259739",-10.7755140878477,2.33946677496869,35.6602005244454,0.00238648246031542,0.0416349619337731
"FBgn0027836",-2.451682088647,3.18378236576996,27.0780351102671,0.00238752226846411,0.0416349619337731
"FBgn0030440",-7.43124141958394,-0.826523252250053,35.6460261586437,0.00238847798425503,0.0416349619337731
"FBgn0028895",-9.33493509459096,0.931406561923097,35.6171091712661,0.00239255643609125,0.0416349619337731
"FBgn0041709",-7.2566659616477,-0.977364270083215,35.6037186046336,0.00239444841411799,0.0416349619337731
"FBgn0261709",-7.80017037532813,-0.503472216145713,35.5904096711956,0.00239633097771657,0.0416349619337731
"FBgn0085411",-9.90237664006175,1.47786818018374,35.5872674117105,0.002396775762554,0.0416349619337731
"FBgn0030707",-7.06408081833728,-1.14386708749077,35.5849237066186,0.00239710758935727,0.0416349619337731
"FBgn0036654",-10.1313342853066,1.70839962952911,35.5810560741116,0.00239765532068564,0.0416349619337731
"FBgn0265976",-7.22910051819204,-1.00666307352118,35.5676874473035,0.00239954995441447,0.0416349619337731
"FBgn0051081",-7.47165779287778,-0.795630607087877,35.5599531767023,0.00240064705099198,0.0416349619337731
"FBgn0039592",-7.33701497534922,-0.914239106437532,35.5464031605581,0.00240257083280953,0.0416349619337731
"FBgn0264601",-7.41886596212577,-0.840994999377252,35.525184299291,0.00240558783915526,0.0416349619337731
"FBgn0036368",-7.72031910193041,1.72493398895573,26.9906332002825,0.00240614906762439,0.0416349619337731
"FBgn0041242",-7.39282303791919,-0.865874391231948,35.5171628322672,0.00240672978299182,0.0416349619337731
"FBgn0039850",-7.30522624854618,-0.940931103382755,35.4618892719571,0.00241461968622071,0.0416349619337731
"FBgn0266863",-7.30522624854618,-0.940931103382755,35.4618892719571,0.00241461968622071,0.0416349619337731
"FBgn0036349",-7.36978879789351,-0.880869488067251,35.455073566229,0.00241559513868615,0.0416349619337731
"FBgn0067052",-9.83879027434338,1.42266594335397,35.4336810918966,0.00241866045496532,0.0416349619337731
"FBgn0039177",-7.83724121456509,-0.468615526961048,35.4127210594104,0.002421669202141,0.0416349619337731
"FBgn0054011",-6.88871596861597,-1.28859272874785,35.4095313209614,0.00242212754808962,0.0416349619337731
"FBgn0266094",-7.75770271015797,-0.540001805594904,35.3929138255789,0.00242451738758164,0.0416349619337731
"FBgn0051562",-7.78498763468321,-0.518267428977078,35.3862774621318,0.00242547273576881,0.0416349619337731
"FBgn0041232",-7.72638059052763,-0.567152039168502,35.3733695615992,0.00242733245466681,0.0416349619337731
"FBgn0000227",-7.77916554192881,-0.523363982198382,35.3694999993042,0.00242789036287327,0.0416349619337731
"FBgn0033725",2.81298750656856,4.91976656514952,26.8804701217489,0.00242990810787218,0.0416349619337731
"FBgn0259738",-6.94343330679227,-1.24399118027273,35.341478072998,0.00243193600091076,0.0416349619337731
"FBgn0034062",-10.0289651090284,1.6083911589264,35.3309533117718,0.00243345799231332,0.0416349619337731
"FBgn0263766",-7.5561313830718,-0.719935395598775,35.3184839161464,0.00243526296099863,0.0416349619337731
"FBgn0267604",-6.99206301297691,-1.20196093316362,35.3170862060856,0.00243546540144357,0.0416349619337731
"FBgn0266072",-7.26060134758779,-0.975766722350049,35.2859270947476,0.00243998465295988,0.0416349619337731
"FBgn0243486",-9.30147736292112,0.900355020874836,35.2821858151911,0.00244052808605919,0.0416349619337731
"FBgn0262363",-7.02531015069501,-1.17813894915008,35.2802772023283,0.00244080538496499,0.0416349619337731
"FBgn0036080",-7.6538821653058,-0.634105798871438,35.2634318086472,0.00244325477568692,0.0416349619337731
"FBgn0030218",-9.4300512506348,1.02086454767616,35.2634084781941,0.00244325817046827,0.0416349619337731
"FBgn0263414",-7.13091657457698,-1.08847871465532,35.2472452583363,0.00244561167909674,0.0416349619337731
"FBgn0053221",-7.78475231534594,-0.518000705973723,35.2422652585501,0.00244633746438142,0.0416349619337731
"FBgn0020392",-1.5014473529959,4.83895963061073,26.7785676731567,0.00245216931386939,0.0416349619337731
"FBgn0265264",-9.30105442358085,0.899430388786524,35.1972172742374,0.00245291676956825,0.0416349619337731
"FBgn0019928",-6.87981081937127,-1.29785336676773,35.1940276344805,0.00245338357821571,0.0416349619337731
"FBgn0265059",-7.56944475290297,-0.707942849210736,35.1680839801183,0.00245718519273558,0.0416349619337731
"FBgn0266732",-7.42219319320922,-0.834726633828451,35.1264131885852,0.00246330900514504,0.0416349619337731
