from,to,arrows,color,width,title,FBgn,physics
phosphoenolpyruvate,Pyruvate,to,black,0,NA,FBgn0036723,T
adenosine,inosine,to,black,0,NA,FBgn0036751,T
deoxyadenosine,deoxyinosine,to,black,0,NA,FBgn0036751,T
adenosine,inosine,to,black,0,NA,FBgn0036752,T
deoxyadenosine,deoxyinosine,to,black,0,NA,FBgn0036752,T
alpha-Ketoglutarate,Succinyl-CoA,to,black,0,NA,FBgn0036762,T
Pyruvate,Acetyl-CoA,to,black,0,NA,FBgn0036762,T
D-Fructose 6-phosphate,D-Xylulose 5-phosphate,to;from,black,0,NA,FBgn0036784,T
D-Glyceraldehyde 3-phosphate,D-Xylulose 5-phosphate,to;from,black,0,NA,FBgn0036784,T
D-Fructose 6-phosphate,D-erythrose-4-phosphate,to;from,black,0,NA,FBgn0036784,T
D-Glyceraldehyde 3-phosphate,D-erythrose-4-phosphate,to;from,black,0,NA,FBgn0036784,T
D-Xylulose 5-phosphate,D-sedoheptulose-7-phosphate,to;from,black,0,NA,FBgn0036784,T
D-Xylulose 5-phosphate,D-Glyceraldehyde 3-phosphate,to;from,black,0,NA,FBgn0036784,T
D-Ribose-5P,D-sedoheptulose-7-phosphate,to;from,black,0,NA,FBgn0036784,T
D-Ribose-5P,D-Glyceraldehyde 3-phosphate,to;from,black,0,NA,FBgn0036784,T
ATP,ADP,to,black,0,NA,FBgn0037046,T
phosphoenolpyruvate,Pyruvate,to,black,0,NA,FBgn0037115,T
beta-D-Glucose 6P,6-phosphoglucono-D-lactone,to,black,0,NA,FBgn0037147,T
D-Fructose 6-phosphate,D-Xylulose 5-phosphate,to;from,black,0,NA,FBgn0037607,T
D-Glyceraldehyde 3-phosphate,D-Xylulose 5-phosphate,to;from,black,0,NA,FBgn0037607,T
D-Fructose 6-phosphate,D-erythrose-4-phosphate,to;from,black,0,NA,FBgn0037607,T
D-Glyceraldehyde 3-phosphate,D-erythrose-4-phosphate,to;from,black,0,NA,FBgn0037607,T
D-Xylulose 5-phosphate,D-sedoheptulose-7-phosphate,to;from,black,0,NA,FBgn0037607,T
D-Xylulose 5-phosphate,D-Glyceraldehyde 3-phosphate,to;from,black,0,NA,FBgn0037607,T
D-Ribose-5P,D-sedoheptulose-7-phosphate,to;from,black,0,NA,FBgn0037607,T
D-Ribose-5P,D-Glyceraldehyde 3-phosphate,to;from,black,0,NA,FBgn0037607,T
