Gene name,NBs,GMCs,Hey,Secondary neurons (low Imp),Secondary neurons (high Imp),Secondary motor neurons,Motor neurons,Interneurons,Glia precursors,Midline glia,Subperineurial glia,Cortex glia 1,Cortex glia 2,Astrocytes,Ensheathing glia,Trachea,Twi+,Unannotated
MED31,12.11345056,4.546476539,5.224214741,7.813707377,6.123341171,2.829643748,11.82860555,7.261433496,1.31877794,1.603718744,1.452328386,1.401882569,2.941618766,1.72917058,5.189001532,3.57674824,2.387152611,1.318563768
Dlip2,1.759349761,1.442337549,1.453430461,2.413531999,1.497049279,1.338906297,1.844175589,1.710908709,1.114834244,1.343399333,1.098541142,1.181714726,2.086275835,1.323188207,1.344285828,1.413798762,1.303789182,1.072361812
rpk,1.009084952,1.011113354,1.004140333,1.206792641,1.019517168,1.015388586,1.026467537,1,1,1,1,1,1.006045913,1.006242607,1.197325661,1.036343853,1.010667487,1.00583894
Karybeta3,6.366127906,2.187868015,6.753530873,18.20556165,2.10469867,1.392192651,14.90801335,12.84180876,1.6750753,2.728333376,2.720030849,2.776563361,6.881709491,4.056094905,4.865761727,7.022821466,4.608870124,1.334006752
spartin,1.030605445,1.01200774,1.067397227,1.011817161,1.004843982,1.006810367,1.018834699,1.120781018,1.003960759,1.029960366,1.008327102,1.015653016,1.055747859,1.006242607,1.012946696,1.007165348,1,1.008771183
CG43427,1.859697308,1.217949439,1.910776741,1.098541142,1.029418136,1.02752102,1.64884527,1.75553279,1.106055256,2.424462017,1.177140579,1.027553362,1.205457303,1.111593365,1.509283936,1.486253955,1.185039206,1.038567893
eIF3f1,6106.717125,88.59183216,596.444951,1885863.279,1288.778802,75.45210038,490272.5762,101109.586,6.655427635,23.53937198,57.21409084,13.38059877,814.6944625,175.0827032,105280.1194,228107.4843,88983.35081,3.35673117
Nep2,1.01825244,1.004430608,1.013967643,1.011817161,1.007274765,1.001698261,1.018834699,1.096316883,1.001978422,1,1.051014345,1.003890491,1,1.006242607,1.039345109,2.485128427,1.010667487,1.03253896
tacc,190.9693206,14.48727982,31.67882272,8.094001216,2.273882926,2.590669058,2165.181598,1124.911122,1.578640578,2.497099786,2.421885803,2.199516124,18.38221773,2.640107565,5.462987007,5.354046892,4.417344703,1.602522167
atms,3.749490383,1.944709594,2.234298767,10.35872068,4.844005382,1.998311684,3.439273985,2.884455862,1.157495505,1.304321387,1.296716802,1.209569121,2.073738195,1.443641837,4.74217584,3.58953969,3.11234375,1.126764414
CG44098,2.028376023,1.236121198,2.165484033,1,1.014602452,1.013667115,3.144625137,4.670131113,1.030090867,1.029960366,1.028027665,1.027553362,1.049403258,1.038045084,1,1.058781152,1,1.072361812
CG14655,1.000603111,1.000884555,1.003251678,1,1,1,1.003738877,1.007383627,1,1,1.019537869,1,1,1,1,1,1,1
ctrip,4.082187081,2.267131049,3.003986843,1.637893707,1.730593918,1.83576567,3.610243268,3.304983755,1.125906032,1.343399333,1.206792641,1.089179589,1.751682928,1.23563981,1.927153025,1.398738195,1.262939331,1.295733845
Hus1-like,1.183907093,1.121311842,1.266677287,2.947051703,1.468390456,1.325344152,1.182860555,1.352042724,1.069509261,1.060818355,1.14504757,1.051773994,1.234875109,1.190352739,1.470949508,1.364217829,1.303789182,1.050731573
CG1129,2.092977685,1.511201102,1.623045461,2.222996483,1.722251363,1.479886625,2.678408554,3.416223894,1.277726106,1.971840557,1.293137356,1.396449694,2.124345401,1.498565312,2.429264817,1.949496593,1.465205761,1.107255351
CG14657,3.715733126,1.875889521,2.217874355,3.314424749,2.427167148,1.573104428,3.227855618,2.583096168,1.119249834,1.193776642,1.203461421,1.127915487,1.751682928,1.416939644,2.557532899,2.056734791,1.561523006,1.143284288
opa,1.209885227,1.116118928,1.10522423,3.861310214,1.582597259,1.437807718,1.673643229,1.145791065,1.005947017,1,1.002768032,1.015653016,1.006045913,1.031605178,1.137276124,1.293087481,1.010667487,1.100827683
Gnf1,2.164851558,1.527995616,1.670180443,11.37948084,2.241156545,1.287659486,2.141076036,1.848302977,1.101691721,1.092600861,1.126213291,1.084958567,2.189344659,1.348123657,2.492573909,2.15443469,2.598642541,1.163428157
Cdep,2.583150902,1.485369497,4.692089811,1.221053503,1.026933916,1.046879827,3.252037849,5.717267314,1.171303734,1.75222448,1.608727897,1.401882569,1.860516423,1.461722274,1.327104213,1.770361741,1.972108821,1.126764414
CR45188,1.017025313,1.008657867,1.044030414,1.011817161,1.002419065,1.003399405,1.022643997,1.041290449,1,1,1.002768032,1,1.006045913,1,1.012946696,1.018009751,1.010667487,1.00583894
Ubc6,19.80042546,4.396260528,10.90643073,6.551285569,3.046039788,1.90882624,63.9014238,78.44561824,1.739175255,3.257020656,2.566632833,2.471253909,7.178289054,3.26222201,4.333826376,12.12609399,6.269530551,1.389495494
CG2016,1.015799664,1.005985954,5.449412128,1.035872068,1.012153986,1.011948562,1.045800744,4.809596315,1.280253988,1,1.022359982,1,1,1.018844976,1.122740346,2.185419852,1.02144877,1.00583894
CG1124,1.011521514,1.002656014,1.004436726,13.57228783,1.072581299,1.022303755,1.01125862,1.003685024,1.024001114,1.029960366,1.039457465,1,1.198213012,1.282649831,2.946278137,1.178468096,1.290027827,1.038567893
corto,129.4408103,4.951420024,85.04199257,25.00110383,5.271457932,3.208217602,214.9081256,88.24434847,1.487757639,3.16227766,1.522204457,1.485958722,3105.607715,1.828782942,26.92573689,4.415310401,4.464466672,1.769243508
CG43131,1.001206585,1,1.000295171,1.011817161,1,1,1,1,1,1,1,1,1,1,1,1.066367687,1.010667487,1
CG12007,1.779620135,1.317371214,1.578171948,1.544455893,1.399120739,1.195023831,3.06354076,4.031171825,1.194684472,1.42510267,1.314763198,1.434926577,1.497589099,1.425785042,1.65149436,1.507629316,1.480835825,1.072361812
dpr16,1.134980021,1.054249165,1.555513836,1,1.031908366,1.013667115,1.126844158,1.607201346,1.032128821,1.092600861,1.008327102,1.01171694,1.012128379,1.23563981,1.012946696,1.028970919,1.21045684,1.008771183
cno,1.322013608,1.107272678,1.538620465,1.799293623,1.637045915,1.12230407,2.109352241,2.296266893,1.093016227,1.971840557,1.193522834,1.076565535,2.769544687,1.298713974,1.3971769,1.601958137,1.262939331,1.059947732
CG1116,1.98123673,1.443613376,1.516530202,2.197033782,1.755864833,1.265994547,1.94308906,2.109993659,1.101691721,1.229542627,1.14504757,1.106228535,1.543411299,1.190352739,1.65149436,1.660179469,1.496632622,1.075487984
CG2604,2.239193615,1.33171723,2.562200881,6.034096411,1.139365773,1.083016878,3.91915887,22.62729234,1.285324765,1.70125428,1.862550442,1.497543432,2.545418301,2.465425547,1.977376577,6.110074585,3.72759372,1.100827683
CG14664,1.010302499,1.007989224,1.005920005,1.035872068,1.039415257,1.025778979,1.015039591,1,1,1.060818355,1.005543725,1,1,1,1.012946696,1.007165348,1,1.008771183
Vps37B,3.072997373,2.02498679,2.500200733,3.906939937,1.489832557,1.638489361,6.438015618,10.22314839,1.305809513,2.030917621,1.560548645,1.73564288,2.469847604,1.72917058,3.06219977,3.57674824,2.571214146,1.156674404
Kat60,3.378099422,1.794766157,2.041364384,2.981877486,2.307087193,1.477377653,3.375693807,3.093252235,1.084409049,1.159051048,1.151395399,1.072393398,2.111578979,1.097843767,2.624184787,2.224778719,1.612030565,1.120223496
Mms19,1.400791172,1.194751342,1.370932745,1.863838006,1.426427614,1.163016433,1.441561129,1.814621042,1.075869651,1.193776642,1.157778419,1.106228535,1.280353352,1.197783644,1.3971769,1.288479518,1.290027827,1.02953763
rtp,1.002414626,1.00199135,1.004733207,1.011817161,1.004843982,1,1,1.007383627,1.001978422,1.029960366,1,1,1,1,1,1,1,1.00583894
CG12163,7.424150483,2.644176777,8.936477528,21.97033782,5.613232248,2.64396057,23.5923648,1188.720828,2.811428471,55.4102033,11.70650813,75.31771454,88.11019817,11.46725472,24.92573909,27.46374069,10.2144877,1.318563768
CR44019,1,1,1.000295171,1,1.002419065,1,1,1.003685024,1,1.029960366,1,1.023571167,1,1.006242607,1,1.003576279,1,1
CG1113,1.04247958,1.006653268,1.078480009,1,1.009711428,1.001698261,1.148067929,1.092291762,1.001978422,1.029960366,1,1.003890491,1.006045913,1,1,1,1,1
CG12173,3.05452513,1.618383006,2.681338874,2.746474115,1.807519104,1.437807718,3.583397412,4.387049392,1.329245351,1.42510267,1.59985872,1.468749472,2.086275835,2.097111982,2.524844505,2.458655464,4.464466672,1.104036839
Hph,1.58508432,1.236394462,1.462034777,1.953513094,1.230952637,1.14928414,1.530259174,1.583727694,1.505505698,7.017038287,1.930697729,2.260120188,3.952379506,2.465425547,1.95210329,1.67805504,2.571214146,1.044632029
mtd,12.1500234,2.369605288,124.5547126,1.757510625,1.389015974,1.309695178,7.254640287,95.68209392,1.432924063,4.375479375,1.862550442,1.36959951,2.024336578,1.461722274,2.220080463,7.356422545,1.496632622,1.365437443
CG11999,4.222371372,2.165734728,5.153770747,24.70911228,4.440472359,1.848267907,5.089147716,46.87340658,2.501976705,7.017038287,2.310710289,2.107547653,5.342551178,3.046377954,5.677928824,8.071918052,3.11234375,1.201284899
CG1161,14.80687712,5.264061054,37.70428149,35.14943653,4.538089247,2.178944313,20.93667047,4275.534502,2.462727211,5.707031326,4.637314031,4.339470719,16.29453175,4.28975444,23.07429771,12.03982446,3.848162971,1.498742173
Prosbeta7,61.65912842,5.831328338,120.7541531,1599.85872,35.29750159,5.265557536,453.3169362,5234.194301,2.395516362,4.124626383,8.589612843,5.289810751,12.65010822,19.10209854,58.25901377,142.9021489,27.40236321,1.552021017
Cerk,1.533383176,1.167083295,1.525508069,1.124657822,1.064834875,1.054009463,1.490801335,2.063937233,1.061087193,1.651766744,1.123104502,1.101941441,1.257408639,1.097843767,1.212827073,1.556854628,1.185039206,1.023561118
CR44103,1.006047501,1.003542919,1.001476727,1,1.002419065,1,1.003738877,1.007383627,1.001978422,1,1,1,1,1,1.012946696,1.003576279,1.010667487,1
RpII18,484.4599956,38.08740772,82.66637428,22758.45926,16730.33827,64.00149597,629.5461215,117.1359208,2.320947068,2.285463864,4.256490032,3.02417614,38.119907,9.693631061,3762.00176,3236.514219,212.4168382,2.194522692
hd,1.091360056,1.020769569,1.132297434,1.637893707,1.080384075,1.02752102,1.101892898,1.246943126,1.028056936,1.029960366,1.053923586,1.039593143,1.191012255,1.097843767,1.3101422,1.221298167,1.160155302,1.020585885
CG14667,2.059181769,1.557319938,1.62976541,2.559547923,1.851723233,1.401673993,2.315622427,2.026325758,1.067397497,1.029960366,1.113829529,1.110532307,1.639304707,1.125515166,1.830500418,1.84126492,1.480835825,1.069244728
7B2,109.4655082,4.626565465,803571180.6,1.206792641,1.117554278,1.225830326,620.2182918,1.4027E+14,1.715278974,1.193776642,1.484802423,1.272193346,1.849335501,1.863246312,1.166914687,2.511886432,1.185039206,1.626017285
kkv,1.003624124,1.00199135,1.000885775,1.023773966,1.002419065,1,1.003738877,1,1,1,1.002768032,1,1,1,1.108390354,1.568010033,1,1.00583894
CG1172,1.559489504,1.264307577,1.395013188,1.456348478,1.464846896,1.268144535,1.490801335,1.589563769,1.080130911,1.229542627,1.123104502,1.076565535,1.515752427,1.118532606,1.452148977,1.369096652,1.23641965,1.050731573
Orco,1.003624124,1.001327126,1.015464997,1,1,1,1.003738877,1.064526678,1,1,1,1,1,1,1,1,1,1
CG14669,1.447148915,1.176667448,2.051026584,1,1.002419065,1.008520193,1.900064017,4.228614387,1.01593741,1,1.016723545,1.003890491,1.024403855,1.012524185,1,1.021650438,1,1.023561118
PEK,1.286627224,1.138544991,1.280962834,1.799293623,1.23691535,1.157111186,1.564910358,1.583727694,1.082267866,1.603718744,1.173891211,1.093417032,1.359902754,1.22797405,1.509283936,1.584893192,1.317697337,1.063037714
RpL35A,1.24767E+18,746937140.8,7.66056E+16,3.05277E+37,5.42653E+19,1.53617E+11,1.28887E+30,2.72962E+32,254185.1734,1425102670,1.32205E+13,9581869528,2.57629E+20,2.99003E+18,4.06386E+31,1.34969E+39,6.75294E+31,1597.86404
POLDIP2,2.240544096,1.563528452,2.129360369,4.498432669,1.990928272,1.411219907,2.205962143,7.315049216,1.180600613,1.343399333,1.296716802,1.145570766,1.751682928,1.29065691,1.902521656,1.757766731,1.345960324,1.091256077
mRpL44,3.781273797,1.798340165,3.238783763,7.632258324,3.097995606,1.605464066,4.848142369,5.675362552,1.164379151,1.266380173,1.344161279,1.257459765,2.411009674,1.718443015,2.946278137,1.507629316,2.544075256,1.146617214
