from,to,arrows,color,width,title,FBgn,physics
tryptophan,N-Formylkynurenine,to,black,0,NA,FBgn0003965,T
N-Formylkynurenine,kynurenine,to,black,0,NA,FBgn0031821,T
kynurenine,3-hydroxykynurenine,to,black,0,NA,FBgn0000337,T
kynurenine,kynurenic acid,to,black,0,NA,FBgn0037955,T
3-hydroxykynurenine,NAMN,to,black,0,NA,,T
D-Glucose 1P,alpha-D-Glucose 6-phosphate,to,black,0,NA,FBgn0033377,T
D-Glucose 1P,alpha-D-Glucose 6-phosphate,to,black,0,NA,FBgn0003076,T
D-Glucose 1P,alpha-D-Glucose 6-phosphate,to,black,0,NA,FBgn0033969,T
Glucose,alpha-D-Glucose 6-phosphate,to,black,0,NA,FBgn0001186,T
Glucose,alpha-D-Glucose 6-phosphate,to,black,0,NA,FBgn0042710,T
Glucose,alpha-D-Glucose 6-phosphate,to,black,0,NA,FBgn0042711,T
Glucose,alpha-D-Glucose 6-phosphate,to,black,0,NA,FBgn0001187,T
Glucose,alpha-D-Glucose 6-phosphate,to,black,0,NA,FBgn0036402,T
alpha-D-Glucose 6-phosphate,Glucose,to,black,0,NA,FBgn0031463,T
beta-D-Glucose,Glucose,to,black,0,NA,FBgn0035679,T
beta-D-Glucose,Glucose,to,black,0,NA,FBgn0030525,T
beta-D-Glucose,Glucose,to,black,0,NA,FBgn0043783,T
beta-D-Glucose,Glucose,to,black,0,NA,FBgn0052445,T
beta-D-Glucose,Glucose,to,black,0,NA,FBgn0032372,T
beta-D-Glucose,beta-D-Glucose 6P,to,black,0,NA,FBgn0001186,T
beta-D-Glucose,beta-D-Glucose 6P,to,black,0,NA,FBgn0042710,T
beta-D-Glucose,beta-D-Glucose 6P,to,black,0,NA,FBgn0042711,T
beta-D-Glucose,beta-D-Glucose 6P,to,black,0,NA,FBgn0001187,T
beta-D-Glucose,beta-D-Glucose 6P,to,black,0,NA,FBgn0036402,T
alpha-D-Glucose 6-phosphate,beta-D-Glucose 6P,to;from,black,0,NA,FBgn0028540,T
alpha-D-Glucose 6-phosphate,beta-D-Glucose 6P,to;from,black,0,NA,FBgn003074,T
alpha-D-Glucose 6-phosphate,D-Fructose 6-phosphate,to;from,black,0,NA,FBgn003074,T
D-Fructose 6-phosphate,"D-Fructose-1,6P",to,black,0,NA,FBgn0003071,T
D-Fructose 6-phosphate,"D-Fructose-1,6P",from,black,0,NA,FBgn0032820,T
"D-Fructose-1,6P",D-Glyceraldehyde 3-phosphate,to;from,black,0,NA,FBgn0039425,T
"D-Fructose-1,6P",D-Glyceraldehyde 3-phosphate,to;from,black,0,NA,FBgn0000064,T
NC36,Glycerone-P,to,black,0,NA,FBgn0039425,F
NC36,Glycerone-P,to,black,0,NA,FBgn0000064,F
Glycerone-P,D-Glyceraldehyde 3-phosphate,to;from,black,0,NA,FBgn0086355,T
D-Glyceraldehyde 3-phosphate,"Glycerate-1,3P",to;from,black,0,NA,FBgn0001091,T
D-Glyceraldehyde 3-phosphate,"Glycerate-1,3P",to;from,black,0,NA,FBgn0001092,T
D-Glyceraldehyde 3-phosphate,"Glycerate-1,3P",to;from,black,0,NA,FBgn0034173,T
"Glycerate-1,3P",Glycerate-3P,to;from,black,0,NA,FBgn0250906,T
"Glycerate-1,3P",Glycerate-3P,to;from,black,0,NA,FBgn0031451,T
Glycerate-3P,Glycerate-2P,to;from,black,0,NA,FBgn0014869,T
Glycerate-3P,Glycerate-2P,to;from,black,0,NA,FBgn0011270,T
Glycerate-3P,Glycerate-2P,to;from,black,0,NA,FBgn0038957,T
"Glycerate-2,3P",Glycerate-2P,to,black,0,NA,FBgn0026061,T
"Glycerate-2,3P",Glycerate-2P,to,black,0,NA,FBgn0026060,T
Glycerate-2P,phosphoenolpyruvate,to;from,black,0,NA,FBgn0000579,T
phosphoenolpyruvate,Pyruvate,to,black,0,NA,FBgn0037115,T
phosphoenolpyruvate,Pyruvate,to,black,0,NA,FBgn0036723,T
phosphoenolpyruvate,Pyruvate,to,black,0,NA,FBgn0031462,T
phosphoenolpyruvate,Pyruvate,to,black,0,NA,FBgn0038952,T
phosphoenolpyruvate,Pyruvate,to,black,0,NA,FBgn0267385,T
phosphoenolpyruvate,Pyruvate,to,black,0,NA,FBgn0038258,T
Pyruvate,Acetyl-CoA,to,black,0,NA,FBgn0283658,T
Pyruvate,Acetyl-CoA,to,black,0,NA,FBgn0036762,T
Pyruvate,Acetyl-CoA,to,black,0,NA,FBgn0039635,T
Pyruvate,Acetyl-CoA,to,black,0,NA,FBgn0028325,T
Pyruvate,Acetyl-CoA,to,black,0,NA,FBgn0029722,T
Citrate,cis-Aconitate,to;from,black,0,NA,FBgn0037862,T
Citrate,cis-Aconitate,to;from,black,0,NA,FBgn0024958,T
Citrate,cis-Aconitate,to;from,black,0,NA,FBgn0024957,T
Citrate,cis-Aconitate,to;from,black,0,NA,FBgn0010100,T
cis-Aconitate,Isocitrate,to;from,black,0,NA,FBgn0037862,T
cis-Aconitate,Isocitrate,to;from,black,0,NA,FBgn0024958,T
cis-Aconitate,Isocitrate,to;from,black,0,NA,FBgn0024957,T
cis-Aconitate,Isocitrate,to;from,black,0,NA,FBgn0010100,T
Isocitrate,Oxalosuccinate,to;from,black,0,NA,FBgn0001248,T
Oxalosuccinate,alpha-Ketoglutarate,to;from,black,0,NA,FBgn0001248,T
alpha-Ketoglutarate,Succinyl-CoA,to,black,0,NA,FBgn001097629,T
alpha-Ketoglutarate,Succinyl-CoA,to,black,0,NA,FBgn0035240,T
alpha-Ketoglutarate,Succinyl-CoA,to,black,0,NA,FBgn0037891,T
alpha-Ketoglutarate,Succinyl-CoA,to,black,0,NA,FBgn0036762,T
Succinyl-CoA,Succinate,to;from,black,0,NA,FBgn0029118,T
Succinyl-CoA,Succinate,to;from,black,0,NA,FBgn0004888,T
Succinyl-CoA,Succinate,to;from,black,0,NA,FBgn0037643,T
Succinyl-CoA,Succinate,to;from,black,0,NA,FBgn0038708,T
Succinate,Fumarate,to;from,black,0,NA,FBgn0039112,T
Succinate,Fumarate,to;from,black,0,NA,FBgn0261439,T
Succinate,Fumarate,to;from,black,0,NA,FBgn0014028,T
Succinate,Fumarate,to;from,black,0,NA,FBgn0036222,T
Succinate,Fumarate,to;from,black,0,NA,FBgn0037860,T
Succinate,Fumarate,to;from,black,0,NA,FBgn0037873,T
Succinate,Fumarate,to;from,black,0,NA,FBgn0030975,T
Fumarate,Malate,to;from,black,0,NA,FBgn0051874,T
Fumarate,Malate,to;from,black,0,NA,FBgn0286222,T
Fumarate,Malate,to;from,black,0,NA,FBgn0029890,T
Fumarate,Malate,to;from,black,0,NA,FBgn0036162,T
Malate,Oxaloacetate,to;from,black,0,NA,FBgn0036327,T
Malate,Oxaloacetate,to;from,black,0,NA,FBgn0036328,T
Malate,Oxaloacetate,to;from,black,0,NA,FBgn0262782,T
Malate,Oxaloacetate,to;from,black,0,NA,FBgn0262559,T
NC45,NC46,to;from,black,0,NA,FBgn0037988,F
