"","AHH0020","AHH0021","AHH0027","AHH0023","AHH0024"
"FBgn0000451",5.13954218614078,4.71523411631435,2.28463845776256,3.88087347086878,12.2762610399676
"FBgn0000454",44.4299896880854,82.4237774662824,74.8097571595017,36.4958909230185,66.1388873329742
"FBgn0000455",17.1768909905231,23.5761705815718,19.6867781998689,16.7779176316347,22.7259503681061
"FBgn0000459",2.36689442782799,3.00735404268868,4.10748829108375,0,0
"FBgn0000463",11.5639699188168,6.72013681144014,8.43371856216605,2.39124526992925,7.51867890683136
"FBgn0000464",20.6934198547247,19.3807260528826,23.7699618265083,21.2468022344533,6.07441290212929
"FBgn0000473",0.338127775403999,4.78948977168938,1.43397520221267,19.090761417304,54.2449320001336
"FBgn0000477",41.5897163746918,45.5187167448929,22.8220799131813,82.5175621836241,27.2711404417273
"FBgn0000479",111.717416993481,59.8500582322735,97.972102374903,82.4391606993641,58.6626868380458
"FBgn0000482",9.33232660115036,4.15831670100163,8.48232789105461,3.01845714400905,8.92046649963043
"FBgn0000489",28.1322309136127,20.8658391603832,23.1866498798456,61.1139569806508,20.474594537247
"FBgn0000490",18.9351554226239,14.2942136596931,21.3394953820801,45.4336601286557,18.0108466468729
"FBgn0000492",2.09639220750479,3.23012100881377,3.37834835775528,12.2306315445562,2.93101042130714
"FBgn0000497",13.7279876814023,12.5492057583799,15.7251178954508,15.6802968519951,7.22133002351035
"FBgn0000499",7.30355994872637,5.23502370393956,11.2773643021471,8.34975807368738,5.98945607832329
"FBgn0000500",0.270502220323199,0.297022621500117,0.729139933328477,2.58724898057919,0
"FBgn0000504",14.4718687872911,12.5863335860674,13.0029954776912,1.68563191158947,12.6585667470946
"FBgn0000520",3.51652886420159,2.33905314431342,3.23252037108958,7.3305387783077,2.54870471418012
"FBgn0000524",7.43881105888797,7.05428726062777,7.2427900043962,2.50884749631921,7.68859255444337
"FBgn0000527",3.31365219895919,3.49001580262637,3.47556701553241,1.33282523241958,0
"FBgn0000529",1.014383326212,4.0840610456266,0.996491242215585,0,3.69562183556118
"FBgn0000533",20.6934198547247,9.50472388800373,9.64895178438018,21.1684007501933,6.03193449022629
"FBgn0000535",7.37118550380717,6.75726463912765,3.91305097552949,8.11455362090745,7.39124367112236
"FBgn0000536",9.12944993590796,11.3239874446919,10.66974769104,16.1507057575549,22.3861230728821
