Sample	A1	B1	C1	D1	E1	F1	A2	B2	C2	D2	E2	F2	A3	B3	C3	D3	E3	F3	A4	B4	C4	D4	E4	F4
Group	A	B	C	D	E	F	A	B	C	D	E	F	A	B	C	D	E	F	A	B	C	D	E	F
ADP / dGDP	27233413.34	47775623.44	126883250.4	45626998.51	45745628.54	34904776.77	59227522.29	67965652.3	30994679.59	54615780.71	54865415.86	56571057.86	31872757.65	56324239.98	59685659.85	48627898.12	46044487.23	46844678.18	42798685.41	54514086.61	60392394.76	57565884.46	14943224.41	52679591.95
ADP-D-glucose	53776.44307	195536.7698	423875.3543	141245.6727	168726.8216	218554.8937	174251.5425	323787.886	97951.94988	238214.911	157822.3441	98240.38458	130374.0326	264761.4179	189831.5659	154934.045	203121.7507	38219.71149	137292.2992	262419.482	246389.6895	147269.7725	9891.061401	118327.0394
agmatine	2010489.142	16698776.71	9720847.705	18417026.43	12123162.59	17648346.64	18606664.21	25984269.47	11253171.56	15117051.04	12355460.14	19065317.61	21891433.7	14061737.52	9663590.475	16272380.8	13341863.9	24311090.36	30521957.34	28888941.35	12077243.54	17102653.51	9849045.218	21143653.76
AICA ribonucleotide	59586.49455	61151.76999	392872.176	63317.66327	198319.9448	228642.8515	382957.7047	63020.76897	820034.7614	223195.2156	310307.2415	310588.2074	138478.1549	301807.0064	368377.6038	58459.43803	252850.9278	501840.2789	386599.6443	445929.7515	617566.9702	68223.02237	60853.56147	290568.4083
a-KG	270420347.9	419933069.8	470748413	779606394	424850276.1	349201288.6	225223634.3	527206471.7	466033200.3	440370850.3	230556308.5	452594282.5	173194509.7	291045337	456948093.3	488410450.7	388878291.8	493285263.8	247346348.3	307755366.8	379696258.1	608111531.4	261945764	405353519
alanine	1669358806	2149958993	2060637456	2135683601	1828686224	1412723053	2257213139	2270939300	2469878674	2213953915	1893784679	1479769712	1263117070	2720915322	1706028137	1991132323	1778661404	1467808082	2321774371	2130751592	1989955209	2091256894	1606975066	1599788681
alanine methyl ester																								
allantoin	59051556.37	179153351.9	254859769.5	138900563	182277595.1	71301060.28	151539747.8	194715261.2	346169380.5	142503291.2	227891345.9	114788758.5	103094362.2	196843850.6	104556685.5	194869834.2	262209553.1	198678545	243327423	200756029.3	240993180.8	201237686.6	78927952.2	181826882
AMP / dGMP	76137494.78	184147277.8	259306108.1	157312722.6	167032927.3	145592299.3	191797254.8	199981144.2	192543202.6	189203990.2	194270512.3	197358760.8	167958847.9	207110493.3	190458222.6	180201549.2	216916173.9	223873168.2	170694752.7	216246645.7	194515528.6	159133719.1	63062652.83	210200788.6
anandamide																								
arginine	5979625876	7336284345	15843500700	7830439824	8450356419	6405913066	8790407340	9095339643	8800994308	9969891762	9520335544	9976449055	4809604143	10631380205	9784425730	8927102618	9966088992	9286220264	9976524623	9640103884	11322719831	8792678980	5820301205	8753940393
ascorbic acid	186479769.8	198272003	411747431.7	857367034.9	415438375.2	415377406.3	355071176.9	219801906.5	177834795.5	1629265381	828186325.7	637874740.4	466262490.4	346752797.5	521778878	990299619.5	844116750.7	566987611	260861757.1	45773622.3	295474995.4	715857199.2	143009684.6	846261499.5
asparagine	288552246.3	683989316.3	736432808.5	1088801582	929408653	493107221	724926749.7	701951030.8	769868136.1	1084540108	965108433.7	738534001.6	510025387.6	803144336.4	798922306.7	1093931876	1151367052	811204437.9	712694365.1	742128553	750468016.9	1107063396	551013102.1	800271692.1
aspartic acid	28703055.87	40296104.95	68788151.69	25080823.15	34714322.55	35257242.62	60882292.76	55971935.54	29456643.84	76307232.99	48727587.61	38621859.87	40104691.49	82584089.66	58872507.62	58225942.77	70941919.46	30841951.25	47470628.87	62547114.26	56374281.04	51552788.35	19998634.49	47434392.84
ATP / dGTP	2393536.42	2450855.655	15547333.59	3798689.034	4123665.355	3482474.978	3583699.62	5563230.494	1452713.324	3230183.454	3292203.378	5387752.686	2473183.005	4763427.721	6711365.715	4183670.961	3759944.686	4132256.343	2705729.125	3543780.635	5998599.691	5151718.783	2228649.009	4798875.054
b-alanine	1222618787	1428480692	1628465325	1046194014	954741362.1	760211940.6	1666250060	1439028641	1513767483	959663580.4	1098687583	964105746.7	1089995016	1704627122	1165385309	1021458067	1016759492	944271210.9	1474557502	1611693074	1497163961	995660318.4	764248657.4	1057374001
