Sample	A1	B1	C1	D1	E1	F1	A2	B2	C2	D2	E2	F2	A3	B3	C3	D3	E3	F3	A4	B4	C4	D4	E4	F4
Group	A	B	C	D	E	F	A	B	C	D	E	F	A	B	C	D	E	F	A	B	C	D	E	F
N-methylaspartic acid	810901884.2	1403467041	1477220948	1025026.853	1003492080	742639829.3	1167170835	1641056098	893867715.2	697264.0793	1013196093	938219128.2	996272983.4	1223220547	1425201530	539508.2396	627170.7379	805357.1583	345948.0791	1289600376	1101535.18	66643.87795	471721559.2	298706.6196
N-methyltryptamine																								
NMN	5642845.545	14580669.19	34324053.62	7750999.199	7721376.481	3166611.905	20068086.3	19339576.02	17882039.96	12037592.14	7993114.841	8744843.261	9167136.83	25988637.02	18750426.67	10741639.49	9048582.701	6675807.038	17000607.29	20649124.46	24631994.33	10192618.94	3226541.745	8819478.802
norepinephrine / pyridoxine	5190668.232	1317181.495	3565959.815	3507652.08			2185158.365	2553267.53	4292504.073	3043520.443	3097632.746	2453781.16		1674986.526	4953095.189	2504728.542	4301596.029	4084236.234	3624879.476	2969039.14	3297863.997	749831.5085		1967217.196
octopamine																								
ornithine	14790230.49	12757068.78	73523839.6	42744814.93	49773367.9	39512201.85	28070872.75	20180611.62	25876326.55	42998019.3	49504094.94	50746955.53	12888849.36	27399181.28	30374045.14	62004873.75	51877413.16	51619740.46	20929422.86	23558221.12	44512910.79	36659549.57	53443691.17	55280934.98
orotic acid	976457.9187	2534561.992	3842601.014	11070950.01	15182537.18	3499020.626	2952486.542	2587303.656	6081047.559	8474117.697	14823107.34	6935409.043	2252189.641	2994154.576	2349769.224	10800950.48	14823681.91	16340347.27	4450008.112	3340663.633	3842086.877	12026948.91	1935091.773	11598434.71
orotidylic acid																								
O-succinyl-homoserine	41210.96548	90481.50876	746801.6832	328114.8006	167447.3921	193154.2684	301546.6014	416775.4857	482052.1359	310867.0604	484187.904	445386.0795	42563.71457	625712.8419	225202.4429	348055.1212	231452.0059	404155.1194	387438.5186	629997.4929	654636.0866	397324.9063	202065.8125	442580.4021
oxalacetic acid									90716.25579															
pantothenic acid	186858047.5	471705959.4	467098780.5	379553104.3	371904926.3	221408801.5	433926248.9	379989923.6	508062045.2	427587286.2	367684717.8	305788897.8	203733590.9	431273872.4	244433912.2	359471841.6	394361975.7	466883046.5	509746817.2	408797637	411619096.4	361561474.1	120496795.1	479418347.4
phenethylamine	2051902.874		2018426.805	790843.0571	1959961.403	714576.9387	2077875.135	1123170.123	1486572.741	1217915.39	1391350.652		2440764.762	289925.0164	1571727.746	1686608.935	2309117.944	2564251.528	2236249.89	1280394.366	2523128.767	735492.7147	1198315.019	974065.7455
phenylalanine	1179264809	2553035730	2469422544	2044445860	2186728517	1192889551	2918027973	2367689806	3320224698	2428566196	2462388711	1771472129	1550749021	2595010368	1424074650	2111389406	2533136559	2161516719	3184557619	2552403706	2871090064	2204323027	976688521.2	2463733239
phenylephrine / synephrine																								
phenylethanolamine																								
phosphocreatine	219511.5632	294820.6484	92150.15864	122214.2987	73868.97183	52929.54606	17202.33079	12047.0844	17320.18917	18865.45254			10586.88619											
phosphoenolpyruvate	451423.9344	689397.75	6245328.607	1068179.788	683268.3412	639540.0901	1109786.209	1738114.437	563569.7407	1091216.707	1457788.722	1446989.93	100314.1931	1772778.944	415029.2512	977035.4851	588670.9093	770833.7441	409841.9572	1338289.497	1175138	1522846.723	118357.1699	1035162.389
phosphorylcholine+	1673025269	3873332299	5789763949	8280538653	6022920723	4235017851	3288316306	5376500796	2816866852	8714570990	7361596453	6965708436	1572588824	5764210524	4187703705	7688432258	8466724397	6664649896	3255813191	4872586187	3918784079	8725206835	4112279907	7147705894
picolinic acid																								
proline	11321822552	20197379654	21754156216	17116485914	17524763177	12175389019	20192616707	20427202580	22282499822	19458702890	19190310041	15357212982	13990976632	21486322718	17924805531	16899746034	18467397297	19930197687	21684102282	20385627991	21075694932	19226318673	10797240898	18760219354
propionic acid																								
PRPP				80.0992286			9609.506485																	
pseudouridine	8704499.938	22007181.01	17959234.8	13541603.71	18174284.94	8355334.61	19984011.62	17252321.15	18861717.05	15903606.33	22148261.51	14939790.86	10935652.36	19386813.05	10480522.93	13368004.16	20824622.98	18075786.71	24809424.71	19829247.03	17389168	13214403.28	5455857.531	19180535.77
purine																								
putrescine	41551.88311	69259.5526	1275974.729	1558083.655	9673152.717	1669070.879	2732437.555	2378560.254	2503063.357	2596796.054	2220845.588	1870645.935	3707527.251	1906644.601	982040.024	2020894.575	1868250.124	1877920.346	2590512.157	2426939.481	2870102.438	2104969.089	1518355.762	2613990.44
pyridoxal	18656624.06	30699062.84	27742306.85	19982815.05	8607893.932	11079603.35	34095001.91	24847718.91	44619386.93	15413806.57	13087452.94	10605489.05	21296617.69	31131112.59	26058546.98	23993804.69	20108321.44	24176573.71	48565707.35	34229319.62	31136485.49	26742148.55	13723554.64	28830836.17
pyroglutamic acid	966379008.9	1779860595	2843892619	2516849462	2640535101	1163310271	2116039163	1896248200	2615423037	2588812490	2442615183	1804693640	1338992874	1952513335	1302283384	2460862987	2967588390	3107195687	2723317491	2279596076	2373006280	2737065448	715972330.2	2427373948
pyrroline hydroxycarboxylic acid	2718538291	3633807808	3262576646	5526942888	4376898374	2439225850	3288836965	3483363337	3192002803	5944740881	4423862010	3928371236	3101851529	3759967389	3228936966	5645894318	5373016100	4445002839	3255383288	3518755221	3408888423	5772703054	2575985749	3994936531
pyruvic acid	581410386.8	760988202.7	495690771.8	1361915183	572237587.7	680941852.5	384534518.7	763848765.2	1147875858	631378803.7	502179566.3	551792375.8	214708886.7	408480044.9	659560281.7	770984455.7	578472019.4	939115903.4	536522895.2	653291510	619046512.2	1515056085	814915839.4	681579584.4
quinolinic acid																								
S-adenosyl-L-homocysteine	540989.9462	560704.2072	926466.8336	666228.7994	845899.0359	540149.8003	986081.1066	796538.0755	1096479.35	808686.2947	1102456.066	575652.5647	616216.7252	553027.0909	880091.4995	1041193.474	1045388.621	1036094.969	721299.079	645733.9249	952794.2953	1325871.834	381930.2854	1061117.181
S-adenosyl-L-methionine+	5638134.245	19278821.68	112474481.7	18745281.22	13797982.42	11451496.69	16417921.2	27436058.47	26851095.49	28503627.59	20501322.47	20346275.01	6817314.557	35485357.71	28622826.14	24750463.23	23922418.67	15806130.36	17692584.1	25321954.88	55901237.41	23662779.02	13666584.92	22975799.28
S-adenosylmethioninamine+				9347.576093								12305.43668												
SAICAR	8553.545042					4913.725306	13605.55781	15165.21522														11878.13074		
sarcosine	55796366.35	389303903.5	418335.7764	230058898.5	248951799.9	152523558.9	522130.1799	612963738.9	443824731.5	455003.3878	1400949.269	6030832.943	179229665.4	424535.5979	1424347.491	687904.698	1434920.991	245071692.6	201965309.1	554637630.1	365851.8289	295679863.8	3312047.71	848984.2887
serine	181453006.7	373553959.9	358546429.3	401473246.4	325026688.5	226118425.2	347163656.6	360821229.7	365433153.8	409817159.3	292807858.6	302938944.6	234733101.6	386114348.7	375787060.5	371430579.9	368841204.6	313758963.6	360596350	369340116.8	380655883.8	393026166.6	196721898.9	305071107.5
serotonin		3563101.392	5064324.975	871273.5092	2455156.679	1292612.967	2654821.444	3250162.883	1932369.177	361332.98	2989882.434	1439886.841	1052141.956	1966768.686	2347162.054	1851764.604	2057092.127	5481527.198	3008045.733	3036861.353	3930391.107	2635700.212		3744052.112
sorbitol / galactitol / L-iditol / manitol	409760339.5	1822465223	1042943670	710940716.7	2479941913	327778358.2	776751440.7	1077314707	905924858.1	766281271.6	562052996.7	585276039.3	499502662.9	2366102291	672958692.9	1188668502	916526424.5	879126440.2	909701370.6	1559213507	765996786	951593077.8	828517073.8	598926693.2
spermidine	551421444.4	876677935.2	673297380.8	791161560.9	729512905.4	447746221.2	581494734.2	526668571.8	395467492.9	315795209.6	250576289.8	174625209.4	226392462	165801133.5	124236392	196869474.6	196554462.5	202180009	200403852.3	188348870.3	184610904	187219023.8	105501993.8	176607871.6
spermine	52700900.23	81332104.28	66537959.93	80014520.85	83600867.04	56748065.77	78985270.86	77496300.6	73784576.02	78702828.45	76850941.56	62947566.83	91106550.59	71933879.96	50425456.73	77834616.37	76368055.95	79311912.77	79556020.4	79112867.12	81837579.05	84342953.53	54025954.72	86995725.79
succinic acid	1618826520	2397186670	1808039044	2166059576	2199194172	1555954383	2195511371	2291075011	2307434074	2807225861	2385417507	1726800911	1654512962	2948356707	1888884499	2094002183	2107853273	1463955543	2171280814	2323444065	2089009365	2209477795	1281103541	2010472712
succinic semialdehyde																								
succinyl-CoA																								
taurine	1021415403	2201004230	1466190861	2210924964	2120062513	1311135737	1808229264	1826132803	1794668709	2360179453	1964327850	1698816426	943936343.7	2132475674	1877348658	2104840416	2025442576	2413482758	2226292550	2024367329	1522049371	2201778665	717152664.4	2100689896
thiamine diphosphate+	8962062.498	7012018.464	19487246.77	8582198.146	7906402.743	6412545.87	7229241.606	6216302.355	6146215.538	6999397.251	7145822.262	7750964.309	3907550.037	4966996.986	3469754.629	3793787.77	4630758.438	3293904.385	2449715.492	3339831.24	2536540.119	2521909.114	684276.2699	2061393.856
thiamine phosphate+	6974079.167	8455438.392	15859079.01	13409199.68	12108553.16	10750875.33	9805122.301	10507525.23	8659291.875	13529305.67	14165413.81	12889790.14	5526254.079	11793878	8246288.82	13370530.88	14030015.59	13654058.83	9911698.337	10641930	10258050.56	13361516.67	7081305.122	14450290.43
thiamine+	102284901.2	142163729.5	111705338.3	62685919.31	104137118.9	66677116.69	177620004	147097916.1	113527651.7	90558584.74	103916585.8	100158972.5	84550931.78	129566555.4	85352699.53	69325244.27	104001905.3	129724009.5	207816522	161027270.8	103093204.6	88966927.67	45666539.37	108688477.5
thymidine	2072508.011	40411.46695	2499461.809	1518463.902	1197170.201	2777761.649	1300024.616	738606.3395	2704512.955	1479063.485	2168724.391	2730191.477	399017.3021	783633.9442	3962033.688	1583998.401	2532415.378	2064039.374	1395852.877	851522.7594	1628999.524	1359782.221		1251574.935
thymine	7163275.187	1620814.05	3098441.023	2841261.802	4258684.779	8638647.343	2451156.958	2299893.847	3179060.204	2100558.901	2225750.697	6678032.717	824150.3106	3317485.573	5879901.154	4166934.504	4132061.935	3729043.595	5342503.383	5619930.223	2553736.237	2840591.416	11178566.19	4343419.386
tryptamine																								
tryptophan	239579471	385119550.2	398237276.2	406934769.9	529277352.8	230515768.5	536608068.8	342470225.9	530515415.4	485310021.2	576007044	333374148.9	247511867.2	382090055	211666102.4	410794541.5	539723532	569480786.1	654477736.4	438625092.5	407361307.2	461294474.7	217184015.8	604570332.1
tyramine	5694810.838	4502652.907	15547238.34	8914994.565	7981616.887	6692368.198	9145765.966	9974847.427	17180264.99	9226519.371	17239901.42	10498540.67	3681799.521	3126354.812		3966717.499	28839417.23	13931066.1	17379569.79	9791449.625	12291890.94	8106213.915	4453656.906	12249547.38
tyrosine	7891310097	13346836377	12041502485	10456040484	12805143414	8003141168	16188820885	12234764310	15498926276	12069691929	13052977590	9519658723	8114149692	13569410477	8273901916	11848050763	14417211569	13246090755	14725117625	13201901530	13338187407	11160482261	4745189456	12467996926
UDP	393082.9957	791722.9638	4821842.683	582782.8474	806573.3922	420939.3187	779278.1742	1831024.767	164538.9943	915827.0558	244425.0564	1083011.362	315724.6883	1030731.657	577471.4807	725731.9099	1032716.388	663447.5445	545369.9186	1057158.181	1427208.037	503879.1514	83719.98971	685083.0946
UDP-D-galactose / UDP-D-glucose	1510815.197	4372426.116	10376330.17	3503201.332	15101.65132	3273109.405	3014412.424	5389160.037	1614398.358	6875692.781	2561711.731	4080412.304	1845486.111	4558599.105	4150099.617	4164234.6	4066661.043	2653613.788	2105937.907	3905009.771	4829430.831	3269993.735	675863.0009	3672297.059
UDP-N-acetyl-galactosamine/UDP-N-acetyl-glucosamine	2121170.194	8952929.829	14547565.08	7509500.839	5936814.156	5027747.303	7777986.039	9373785.956	4788309.719	9105842.387	6249268.307	6568729.193	7350708.655	10621424.09	7872720.117	7131477.989	6671598.648	4321770.336	5322607.021	8974534.502	8749962.625	7230169.893	1059061.021	5979978.781
UMP	5139625.312	8268042.561	9440741.145	4775990.454	5304994.233	3814670.244	7149205.71	9264189.854	3430761.872	8835461.415	3719116.811	4647275.609	4018084.973	7825114.463	4889339.243	6140062.11	6960237.539	3905118.018	4776969.249	7865274.486	5972436.315	5889061.714	1569800.374	5627775.573
uracil	99654133.39	109810915.8	152972907	201933714.8	154496066.9	117312090.9	161147275	125320242	268557805	160004883.4	217344873.1	124680938.8	82824549.44	139656204.2	127554119.5	152881342.4	189710911.9	189289373.6	213957710.5	164073495.7	196479328.7	176636089	186223332.3	211287930.1
uracil 5-carboxylic acid				57713.30877												56473.55469							46319.06306	94192.15702
urea	19026119.22	10137445.53	18721600.1	19028969.52	20669932.65	26717496.4	14704457.06	11217902.3	15665938.73	19008183.46	31933102.68	16110814.68	11265841.09	15178788.15	5657056.258	21105037.62	41677916.89	25909126.81	17174897.71	12901363.44	16502720.69	16521483.74	41009570.83	34879870.82
uric acid	3454784498	5677253629	5473626772	967670952.9	1255726846	1184006188	6821125055	4926793782	5921140837	1234749680	1167998405	1266873123	3836752196	5719371320	5006253907	1089578697	1091573075	1624975249	7540837292	5707194943	5456566179	911226417.8	462905356.6	1222164899
uridine	141442594.6	559790956.7	538025234.6	436374790.2	386151209.7	140945043.3	523618848.5	513011137.4	616940477.4	456147043.5	509276488.4	228737967.9	270052170.8	574352625.1	227512410.4	393356090	462850792.7	511266959	759346639.8	688214265.3	539873895.7	440594189.9	182048249.4	511236828.7
UTP		12020.49453	216236.0826		13402.50763	17886.29288																		10681.8032
valine / norvaline	578747178.4	975632404.2	855676660.4	1263240737	959704626.3	629670254.5	877719330.3	804811941	1032110830	1274255065	942455925.9	813590245.6	510133525.1	966217523.1	617785421.4	1073028830	1148041687	1067668311	969401670.9	972034280	894201568.1	1017284412	608277637.3	1057982523
vitamin B2	6975123.384	22826994.27	15765687.81	8486323.59	8139995.975	3092993.016	25275274.77	17838948.25	18001258.64	10046304.86	9891140.925	6886854.491	11883569.69	16063775.61	6853929.003	6151570.819	7538756.486	14100293.6	25781979.23	21481223.65	13192846.3	9451481.351	2983805.745	14167521.88
xanthine	40695229.95	156980720.6	105727371.8	5949677.834	22707796.49	4809438.022	118874247.6	114982987.5	143208284.4	11279973.82	11251139.47	8728110.878	72935185.66	139431225.9	62316326.87	9683084.048	22389080.59	14326367.4	137483852.2	128674201.4	116810945.5	7962841.665	8751040.326	13422889.11
xanthosine	61390.5726	58374.98447	313349.1001		268890.2944		343278.8874	101338.843	309930.9267	232670.9571	124558.8038		253912.7594	548700.4921	95867.07754	150607.0019	231714.8985	520428.056	796739.2345	417778.0636	330994.8528	524561.6163		100777.1853
xanthurenic acid	3313830.779	4476318.636	4864460.905	1881568.589	6799809.124	1101760.956	10839826.38	4150993.154	6678858.512	2130429.063	7579212.219	2186229.316	5792664.293	6103882.27	2739438.53	2828743.094	4824377.7	9064930.062	16656186.19	4998127.805	6446603.413	2930367.682	2258870.259	5720122.804
XMP		50448.8386	201911.2221	60456.47931	28971.93527	12504.81374	59093.70925	76039.986	17860.1452	40614.71374	16920.95375	24245.23721	19041.32917	108391.0247	19859.47584	90816.84139	19397.21135	18287.02916	24684.70622	118213.5417	99341.12441	41667.0273		38910.35724
xylitol / arabitol / ribito	75619434.81	148120911.2	165641677.3	207808174.2	157397546	112516811.8	175145111	170109422.8	198905201	186326542.7	195220014.8	184164432.5	80695642.24	196897939.3	99798431.42	267823201.6	183710971.2	243201034.2	188087697.5	182140809.1	146937381.1	235021031	65302008.29	198479144
y-glutamylcysteine	12160170.09	19773627.59	28917893.74	22717260.53	24946253.68	14032234.8	20246781.34	29916098.67	20241465.25	23125212.74	34392840.62	27826795.67	11489802.64	29519779.57	17362549.9	23907661.38	39763656.27	24359220.48	13399484.37	36935878.5	26862766.84	33717551.86	12285895.46	24766965.05
