Gene name,Glia precursors (GP),Midline glia (MG),Perineurial glia (PG),Subperineurial glia (SPG),Astrocyte like glia (AG),Ensheathing glia (EG),Cortex glia 1 (CG1),Cortex glia 2 (CG2),Twi+,Unanotated (UA)
Gabat,61.66564665,1895.735652,4574.855262,158718.2839,71015.20603,1.092230189,8.900055452,1.810222501,1.293396983,33.21059036
Tom20,2.117178991,8.961505019,23.84286779,7.071796919,8.168873338,32.61444268,3.569698847,199.053158,152.8824176,6.330214694
CG7668,1.289405773,1.441219597,1.904908913,1.901064558,1.806162232,2.570169028,1.310415154,2.464634806,2.984422704,1.516530202
kug,1.107572832,1.55051578,1.279140468,1.163672366,1.243353424,1.554428969,1.123588505,1.569915541,1.293396983,1.067502238
CG14183,1.002495083,1.037225095,1,1,1,1.054358991,1,1,1.026061009,1.008198621
CG14184,1.20851232,2.077113926,1.837176762,1.476654852,1.594787058,3.204402976,1.616225759,3.355623258,2.492573909,1.659044962
sNPF-R,1,1,1,1,1.097843767,1,1,1,1,1.01646446
CG14186,1.010017746,1,1.03686752,1,1,1.008861195,1.009365794,1,1,1.041670815
CR44679,1,1,1,1,1,1,1,1,1,1
CG14185,1,1,1,1,1,1.008861195,1,1,1,1.008198621
Ir76b,1,1,1,1,1,1,1,1,1,1
gig,1.010017746,1,1.051992343,1.021890563,1.015679663,1.063701872,1.009365794,1.048621014,1.052801194,1.01646446
CG7328,1.066936391,1.178768635,1.251653957,1.106336262,1.064209244,1,1.107986357,1.126020745,1.066431491,1.111985927
CG42674,1.099323574,4.814372421,2.033181272,1.833677196,1.224159023,3.625659148,1.486157294,5.79277417,13.101422,1.288039193
Ssk,1.017596859,1.037225095,1.021960152,1.021890563,1.015679663,1.017800911,1.042842263,1,1.026061009,1.01646446
Su(var)3-3,1.017596859,1.075835899,1.090776692,1.051825205,1.0477804,1.182488525,1.033165845,1.60762802,1.080238255,1.024798068
CG13813,1,1,1,1.106336262,1,1.008861195,1,1,1,1
CG17233,1.02268117,1.268161613,1.198440155,1.130554586,1.132541315,1.972509743,1.052609309,3.778501401,1.807104387,1.111985927
Clc,3.564084991,21.15421069,22.33863354,9.856674331,10.64209244,19.72509743,60.72965441,65.22783887,9.138898517,5.464980951
CG6951,1.038087033,1.037225095,1.147488727,1.074850251,1.0477804,1.15160272,1.082462738,1.180769016,1.108390354,1.093974231
rdgC,1,1,1.007267112,1.163672366,1,1.017800911,1,1,1,1
CG32228,1,1,1,1,1,1,1,1,1,1
gogo,1,1.018442485,1.014587035,1,1,1.026819843,1.014081534,1,1.012946696,1.008198621
CG17122,1,1,1,1,1,1,1,1,1,1
CR43890,1,1,1,1,1,1,1,1.024021979,1,1.008198621
FRG1,1.115883993,1.136463666,1.326299205,1.306133176,1.186654592,2.251595756,1.144733661,3.436231971,1.694533969,1.256871215
Pex23,1.020135847,1.018442485,1.044402552,1.029293393,1.031605178,1.063701872,1.018819306,1.048621014,1.066431491,1.024798068
SCCRO4,1.091135757,1.178768635,1.478465929,1.163672366,1.243353424,2.007622214,1.18269972,3.200034343,1.85419935,1.288039193
CG32225,1,1,1,1,1.031605178,1.017800911,1.004671983,1.024021979,1,1.01646446
polo,1.053724973,1.157422881,1.54411359,1.334725167,1,2.832091494,1.018819306,7.521226366,6.457372888,1.177394454
alphaSnap,1.573873043,3.660092519,2.920174505,2.727323641,2.623728658,5.06968345,3.88211884,3.778501401,2.798513294,2.299863854
Spn77Ba,1.431674059,2.448436747,1.172687754,1.718342445,1.47543105,1,1.884966532,1.099606032,1,1.130294175
Rbbp5,1.030355309,1.075835899,1.114730314,1.082636734,1.115057588,1.291549665,1.047714405,1.60762802,1.433588739,1.085078087
eRF1,1.410427118,2.682695795,4.224605533,2.747081052,1.863246312,3.690199184,1.749504161,21.3745464,18.78205106,2.281161474
CG5618,1.03292613,1.095676986,1.03686752,1.082636734,1.168335485,1.082636734,1.037992778,1.048621014,1.066431491,1.008198621
kin17,1.03292613,1.095676986,1.130990923,1.074850251,1.097843767,1.568203067,1.042842263,1.394215469,1.452148977,1.102943312
DNApol-alpha60,1.015064189,1.075835899,1.067337791,1.029293393,1.015679663,1.063701872,1.009365794,1.267922718,1.182022377,1.033199999
Ide,1.043273722,1.22264841,1.122831183,1.098379329,1.150299182,1.302994339,1.102833936,1.646246427,1.094223771,1.102943312
RhoBTB,1.276616949,1.55051578,1.989491731,1.223979925,1.723798452,3.722898758,1.092600861,1.533087739,1.361689888,1.22645744
CG5498,1.051102385,1.364333789,1.355424938,1.306133176,1.080895687,1.697794246,1.082462738,2.13745464,1.830500418,1.148903858
fbl,1.242097948,1.730195739,1.54411359,1.130554586,1.323188207,1.410669535,1.757677815,1.569915541,1.694533969,1.177394454
CR43944,1.00750394,1.018442485,1.021960152,1,1,1.082636734,1,1.024021979,1.039345109,1
CG33969,1.038087033,1.157422881,1.106687889,1.114350837,1.0477804,1.385997517,1.067431663,1.462003639,1.27686579,1.139561029
trbl,1.040677146,2.234633727,1.436258806,1.082636734,1.097843767,2.311983202,1.199353946,2.13745464,1.166914687,1.158323286
CR45973,1.004996391,1.018442485,1.098703488,1.007244249,1,1.017800911,1,1.024021979,1.026061009,1
CG13248,1,1,1.014587035,1.007244249,1,1,1,1,1,1.008198621
CG5282,1.002495083,1,1.007267112,1.007244249,1.031605178,1.035918694,1.014081534,1.024021979,1.039345109,1.058821363
CG5274,1.03292613,1.056354104,1.082907085,1.074850251,1.097843767,1.141487774,1.072418686,1.209133425,1.212827073,1.058821363
CG5262,1.043273722,1.157422881,1.051992343,1.098379329,1.080895687,1.235816596,1.067431663,1.126020745,1.182022377,1.058821363
Las,1.066936391,1.115883993,1.198440155,1.106336262,1.132541315,1.172102298,1.092600861,1.298380732,1.327104213,1.085078087
Psn,1.260809146,2.404099184,2.563333017,2.164827008,1.922134544,3.261444268,1.623776739,4.790847768,3.619588651,1.742347401
mRpL15,1.127062635,1.415121244,1.405396094,1.306133176,1.205260937,1.58209922,1.233369253,2.646551883,1.878205106,1.288039193
CG5872,1.015064189,1.075835899,1.03686752,1.059444888,1.015679663,1.045098172,1.033165845,1.209133425,1.094223771,1.024798068
CR43943,1,1.018442485,1,1,1,1,1,1,1,1
CG5910,1.017596859,1.056354104,1.007267112,1.014540976,1.015679663,1,1,1.180769016,1.012946696,1.01646446
CG5199,1.02268117,1.115883993,1.155827656,1.044260324,1.015679663,1.280205514,1.028361358,1.36150932,1.327104213,1.085078087
Uhg8,1.051102385,1.268161613,1.297799335,1.067119771,1.064209244,1.326188825,1.092600861,2.980072324,1.977376577,1.196779618
atk,1.017596859,1.037225095,1.051992343,1,1,1,1,1,1.012946696,1.008198621
CG5955,1.562150757,3.796339812,2.857425017,1.03674985,1.132541315,1.017800911,3.439040157,1,1.012946696,1.085078087
CG32428,1.069598485,1.579111144,1.510933266,1.781491272,1.498565312,2.503037943,1.685468529,8.672500427,3.482566687,1.785554249
CG5969,1.328546083,1.668100537,1.904908913,1.781491272,1.922134544,1.743328822,1.557068405,2.58446785,2.055176674,1.714125253
isoQC,1.043273722,1.136463666,1.122831183,1.163672366,1.064209244,1.15160272,1.062467831,1.048621014,1.080238255,1.093974231
ZnT77C,1.149756995,1.930697729,1.075094254,1.007244249,1.064209244,1,1,1,1.026061009,1
ND-39,1.708771463,4.557536534,5.287744233,5.946955255,4.73887961,5.114606904,2.030917621,17.26288598,7.63275925,2.557416239
CG32425,1.088420058,1.522438235,1.405396094,1.403897573,1.186654592,11.11672882,1.123588505,4.356876582,7.249953073,1.455863196
CG18281,1.002495083,1,1,1,1,1.035918694,1,1,1.012946696,1
CG17637,1,1,1,1,1,1.008861195,1,1,1,1
CG5059,8.547088126,30.48786299,150.0032363,14.55490598,22.45697996,588.9995223,5.506690758,65.22783887,61.33515925,9.918680493
mTerf3,1.038087033,1.136463666,1.172687754,1.146993954,1.115057588,1.955184472,1.082462738,1.767757467,1.212827073,1.130294175
CG5104,1.093858231,1.056354104,1.215921843,1.241777788,1.168335485,1.314540426,1.233369253,1.153069992,1.080238255,1.139561029
CG4825,1.020135847,1.095676986,1.03686752,1.082636734,1.031605178,1.121523632,1.018819306,1.180769016,1.108390354,1.041670815
CG4858,1.187614044,1.730195739,1.521913387,1.476654852,1.47543105,1.728016531,1.398778627,2.77522992,2.191705124,1.309246063
Rcd2,1.010017746,1.018442485,1.014587035,1.163672366,1.132541315,1,1.009365794,1,1.58897593,1.033199999
knrl,1,1,1,1,1,1,1,1,1,1
kni,1,1,1,1.007244249,1,1,1,1,1,1
cmpy,1.015064189,1.037225095,1.007267112,1.051825205,1.015679663,1,1.009365794,1,1.012946696,1.058821363
CG13252,1.064280922,1.339627725,1.130990923,5.110506557,3.113459661,1.008861195,1.092600861,1.099606032,1.108390354,1.139561029
CG4074,1.056354104,1.136463666,1.207149354,1.114350837,1.132541315,1.172102298,1.077429008,1.298380732,1.24443457,1.093974231
CG4186,1.069598485,1.157422881,1.155827656,1.098379329,1.168335485,1.246767408,1.097705474,1.394215469,1.152000093,1.093974231
CG4042,1.058989795,1.075835899,1.198440155,1.163672366,1.080895687,1.361757001,1.102833936,1.267922718,1.24443457,1.22645744
Pitslre,1.083008923,2.234633727,1.636200338,1.657432066,1.262848787,2.662486144,1.210586848,4.057396243,2.692573689,1.352713031
Pex16,1.051102385,1.157422881,1.307230588,1.130554586,1.064209244,1.638926159,1.166276754,1.767757467,1.182022377,1.148903858
Pex14,1.161274969,1.522438235,1.891165601,1.466034534,1.343935353,2.639100559,1.21624269,3.05165956,3.713918783,1.455863196
CG11399,1.00750394,1.018442485,1.059637289,1.014540976,1,1.224961969,1.014081534,1.180769016,1.108390354,1.008198621
CG11396,1.072267222,1.268161613,1.106687889,1.098379329,1.064209244,1.131461672,1.092600861,1.209133425,1.080238255,1.085078087
Six4,1,1,1,1.007244249,1,1,1,1,1,1
tzn,1.226717579,2.234633727,1.823922116,1.414067756,1.863246312,2.079733382,1.35387618,3.436231971,2.055176674,1.686360242
Spc105R,1.004996391,1.056354104,1.075094254,1.007244249,1.015679663,1.398279111,1.004671983,1.267922718,1.122740346,1.008198621
CG3634,1.004996391,1,1.021960152,1.029293393,1.015679663,1.172102298,1.004671983,1.073810967,1,1.01646446
HIPP1,1.064280922,1.291549665,1.198440155,1.114350837,1.186654592,1.653449003,1.082462738,1.810222501,1.630386245,1.093974231
CG3618,1.025232844,1.095676986,1.139209961,1.051825205,1.031605178,1.111672882,1.062467831,1.073810967,1.052801194,1.05021108
Pka-R1,1.102066477,1.136463666,1.224758083,1.598680786,1.323188207,1.697794246,1.268349279,1.49712386,1.568666877,1.236512701
Mst77F,1,1,1,1,1,1,1,1,1,1
CG13255,1.13269388,1.730195739,1.147488727,1.466034534,1.243353424,1.035918694,1.087519986,1,1.026061009,1.01646446
CR45943,1,1.018442485,1.021960152,1.007244249,1,1.035918694,1,1.048621014,1.182022377,1.008198621
CSN3,1.113106699,1.364333789,1.345645978,1.334725167,1.323188207,2.098162306,1.155455001,3.436231971,1.716472585,1.256871215
CG11456,1.004996391,1.037225095,1.051992343,1.082636734,1,1.161807296,1.028361358,1.073810967,1.026061009,1.033199999
CG32432,1,1,1,1,1,1.008861195,1,1,1.012946696,1
CR45734,1.035503366,1.018442485,1.007267112,1.03674985,1.064209244,1,1.042842263,1,1.026061009,1.01646446
fng,1.235922794,6.218001087,1.784729191,4.297628194,1.243353424,3.53095937,1.528306733,2.188800532,4.446770263,2.752430186
skd,1.242097948,8.329806648,2.7359422,1.542012074,1.365007807,8.683550174,1.514125743,24.64634806,8.906778875,1.714125253
CG10585,1.030355309,1.037225095,1.106687889,1.090479624,1.015679663,1.435780738,1.077429008,1.394215469,1.830500418,1.148903858
CG10584,1.020135847,1.056354104,1.014587035,1.044260324,1.031605178,1.161807296,1.009365794,1.209133425,1.080238255,1.033199999
Sin,1.096587497,1.22264841,1.307230588,1.189145809,1.031605178,1.697794246,1.233369253,1.726288598,1.433588739,1.187047466
CG10581,1.083008923,1.364333789,1.297799335,1.223979925,1.132541315,1.092230189,1.193776642,1.099606032,1.039345109,1.148903858
siz,1.178768635,10.37225095,1.684283113,1.82048912,2.280909784,1.337940443,1.256580406,1.726288598,1.166914687,1.319980076
ko,1.00750394,1.018442485,1.014587035,1.014540976,1,1,1,1,1.452148977,1.058821363
ICA69,1.00750394,1,1.014587035,1,1,1,1,1.153069992,1.039345109,1.05021108
CG10565,1.172908326,1.930697729,2.367084908,1.487352107,1.47543105,3.148359312,1.392273947,11.26020745,5.462987007,1.937465789
Ac78C,1.167077153,3.402091828,1.147488727,1.445022496,1.0477804,1,1.009365794,1.024021979,1,1.121102678
chb,1.074942617,1.55051578,1.500032363,1.445022496,1.386410669,1.743328822,1.227633768,2.188800532,1.528824176,1.130294175
AsnS,1.020135847,1.22264841,1.242623672,5.777706625,2.143290708,1,1.107986357,1.49712386,1.166914687,1.363803413
CG42337,1.002495083,1,1,1,1,1.008861195,1,1.073810967,1.012946696,1.008198621
CR45951,1.002495083,1.018442485,1,1,1,1.008861195,1,1,1,1.008198621
park,1.015064189,1.095676986,1.059637289,1.044260324,1.031605178,1.092230189,1.014081534,1.153069992,1.052801194,1.01646446
CG34261,1.035503366,1.056354104,1.215921843,1.138744605,1.0477804,1.172102298,1.004671983,1.49712386,1.27686579,1.158323286
CG33054,1.446016206,1.966304593,2.201746403,1.743328822,1.982883949,1.291549665,1.807527945,1.298380732,1.3101422,1.16781994
CG33056,1.328546083,7.329584653,3.735313385,8.973834513,2.427365277,1.141487774,4.163256784,1.073810967,1.260545886,3.81557754
CG10512,2.404099184,10.18442485,1.708851809,1.705983874,1.77827941,1.398279111,1.902620741,1.180769016,1.080238255,1.2466504
CG10510,1,1,1,1,1,1,1,1,1,1
CG10508,1.010017746,1.018442485,1.021960152,1.007244249,1.0477804,1.026819843,1.004671983,1.267922718,1.039345109,1.033199999
CG12975,1.043273722,1.115883993,1.307230588,1.130554586,1.097843767,1.268961003,1.150081837,1.898237355,1.509283936,1.177394454
Ilk,1.245197085,2.993577295,2.108139623,1.98520629,2.543345761,2.19278559,1.360201467,1.898237355,3.182682353,1.985511196
Eip78C,1.273439612,1.31536905,2.962771192,1.334725167,1.365007807,1.474288152,2.059516057,1.099606032,1.197325661,1.158323286
CG9391,1.187614044,1.861406687,1.73377889,1.781491272,1.430228426,2.061466327,1.292218732,1.49712386,1.379319273,1.605734575
CG9389,1,1,1,1,1,1,1,1,1,1
CR45162,1.002495083,1,1,1,1,1,1,1,1,1
AcCoAS,1.077624688,1.608233878,1.155827656,1.197760277,1.168335485,1.008861195,1.107986357,1.329570407,1.080238255,1.033199999
ppl,1.167077153,1.268161613,1.467799268,1.344394248,1.262848787,1.838094418,1.221924955,2.710127298,2.277938,1.177394454
CG12974,1,1,1,1,1,1,1,1.048621014,1,1.008198621
pzg,1.088420058,1.364333789,1.771852938,1.189145809,1.168335485,2.615920378,1.097705474,9.094166194,2.492573909,1.236512701
Cpr78Ca,1,1,1,1,1,1,1,1,1,1
Edg78E,1,1,1,1,1,1,1,1,1,1
CG11309,1.030355309,1.056354104,1.147488727,1.383776117,1.186654592,1.214202682,1.166276754,1.298380732,1.27686579,1.148903858
CR45952,1,1,1,1,1,1,1,1,1,1
CG7632,1.025232844,1.157422881,1.130990923,1.130554586,1.080895687,1.224961969,1.072418686,1.073810967,1.052801194,1.093974231
Pc,1.03292613,1.115883993,1.098703488,1.067119771,1.064209244,1.349796194,1.033165845,1.767757467,1.327104213,1.085078087
CR45674,1,1,1,1,1,1,1,1,1,1
Rab26,1.002495083,1.018442485,1.014587035,1.007244249,1.015679663,1,1.004671983,1.153069992,1,1.067502238
Tsr1,1.058989795,1.075835899,1.316730378,1.180593298,1.080895687,1.131461672,1.144733661,1.569915541,1.293396983,1.196779618
CG7324,1.146895396,1.762104848,1.345645978,1.215176881,1.343935353,1.887391822,1.118363529,1.427707284,1.379319273,1.196779618
ebd2,1.00750394,1.115883993,1.059637289,1,1.015679663,1.182488525,1.009365794,1.153069992,1.039345109,1.093974231
rgn,1.486202276,3.72759372,4.608101246,13.63943053,14.52653926,2.437660276,1.210586848,1.329570407,3.223887574,8.493330307
barc,1.072267222,1.178768635,1.224758083,1.163672366,1.243353424,1.697794246,1.134111803,2.77522992,1.878205106,1.111985927
CG33288,1,1,1,1,1,1,1,1,1,1
Aef1,1.012537824,1.056354104,1.098703488,1.067119771,1.064209244,1.203537898,1.037992778,1.329570407,1.3101422,1.093974231
CG5664,1.010017746,1.056354104,1.029386851,1.029293393,1,1.101908654,1.014081534,1.099606032,1.066431491,1.024798068
Syx7,1.235922794,1.895735652,1.877521443,1.681532746,1.834482248,1.920989116,1.486157294,2.646551883,1.902521656,1.85995975
CG7519,1.263954969,1.861406687,2.716203248,1.693714187,1.619792782,3.290344562,1.601228979,15.69915541,6.625658539,1.785554249
Hr78,1.118668215,1.441219597,1.478465929,1.197760277,1.323188207,1.682881902,1.210586848,2.350358015,1.830500418,1.177394454
CR43933,1,1,1,1.007244249,1.015679663,1,1.004671983,1.024021979,1,1.008198621
Glg1,1.152625734,1.861406687,1.365274962,1.476654852,1.670986622,1.774361663,1.204957308,1.462003639,1.3101422,1.236512701
M6,1.127062635,1.608233878,1.478465929,1.498126856,2.110203429,1.682881902,1.128837892,1.943836773,1.509283936,1.352713031
SAK,1.012537824,1.037225095,1.090776692,1.029293393,1,1.101908654,1.009365794,1.646246427,1.152000093,1.024798068
Cdk12,1.051102385,1.31536905,1.288436125,1.130554586,1.132541315,1.955184472,1.123588505,2.350358015,1.672875756,1.093974231
CG7611,1.074942617,1.364333789,1.355424938,1.278153672,1.132541315,2.231819171,1.188225273,2.58446785,1.415265724,1.2466504
Arv1,1.124257519,1.136463666,1.326299205,1.172102298,1.132541315,1.373823796,1.177199862,1.49712386,1.415265724,1.16781994
Mkrn1,1.118668215,1.364333789,1.478465929,1.542012074,1.430228426,3.066126286,1.193776642,2.710127298,2.727433622,1.288039193
ppk5,1,1,1,1,1,1,1,1,1,1
Rpn10,1.717309154,2.886140441,8.16487773,4.754621911,4.888652745,10.63701872,3.103865074,60.74424726,8.792939363,3.085756853
COX8,5.595456165,76.02429141,243.6646079,231.01297,147.543105,96.53267244,11.55455001,11260.20745,824.5198533,34.03414883
VhaM9.7-b,12.17580924,299.3577295,99.27853181,878.1600334,617.3629188,9.653267244,215.7784639,33.55623258,6.886345795,123.6512701
Wnk,1.030355309,1.22264841,1.106687889,1.059444888,1.150299182,1.172102298,1.042842263,1.126020745,1.122740346,1.058821363
CapaR,1,1,1,1,1,1.008861195,1,1,1,1
CRIF,1.242097948,1.494869134,1.784729191,1.434629682,1.723798452,1.904116369,1.335076258,2.464634806,1.672875756,1.288039193
SMC5,1.040677146,1.245197085,1.395256608,1.051825205,1,1.743328822,1.047714405,1.767757467,1.260545886,1.076254285
CG32441,2.059931666,12.2264841,6.666522835,4.619306745,3.694601205,7.540404363,2.840804162,16.85792525,6.293361537,2.262611182
CR43939,1,1,1,1,1,1,1,1,1,1
TfAP-2,1,1.037225095,1.007267112,1.007244249,1,1,1,1.180769016,1,1.01646446
S1P,1.00750394,1.018442485,1.044402552,1.014540976,1.015679663,1.082636734,1.018819306,1.153069992,1.026061009,1.024798068
CG11307,1.035503366,1.075835899,1.155827656,1.114350837,1.031605178,1.235816596,1.028361358,1.394215469,1.470949508,1.121102678
CG7166,1.004996391,1,1,1,1,1,1.004671983,1.024021979,1,1.041670815
CG11306,1.248303955,2.732171372,1.863975723,1.730790545,1.522062312,2.173525556,1.360201467,2.087313245,2.557532899,1.467799268
MED1,1.012537824,1.095676986,1.098703488,1.044260324,1.0477804,1.280205514,1.037992778,1.726288598,1.344285828,1.041670815
ORMDL,1.187614044,1.579111144,1.566637628,1.344394248,1.498565312,1.527242658,1.316537392,1.427707284,1.58897593,1.2466504
CG32444,1.460502028,2.002568136,6.156135582,1.021890563,1.186654592,1,1.023579213,1,1.012946696,1.05021108
Atox1,1.787164389,2.539580038,3.231721758,2.149257254,4.056094905,5.06968345,2.481628923,7.172492505,3.810707253,2.034748038
CG43980,1,1,1,1,1,1,1,1.024021979,1,1
Als2,1.010017746,1.037225095,1.082907085,1.059444888,1.064209244,1.235816596,1.077429008,1.126020745,1.026061009,1.033199999
CG11248,1.020135847,1.095676986,1.014587035,1.03674985,1.0477804,1.063701872,1.047714405,1.073810967,1.052801194,1.01646446
CG32447,1,1.018442485,1,1,1,1.008861195,1,1.024021979,1.026061009,1
CG11247,1.038087033,1.115883993,1.106687889,1.122423471,1.224159023,1.870814173,1.057527082,1.394215469,1.212827073,1.111985927
Rpb8,1.178768635,1.441219597,2.436646079,1.75595793,1.408149122,2.592943797,1.360201467,13.29570407,4.928757264,1.686360242
CG14568,1,1,1,1,1,1,1,1,1,1
CG14567,1,1,1.044402552,1,1.015679663,1,1,1,1,1.008198621
CG14566,1.002495083,1.018442485,1.014587035,1.029293393,1,1,1,1.024021979,1.012946696,1
CG14572,1,1.018442485,1,1,1,1,1,1,1,1.008198621
Syn1,1.012537824,1.075835899,1.067337791,1.007244249,1.015679663,1.58209922,1.014081534,1.180769016,1.052801194,1.111985927
eg,1,1,1,1,1,1.026819843,1.004671983,1.024021979,1.012946696,1
CycH,1.030355309,1.157422881,1.155827656,1.197760277,1.097843767,1.361757001,1.067431663,1.726288598,1.415265724,1.177394454
CG7407,1.080313451,1.268161613,1.130990923,1.130554586,1.115057588,1.448503471,1.118363529,1.49712386,1.3971769,1.148903858
CG7414,1.446016206,5.471359333,7.013130974,5.260210633,4.593695058,46.82718858,2.040406034,1427.707284,1228.529176,9.367661857
CG32448,1.267108642,1.698864456,1.578022559,1.598680786,1.670986622,1.527242658,1.507084669,1.943836773,1.452148977,1.330802093
CR43309,1,1,1,1,1,1,1,1,1,1
CG7148,1.053724973,1.115883993,1.189793791,1.090479624,1.262848787,1.302994339,1.092600861,1.329570407,1.344285828,1.177394454
Nopp140,1.080313451,1.668100537,2.170091208,1.414067756,1.343935353,1.904116369,1.304321387,2.980072324,3.394112686,1.309246063
P5CDh1,1.308829626,1.861406687,1.837176762,3.614046453,2.427365277,1.423169753,1.601228979,1.943836773,1.716472585,1.432281455
mub,1.410427118,3.528735021,2.333052589,1.610262028,1.430228426,8.91644163,1.204957308,4.905933415,3.182682353,1.516530202
SLC22A,1.080313451,1.762104848,1.106687889,1,1.031605178,1.017800911,1,1.024021979,1.026061009,1.01646446
DNApol-eta,1.012537824,1.115883993,1.098703488,1.051825205,1.015679663,1.15160272,1.023579213,1.298380732,1.327104213,1.102943312
CG14562,1.03292613,1.22264841,1.224758083,1.044260324,1.031605178,1.182488525,1.322688233,1.153069992,1.039345109,1.05021108
CR7448,1,1,1.007267112,1,1,1.008861195,1.004671983,1,1,1
Oct-TyrR,1,1,1,1.014540976,1,1,1,1,1,1
CG14561,1.027790885,1.136463666,1.326299205,1.067119771,1.064209244,1.668100537,1.018819306,3.05165956,1.902521656,1.111985927
CG7139,1.051102385,1.31536905,1.215921843,1.082636734,1.186654592,1.610262028,1.097705474,1.569915541,1.630386245,1.121102678
CR43995,1,1,1,1,1,1.008861195,1,1,1,1
CG7133,1.107572832,1.245197085,1.500032363,1.393800535,1.365007807,1.668100537,1.221924955,3.962215972,2.624184787,1.236512701
CG7130,1.020135847,1.389495494,1.164227185,1.146993954,1.080895687,1.192966786,1.014081534,1.394215469,1.166914687,1.041670815
RpLP0,370.9061797,1698864456,1.87752E+12,40858767.91,882969.9955,9.56848E+14,463438.2791,2.91016E+25,8.90678E+28,1479833198
olf413,1.14404092,2.317818181,1.489210106,1.03674985,1.064209244,2.19278559,1.155455001,1.462003639,1.108390354,1.067502238
CR45035,1,1.037225095,1.014587035,1,1,1.026819843,1,1,1.026061009,1.008198621
Rich,1.040677146,1.056354104,1.082907085,1.021890563,1.064209244,1.063701872,1.052609309,1.099606032,1.039345109,1.076254285
Ddx1,1.045876776,1.22264841,1.181209807,1.189145809,1.186654592,1.361757001,1.113162851,1.898237355,1.137276124,1.16781994
CG11523,1.190577239,1.730195739,1.784729191,1.508979659,1.408149122,1.610262028,1.507084669,2.523840212,1.902521656,1.455863196
Csp,1.276616949,1.637893707,2.062839357,1.63367681,1.645190588,3.120706127,1.392273947,4.057396243,2.798513294,1.432281455
Srpk79D,1.002495083,1.018442485,1.03686752,1.007244249,1,1,1.014081534,1,1,1.041670815
Hem,1.096587497,1.115883993,1.307230588,1.146993954,1.168335485,2.116754531,1.199353946,1.49712386,1.327104213,1.177394454
IleRS,1.093858231,1.245197085,1.446696259,1.189145809,1.262848787,1.610262028,1.107986357,1.898237355,1.3971769,1.187047466
Ten-m,1.053724973,1.698864456,1.172687754,1.098379329,1.205260937,1.527242658,1.077429008,2.77522992,1.807104387,1.121102678
CR45963,1,1,1,1,1,1,1,1,1,1
CR45962,1.004996391,1.037225095,1.014587035,1.014540976,1,1.008861195,1.009365794,1.024021979,1.026061009,1.008198621
CR45965,1,1,1,1.007244249,1,1,1,1,1,1
CR45237,1,1,1,1,1,1,1,1,1,1.008198621
CG11438,1.00750394,1,1.021960152,1.007244249,1.0477804,1,1,1.073810967,1,1
CG11437,1,1,1,1,1,1,1,1,1,1
CG11426,1.979414724,3.402091828,44.76549553,1.268961003,13.43935353,1.045098172,58.23474609,1.126020745,1.039345109,2.244211739
CG11425,64.01430817,6332.67648,2.282919333,1.122423471,2.749091463,1.026819843,1.35387618,1.073810967,1.039345109,1.093974231
CG14459,1,1,1,1,1,1,1,1,1,1.008198621
CG14456,1,1,1.007267112,1,1,1,1,1,1,1
CG11370,1.012537824,1,1.233658537,1,1.015679663,1.955184472,1,1.099606032,1.012946696,1.008198621
ArfGAP3,1.14404092,1.441219597,1.566637628,1.393800535,1.408149122,2.173525556,1.239131533,3.518777065,2.524844505,1.397623103
CG32452,1.00750394,1.056354104,1.122831183,1.021890563,1.015679663,1.073127541,1.028361358,1.298380732,1.182022377,1.041670815
mael,1,1,1,1,1,1,1,1,1.094223771,1
CG14450,1.015064189,1.056354104,1.03686752,1.067119771,1.080895687,1.161807296,1.023579213,1.209133425,1.094223771,1.041670815
CG11367,1.053724973,1.291549665,1.260749866,1.098379329,1.150299182,1.235816596,1.113162851,1.153069992,1.509283936,1.058821363
CG11241,1.113106699,1.31536905,1.114730314,1.014540976,1.0477804,1.017800911,1.009365794,1.099606032,1.052801194,1.024798068
l(3)04053,1.02268117,1.136463666,1.098703488,1.098379329,1.0477804,1.448503471,1.023579213,1.329570407,1.379319273,1.102943312
CG7369,1.02268117,1.095676986,1.067337791,1.051825205,1.031605178,1.59611851,1.004671983,1.394215469,1.3101422,1.085078087
SPoCk,1.091135757,1.415121244,1.365274962,1.306133176,1.224159023,7.215020143,1.057527082,3.276905502,1.379319273,1.196779618
CR45961,1,1,1,1,1,1.008861195,1,1,1,1
jim,1.902044963,7.742636827,13.3593757,3.128223726,2.211029793,70.88832467,2.324859763,1898.237355,348.2566687,84.93330307
CR45659,1,1,1,1,1,1,1,1,1,1
CR43426,1,1,1,1,1,1,1,1.048621014,1,1
CG33169,1.030355309,1.095676986,1.059637289,1.082636734,1.150299182,1.035918694,1.037992778,1.024021979,1.012946696,1.041670815
CG33170,1.456867025,3.937658924,3.57650733,2.952700759,3.526121699,4.325290941,2.624389794,9.094166194,10.66431491,2.797747463
CG11137,1.646077264,2.682695795,3.424452882,3.719914135,2.583224566,3.625659148,2.188169557,7.344789972,2.337303362,1.814952437
Arf79F,9.419459302,219.416782,477.7990512,80.52970587,84.27052037,10826.36734,30.46531466,446153.7381,74388.94164,46.03843662
CG11109,1.051102385,1.136463666,1.260749866,1.241777788,1.097843767,1.337940443,1.067431663,1.49712386,1.361689888,1.177394454
