Gene name,Glia precursors (GP),Midline glia (MG),Perineurial glia (PG),Subperineurial glia (SPG),Astrocyte like glia (AG),Ensheathing glia (EG),Cortex glia 1 (CG1),Cortex glia 2 (CG2),Twi+,Unanotated (UA)
Gnf1,1.048486325,1.136463666,1.269911877,1.051825205,1.115057588,1.938011375,1.042842263,2.188800532,2.557532899,1.121102678
Cdep,1.088420058,1.441219597,1.385190275,1.530921697,1.863246312,1.653449003,1.310415154,1.427707284,1.902521656,1.455863196
CR45188,1,1,1,1,1,1,1,1.024021979,1.012946696,1
Ubc6,1.386037217,4.084238653,2.600724444,2.3101297,2.211029793,4.682718858,2.059516057,3.603305055,4.74217584,1.906083158
CG2016,1.004996391,1.018442485,1.014587035,1.007244249,1.064209244,1,1,1.099606032,1.012946696,1.008198621
CG1124,1.02268117,1.018442485,1.147488727,1.007244249,1,1.192966786,1,3.436231971,1.3101422,1
corto,1.124257519,2.275845926,1.601041229,1.383776117,1.69718713,708.8832467,1.262451129,24.64634806,3.76200176,1.330802093
CG43131,1,1,1,1,1,1,1,1,1,1
CG12007,1.141193547,1.55051578,1.405396094,1.259834449,1.365007807,1.361757001,1.304321387,1.767757467,1.415265724,1.139561029
dpr16,1.020135847,1.056354104,1.251653957,1,1,1,1.004671983,1.024021979,1.260545886,1
cno,1.058989795,1.441219597,1.242623672,1.114350837,1.343935353,2.251595756,1.052609309,1.462003639,1.260545886,1.076254285
CG1116,1.058989795,1.178768635,1.139209961,1.122423471,1.0477804,1.410669535,1.067431663,1.49712386,1.433588739,1.093974231
CG2604,1.18170976,1.579111144,2.217746741,1.956753188,1.430228426,2.098162306,1.341313712,2.087313245,3.76200176,1.700186071
CG14664,1,1.037225095,1,1,1,1,1,1,1,1
Vps37B,1.18170976,1.79460244,1.578022559,1.434629682,1.302761348,2.007622214,1.535446956,2.188800532,2.429264817,1.374984721
Kat60,1.027790885,1.200508058,1.044402552,1.172102298,1,1.638926159,1.023579213,2.13745464,1.65149436,1.067502238
Mms19,1.045876776,1.095676986,1.147488727,1.155303063,1.205260937,1.182488525,1.072418686,1.329570407,1.212827073,1.085078087
rtp,1,1,1,1,1,1,1,1,1,1
CG12163,1.950038968,22.34633727,8.714682563,19.70928395,10.64209244,48.50916005,38.64065988,36.89863575,9.498469473,2.730047559
CR44019,1,1.018442485,1.007267112,1,1,1,1.018819306,1,1,1
CG1113,1,1.018442485,1,1,1,1,1,1,1,1
CG12173,1.22061889,1.339627725,1.904908913,1.519911083,1.498565312,1.758776799,1.316537392,2.77522992,4.333826376,1.566879004
Hph,1.318651005,4.010279139,2.201746403,2.13379948,1.750827032,3.408529443,1.920440294,2.58446785,2.492573909,1.397623103
mtd,1.152625734,2.586416205,1.33593757,1.669438915,1.723798452,1.790084628,1.204957308,1.533087739,1.433588739,1.528963659
CG11999,1.897311015,7.464760408,2.490155197,2.360699741,2.427365277,3.890794687,1.709202511,4.905933415,2.984422704,1.579725251
CG1161,1.738840473,6.33267648,3.655047975,5.375359607,3.211861109,8.382463046,3.004227336,22.95222234,3.619588651,2.91433188
Prosbeta7,1.782716364,5.274997064,12.33658537,7.278953844,7.212870055,6.320716092,3.487467118,31.24966463,25.24844505,5.11940936
Cerk,1.038087033,1.415121244,1.090776692,1.082636734,1.150299182,1.203537898,1.072418686,1.209133425,1.182022377,1.024798068
CR44103,1,1,1,1,1,1,1,1,1.012946696,1.008198621
RpII18,1.597582165,3.72759372,6.33704502,2.727323641,2.543345761,17.12838732,2.098274719,4254.670963,178.4007386,3.753773682
hd,1.010017746,1.037225095,1.051992343,1.03674985,1.031605178,1.172102298,1.028361358,1.298380732,1.122740346,1.067502238
CG14667,1.020135847,1.095676986,1.098703488,1.074850251,1.080895687,1.568203067,1.047714405,2.087313245,1.3971769,1.085078087
7B2,1.045876776,1.075835899,1.067337791,1.03674985,1.115057588,1.092230189,1.028361358,1.048621014,1.066431491,1.102943312
kkv,1,1.018442485,1,1,1,1,1,1.073810967,1,1
CG1172,1.038087033,1.178768635,1.122831183,1.090479624,1.097843767,1.373823796,1.047714405,1.394215469,1.228529176,1.111985927
Orco,1,1,1,1,1,1,1,1,1,1
CG14669,1,1,1,1,1,1,1,1,1,1.008198621
PEK,1.038087033,1.415121244,1.207149354,1.138744605,1.343935353,1.268961003,1.067431663,1.427707284,1.344285828,1.076254285
RpL35A,6628.703162,1.52244E+12,3.32669E+16,5.03726E+11,198288394.9,4.03055E+16,69195997.08,4.46154E+29,1.7387E+31,64344382633
POLDIP2,1.093858231,1.291549665,1.269911877,1.241777788,1.262848787,1.653449003,1.057527082,1.810222501,1.327104213,1.236512701
mRpL44,1.077624688,1.200508058,1.489210106,1.223979925,1.430228426,1.838094418,1.155455001,3.124966463,2.220080463,1.298599338
Snr1,1.184658224,1.895735652,2.526479178,1.403897573,1.243353424,6.265198942,1.221924955,21.3745464,8.680554858,1.618899385
Hcs,1.015064189,1.018442485,1.021960152,1.029293393,1.015679663,1.073127541,1.028361358,1.073810967,1.026061009,1.024798068
ksr,1.002495083,1,1.059637289,1.007244249,1.031605178,1.121523632,1.028361358,1.048621014,1.080238255,1.008198621
CG31550,1.045876776,1.268161613,1.207149354,1.122423471,1.150299182,1.527242658,1.097705474,1.810222501,1.470949508,1.16781994
NKCC,1.010017746,1.018442485,1.007267112,7.937550848,1.097843767,1.008861195,1.004671983,1.024021979,1,1.187047466
Nmdar1,1.002495083,1,1,1,1,1,1,1.024021979,1,1.008198621
Itp-r83A,1.015064189,1.268161613,1.021960152,1.051825205,1.080895687,1.026819843,1,1,1.052801194,1.024798068
CG43845,1,1,1,1,1,1,1.004671983,1,1,1
CG2519,1.096587497,1.268161613,1.198440155,1.114350837,1.224159023,1.59611851,1.118363529,1.126020745,1.228529176,1.177394454
mia,1.002495083,1.075835899,1.106687889,1.03674985,1.015679663,1.063701872,1.004671983,1.073810967,1.039345109,1.05021108
Pcmt,1.53896746,3.16227766,4.641588834,2.483043489,2.70665207,10.26819843,1.841544366,13.29570407,22.77938,3.459450272
Snm1,1.015064189,1,1.021960152,1.007244249,1,1.045098172,1.004671983,1.073810967,1.052801194,1.01646446
Pi4KIIalpha,1.058989795,1.245197085,1.198440155,1.074850251,1.262848787,1.192966786,1.335076258,1.099606032,1.122740346,1.076254285
CG14671,1.184658224,1.364333789,1.660067649,1.718342445,1.430228426,1.821949765,1.42510267,2.038348089,1.568666877,1.288039193
CG12746,1.043273722,1.339627725,1.189793791,1.172102298,1.262848787,1.172102298,1.062467831,1.153069992,1.094223771,1.139561029
CG2931,1.061632062,1.268161613,1.345645978,1.20643715,1.243353424,1.624530874,1.107986357,4.356876582,1.3971769,1.16781994
Rheb,1.546656743,3.402091828,3.350867326,2.889449091,2.280909784,5.298316906,2.840804162,5.268045103,2.984422704,2.018201567
CRMP,1.02268117,1.056354104,1.051992343,1.007244249,1.0477804,1.111672882,1.514125743,1.073810967,1.122740346,1.033199999
CG2926,1.072267222,1.291549665,1.33593757,1.138744605,1.302761348,2.15443469,1.144733661,2.188800532,1.452148977,1.093974231
rev7,1.03292613,1.037225095,1.098703488,1.074850251,1.015679663,1.224961969,1.047714405,1.048621014,1.094223771,1.024798068
noi,1.038087033,1.095676986,1.198440155,1.146993954,1.0477804,1.487352107,1.072418686,1.767757467,1.65149436,1.139561029
Vha26,3.290910091,20.02568136,9.785117335,175.595793,55.36601209,8.235857283,8.941636362,14.9712386,6.0551221,13.19980076
kra,5.722367659,179.460244,877.8013136,137.3823796,77.9636013,6265.198942,36.36878102,203834.8089,83519.46611,68.68777249
CG1427,1.069598485,1.291549665,1.251653957,1.146993954,1.168335485,1.361757001,1.166276754,1.394215469,1.27686579,1.111985927
asl,1.010017746,1.056354104,1.130990923,1.090479624,1.0477804,1.410669535,1,1.569915541,1.379319273,1.093974231
Rga,1.099323574,1.441219597,1.684283113,1.403897573,1.282649831,2.639100559,1.347580307,4.057396243,2.002977071,1.319980076
CR46135,1.002495083,1,1,1,1,1.008861195,1.004671983,1.073810967,1.026061009,1
Atu,1.077624688,1.268161613,1.355424938,1.287412935,1.365007807,1.989988537,1.155455001,3.276905502,2.337303362,1.363803413
Spec2,1.045876776,1.157422881,1.114730314,1.306133176,1.064209244,1.082636734,1.067431663,1.126020745,1.052801194,1.216483949
CG2911,1.017596859,1.095676986,1.106687889,1.215176881,1.115057588,1.101908654,1.037992778,1.099606032,1.094223771,1.058821363
RpL13A,545774.1815,4.3144E+21,1.08291E+26,7.99505E+19,3.0654E+14,2.13551E+27,1.00467E+13,1.02402E+53,3.71392E+59,5.97855E+17
CG31551,1,1,1,1,1,1,1,1,1,1
CG31549,1.994268134,5.572264796,4.608101246,5.001031167,2.925608548,2.251595756,1.807527945,2.241379853,2.984422704,2.018201567
CG12171,1.850614741,5.886284784,2.878190245,4.858703264,5.711586478,1.728016531,2.552011288,2.350358015,2.46071577,2.281161474
CG31546,1,1,1,1,1,1.008861195,1,1,1,1
CG31548,1.351924321,2.317818181,2.201746403,3.173711154,4.249896743,1.758776799,1.310415154,1.810222501,2.055176674,2.15443469
CG12170,1.091135757,1.22264841,1.215921843,1.106336262,1.168335485,1.203537898,1.171725579,1.180769016,1.094223771,1.093974231
MTA1-like,1.02268117,1.075835899,1.122831183,1.090479624,1.205260937,1.638926159,1.052609309,1.427707284,1.293396983,1.05021108
Sec23,1.577799987,2.539580038,2.282919333,1.768678525,2.280909784,2.662486144,1.94748304,4.154862932,2.24882317,1.592676821
elm,1.34185512,2.275845926,1.904908913,1.846960809,1.645190588,1.972509743,1.662064116,2.710127298,2.367563718,1.756632247
MED27,1.045876776,1.245197085,1.288436125,1.180593298,1.132541315,1.487352107,1.087519986,1.898237355,1.528824176,1.121102678
CG2182,1.276616949,2.448436747,2.217746741,1.768678525,1.982883949,6.66430384,1.557068405,11.80769016,4.063858216,1.756632247
CR44093,1,1.018442485,1.021960152,1.021890563,1.015679663,1.017800911,1,1.073810967,1.039345109,1.01646446
Wdr33,1.043273722,1.157422881,1.130990923,1.059444888,1.064209244,1.172102298,1.033165845,1.60762802,1.489993444,1.085078087
Xe7,1.061632062,2.448436747,1.288436125,1.197760277,1.243353424,2.332470136,1.134111803,1.99053158,1.694533969,1.267175827
Atg17,1.045876776,1.291549665,1.207149354,1.051825205,1.386410669,1.972509743,1.107986357,1.726288598,1.27686579,1.041670815
Rab23,1,1.037225095,1.029386851,1.007244249,1.080895687,1.008861195,1.004671983,1.048621014,1.052801194,1
plx,1.010017746,1.200508058,1.044402552,1.363943053,1,1.192966786,1.102833936,1.099606032,1.026061009,1.130294175
cas,1.017596859,1.056354104,1.007267112,1.029293393,1.031605178,1.035918694,1,1.238179203,1.026061009,1.024798068
CG1239,1.027790885,1.095676986,1.067337791,1.014540976,1.015679663,1.111672882,1.042842263,1.209133425,1.152000093,1.058821363
CG2100,1.072267222,1.200508058,1.215921843,1.146993954,1.132541315,1.257815257,1.062467831,1.462003639,1.548617398,1.058821363
CG1236,1.091135757,1.389495494,1.612676175,1.354133374,1.282649831,1.51382833,1.160853267,3.276905502,2.946278137,1.309246063
Sym,1.004996391,1,1.051992343,1.03674985,1.031605178,1.337940443,1.028361358,1.209133425,1.228529176,1.033199999
Madm,1.113106699,1.22264841,1.33593757,1.114350837,1.323188207,1.638926159,1.250736984,1.36150932,1.470949508,1.16781994
CG2091,1.051102385,1.178768635,1.365274962,1.424311614,1.080895687,1.972509743,1.057527082,4.905933415,2.984422704,1.386257701
Sec8,1.077624688,1.268161613,1.155827656,1.189145809,1.132541315,1.870814173,1.18269972,2.241379853,2.081784421,1.374984721
CG2082,1.038087033,1,1.029386851,1.014540976,1.080895687,1.054358991,1.004671983,1,1.026061009,1.49196579
jagn,1.235922794,1.930697729,1.904908913,1.730790545,1.498565312,2.135511506,1.42510267,1.685792525,2.834744795,1.49196579
kat-60L1,1,1,1.007267112,1,1,1,1,1,1,1.01646446
Hat1,1.167077153,1.467799268,1.850527731,1.325125628,1.323188207,2.271547586,1.233369253,8.880831054,2.307429771,1.363803413
Rpn5,1.546656743,2.448436747,4.412188802,2.807216204,3.5814101,6.605768834,2.335721469,22.95222234,4.74217584,2.415342501
CG1218,1.020135847,1.075835899,1.155827656,1.189145809,1.031605178,1.474288152,1.082462738,1.646246427,1.489993444,1.085078087
CG2046,1.152625734,1.579111144,1.73377889,1.508979659,1.323188207,1.920989116,1.341313712,4.356876582,1.85419935,1.374984721
CG10979,1.03292613,1.245197085,1.106687889,1.067119771,1.115057588,1.349796194,1.057527082,1.394215469,1.137276124,1.041670815
CG11000,1.002495083,1.056354104,1.007267112,1.007244249,1,1.035918694,1.004671983,1.898237355,1.026061009,1.024798068
CG42675,1.002495083,1.018442485,1,1,1,1,1,1,1,1.008198621
Hpr1,1.053724973,1.136463666,1.224758083,1.122423471,1.132541315,1.246767408,1.047714405,1.60762802,1.260545886,1.130294175
CG2023,1.051102385,1.268161613,1.130990923,1.074850251,1.080895687,1.182488525,1.062467831,1.329570407,1.094223771,1.024798068
dgrn,1.030355309,1.037225095,1.189793791,1.098379329,1.0477804,1.257815257,1.052609309,1.298380732,1.152000093,1.024798068
CG1213,1.14404092,1.291549665,1.122831183,1.007244249,1.0477804,1.008861195,1.341313712,1,1,1.033199999
disp,1.010017746,1.157422881,1.075094254,1.155303063,1,1.257815257,1.009365794,1.048621014,1.182022377,1.033199999
ECSIT,1.066936391,1.136463666,1.224758083,1.172102298,1.097843767,1.326188825,1.087519986,1.49712386,1.108390354,1.076254285
CG2017,1.040677146,1.441219597,1.215921843,1.098379329,1.0477804,1.568203067,1.128837892,3.124966463,3.35073178,1.16781994
CG34113,1.004996391,1,1,1.007244249,1.031605178,1,1.004671983,1,1,1.01646446
Obp83a,1,1,1,1,1,1,1,1,1,1
Rm62,2.034424412,81.78966186,31.16812607,6.346113527,6.270429615,116180.7296,3.132935234,16076280.2,1293396.983,22.99863854
Gasp,1,1,1.014587035,1.007244249,1,1.008861195,1.004671983,1.073810967,1.012946696,1
