Gene name,MN.C0,MN.C1,MN.C2,MN.C3,MN.C4,MN.C5,MN.C6,MN.C7,MN.C8,MN.C9,MN.C10,MN.C11,MN.C12,MN.C13,MN.C14,MN.C15,MN.C16,MN.C17,MN.C18,MN.C19,MN.C20,MN.C21,MN.C22,MN.C23,MN.C24,MN.C25,MN.C26,MN.C27
Pex19,13.08177474,45.48777947,41.99411235,58.29415347,124.5197085,140.4562223,52.07948329,154.7587355,23.35721469,8.286427729,95.21895354,135.0314038,2.928644565,16.37893707,25.39580038,94.40608763,53.08844442,5.043159487,17.7827941,78.13707377,16.68100537,5.994842503,18.58791891,56.23413252,82.54041853,8.858667904,2.782559402,39.81071706
CG6712,3.414548874,2.557965819,1.94919403,1.980956779,4.010279139,2.127496491,2.073321573,3.290344562,2.243247503,1.930697729,2.663985857,2.341883126,1.755676291,3.340484984,1.389495494,1.678804018,2.66072506,1.282649831,2.912632655,3.16227766,1.291549665,1.668100537,2.218982341,1.615598098,5.108969775,1.438449888,1.467799268,1.258925412
Mt2,1.211527659,1.163561851,1.221677349,1.19708503,1.075835899,1.162984082,1.039122304,1.082636734,1.084145869,1.206792641,1.158323286,1.221677349,1.107756851,1.178768635,1.115883993,1.333521432,1.188502227,1,1,1.279802214,1.089022962,1,1.193776642,1,1.211527659,1,1.136463666,1
Ced-12,1.359356391,1.35387618,1.443511639,1.539926526,1.55051578,1.514704337,1.258925412,1.268961003,1,1.325711366,1.277564921,1.221677349,1.052500285,1.245197085,1.056354104,1.496235656,1.188502227,1,1.389495494,1.508590709,1.185971012,1.089022962,1.557068405,1.333521432,1.467799268,1.128837892,1.136463666,1.258925412
Patsas,1.258925412,1.35387618,1.396135391,1.43301257,1.389495494,1.302429122,1.77827941,1.429461338,1.832980711,1.325711366,1.632172129,1.419625896,1.22712524,1.245197085,1.245197085,1.678804018,1.333521432,1.205260937,1.389495494,1.930697729,1.185971012,1,1.304321387,1.100694171,1,1,1,1
ThrRS,51.08969775,76.13405252,41.99411235,45.31583638,115.7422881,14.58594012,73.56422545,137.3823796,50.32159359,9.10298178,55.54958913,30.07882518,5.994842503,41.59562163,49.03161412,89.12509381,56.23413252,1.982883949,11.78768635,848.3428982,19.78318883,15.31740464,8.376776401,51.08969775,26.10157216,3.792690191,4.084238653,12.58925412
Rab6,1678.804018,61.58482111,321.5484177,673.1703824,4475.006297,107.8417397,223.8721139,596.8456995,183.2980711,86.85113738,180.0193333,496.1947603,4.885273572,415.9562163,182.7699369,794.3282347,421.6965034,3.931828756,138.9495494,5179.474679,42.62158829,27.82559402,24.24462017,510.8969775,421.6965034,29.76351442,7.742636827,7.943282347
CG17211,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CG31760,7.216611621,4.832930239,4.341913423,6.731703824,13.89495494,4.881177382,5.623413252,4.520353656,3.498320936,2.811768698,20.85205857,6.061898993,3.981071706,4.641588834,4.159562163,2.985382619,10,1.132541315,1.085711119,13.89495494,1.978318883,3.300034791,4.124626383,2.371373706,3.16227766,3.792690191,2.15443469,2.511886432
CG31861,1,1.062467831,1.033933849,1,1,1,1,1,1,1,1,1.051330177,1.052500285,1,1,1,1,1,1,1,1,1,1,1,1.100694171,1,1,1
CG6583,1.439903321,1.128837892,1.221677349,1.154781985,1.55051578,1.458594012,1.412537545,1.268961003,1.559489504,1.264855217,1.102943312,1.105295141,1.165914401,1.637893707,1.245197085,1.258925412,1.584893192,1.132541315,1.637893707,1.279802214,1.089022962,1.291549665,1.193776642,1.467799268,1.333521432,1.274274986,1,1.584893192
crok,1.059253725,1.128837892,1.263133564,1.154781985,1.339627725,1.162984082,1.039122304,1.04049831,1.084145869,1.098541142,1.158323286,1,1.107756851,1.389495494,1.115883993,1,1.188502227,1.064209244,1.279802214,1,1,1.089022962,1.092600861,1.100694171,1.211527659,1,1.136463666,1
