Frame,ObjectID,X,Y,Width,Height
113,5,656,204,20,20
114,1,815,666,20,20
114,2,820,640,20,20
114,3,716,325,20,20
114,4,640,211,22,22
114,5,656,204,20,20
115,1,814,665,20,20
115,2,820,640,20,20
115,3,716,325,20,20
115,4,640,211,22,22
115,5,656,204,20,20
116,1,813,665,20,20
116,2,819,640,20,20
116,3,715,325,20,20
116,4,639,210,22,22
116,5,656,203,20,20
117,1,812,664,20,20
117,2,822,638,20,20
117,3,715,325,20,20
117,4,640,211,22,22
117,5,656,204,20,20
118,1,812,663,20,20
118,2,822,637,20,20
118,3,715,325,20,20
118,4,640,211,22,22
118,5,656,203,20,20
119,1,811,663,20,20
119,2,821,638,20,20
119,3,715,326,20,20
119,4,640,210,22,22
119,5,656,203,20,20
120,1,811,663,20,20
120,2,821,638,20,20
120,3,715,326,20,20
120,4,639,210,22,22
120,5,656,204,20,20
121,1,810,662,20,20
121,2,821,639,20,20
121,3,715,325,20,20
121,4,640,211,22,22
121,5,656,204,20,20
122,1,809,662,20,20
122,2,820,639,20,20
122,3,715,325,20,20
122,4,640,211,22,22
122,5,656,204,20,20
123,1,808,662,20,20
123,2,820,640,20,20
123,3,715,325,20,20
123,4,640,211,22,22
123,5,656,204,20,20
124,1,807,662,20,20
124,2,821,639,20,20
124,3,715,325,20,20
124,4,639,210,22,22
124,5,656,203,20,20
125,1,807,661,20,20
125,2,822,638,20,20
125,3,715,325,20,20
125,4,640,210,22,22
125,5,656,204,20,20
126,1,806,661,20,20
126,2,822,639,20,20
126,3,715,325,20,20
126,4,640,210,22,22
126,5,656,203,20,20
127,1,806,661,20,20
127,2,822,639,20,20
127,3,715,325,20,20
127,4,640,210,22,22
127,5,656,203,20,20
128,1,806,661,20,20
128,2,822,639,20,20
128,3,716,325,20,20
128,4,640,210,22,22
128,5,656,204,20,20
129,1,806,660,20,20
129,2,821,639,20,20
129,3,716,325,20,20
129,4,640,210,22,22
129,5,657,203,20,20
130,1,806,661,20,20
130,2,821,639,20,20
130,3,716,325,20,20
130,4,640,210,22,22
130,5,656,203,20,20
131,1,805,661,20,20
131,2,821,639,20,20
131,3,715,325,20,20
131,4,639,210,22,22
131,5,655,203,20,20
132,1,805,661,20,20
132,2,821,638,20,20
132,3,715,325,20,20
132,4,639,210,22,22
132,5,655,204,20,20
133,1,804,661,20,20
133,2,821,638,20,20
133,3,715,325,20,20
133,4,640,211,22,22
133,5,656,204,20,20
134,1,804,661,20,20
134,2,821,639,20,20
134,3,715,325,20,20
134,4,640,211,22,22
134,5,656,204,20,20
135,1,804,661,20,20
135,2,821,639,20,20
135,3,715,326,20,20
135,4,640,211,22,22
135,5,656,203,20,20
136,1,804,661,20,20
136,2,822,639,20,20
136,3,715,325,20,20
136,4,640,211,22,22
136,5,656,203,20,20
137,1,803,661,20,20
137,2,822,639,20,20
137,3,715,325,20,20
137,4,640,210,22,22
137,5,656,203,20,20
138,1,803,661,20,20
138,2,822,638,20,20
138,3,715,324,20,20
138,4,639,211,22,22
138,5,655,204,20,20
139,1,804,661,20,20
139,2,821,639,20,20
139,3,715,325,20,20
139,4,639,211,22,22
139,5,655,203,20,20
140,1,804,660,20,20
140,2,822,639,20,20
140,3,715,325,20,20
140,4,640,211,22,22
140,5,656,203,20,20
141,1,804,660,20,20
141,2,822,639,20,20
141,3,715,325,20,20
141,4,640,210,22,22
141,5,656,203,20,20
142,1,804,660,20,20
142,2,822,639,20,20
142,3,715,325,20,20
142,4,640,211,22,22
142,5,656,204,20,20
143,1,803,660,20,20
143,2,821,638,20,20
143,3,715,325,20,20
143,4,640,211,22,22
143,5,656,203,20,20
144,1,803,660,20,20
144,2,821,638,20,20
144,3,715,325,20,20
144,4,640,211,22,22
144,5,657,203,20,20
145,1,803,660,20,20
145,2,822,639,20,20
145,3,715,325,20,20
145,4,639,211,22,22
145,5,656,203,20,20
146,1,803,661,20,20
146,2,822,639,20,20
146,3,715,325,20,20
146,4,639,211,22,22
146,5,656,204,20,20
147,1,803,660,20,20
147,2,821,638,20,20
147,3,715,325,20,20
147,4,640,211,22,22
147,5,656,204,20,20
148,1,803,660,20,20
148,2,822,639,20,20
148,3,715,325,20,20
148,4,640,211,22,22
148,5,656,204,20,20
149,1,803,661,20,20
