"","Df","FBgn","Symbol"
"450311","Df(1)BSC586","FBgn0023177","Pp4-19C"
"501231","Df(1)BSC586","FBgn0040650","CG15456"
"501241","Df(1)BSC586","FBgn0040651","CG15458"
"50257","Df(1)BSC586","FBgn0040784","karr"
"59214","Df(1)BSC586","FBgn0041626","Or19a"
"260693","Df(1)BSC586","FBgn0062565","Or19b"
"318231","Df(1)BSC586","FBgn0052823","Sdic3"
"2768883","Df(1)BSC586","FBgn0053497","Sdic2"
"2768886","Df(1)BSC586","FBgn0053499","Sdic4"
"2768895","Df(1)BSC586","FBgn0085361","CG34332"
"735444754","Df(1)BSC586","FBgn0259817","SteXh:CG42398"
"8673991","Df(1)BSC586","FBgn0260871","CG42581"
"86739991","Df(1)BSC586","FBgn0260867","CG42577"
"8674103","Df(1)BSC586","FBgn0260873","CG42583"
"19834759","Df(1)BSC586","FBgn0267043","CG45487"
"19834831","Df(1)BSC586","FBgn0267188","lncRNA:CR45628"
"19834833","Df(1)BSC586","FBgn0267044","CG45488"
"19835131","Df(1)BSC586","FBgn0267049","CG45493"
"198352691","Df(1)BSC586","FBgn0267060","lncRNA:CR45504"
"19835590","Df(1)BSC586","FBgn0267047","CG45491"
"19835659","Df(1)BSC586","FBgn0267048","CG45492"
"19835667","Df(1)BSC586","FBgn0267021","lncRNA:CR45465"
"19835787","Df(1)BSC586","FBgn0264309","CG43784"
"198358241","Df(1)BSC586","FBgn0267061","lncRNA:CR45505"
"19835900","Df(1)BSC586","FBgn0267046","CG45490"
"19836030","Df(1)BSC586","FBgn0267045","CG45489"
"19836139","Df(1)BSC586","FBgn0267050","CG45494"
"19836213","Df(1)BSC586","FBgn0267042","CG45486"
"26067074","Df(1)BSC586","FBgn0283432","SdicA"
"26067075","Df(1)BSC586","FBgn0283433","SdicB"
"26067076","Df(1)BSC586","FBgn0283434","SdicC"
"31251","Df(1)ED6630","FBgn0003068","per"
"31252","Df(1)ED6630","FBgn0000092","dyw"
"31253","Df(1)ED6630","FBgn0024992","Spg7"
"31254","Df(1)ED6630","FBgn0024993","CG2662"
"31255","Df(1)ED6630","FBgn0024994","Ugalt"
"31256","Df(1)ED6630","FBgn0024996","eIF2Bbeta"
"31257","Df(1)ED6630","FBgn0024995","CG2680"
"31258","Df(1)ED6630","FBgn0024997","CG2681"
"31259","Df(1)ED6630","FBgn0024998","CG2685"
"31260","Df(1)ED6630","FBgn0024991","CG2694"
"31261","Df(1)ED6630","FBgn0024973","CG2701"
"31262","Df(1)ED6630","FBgn0000928","fs(1)Yb"
"31263","Df(1)ED6630","FBgn0000927","fs(1)Ya"
"31264","Df(1)ED6630","FBgn0283545","vilya"
"31265","Df(1)ED6630","FBgn0000520","dwg"
"31266","Df(1)ED6630","FBgn0250874","ttm50"
"31267","Df(1)ED6630","FBgn0024975","CG2712"
"31268","Df(1)ED6630","FBgn0000376","crm"
"31269","Df(1)ED6630","FBgn0024980","Syx4"
"31270","Df(1)ED6630","FBgn0040384","CG32795"
"31271","Df(1)ED6630","FBgn0003996","w"
"31272","Df(1)ED6630","FBgn0040356","CG12498"
"31273","Df(1)ED6630","FBgn0040352","CG14416"
"31274","Df(1)ED6630","FBgn0040353","CG14417"
"31275","Df(1)ED6630","FBgn0040354","CG14418"
"31276","Df(1)ED6630","FBgn0029639","CG14419"
"31277","Df(1)ED6630","FBgn0040355","CG3526"
"31278","Df(1)ED6630","FBgn0025643","CG3588"
"31279","Df(1)ED6630","FBgn0025644","CG14424"
"31280","Df(1)ED6630","FBgn0052793","CG32793"
"31282","Df(1)ED6630","FBgn0029642","CG3592"
"31283","Df(1)ED6630","FBgn0025645","CG3598"
"31284","Df(1)ED6630","FBgn0029643","CG14420"
"31285","Df(1)ED6630","FBgn0029644","CG14421"
"31286","Df(1)ED6630","FBgn0029645","CG14422"
"31287","Df(1)ED6630","FBgn0029646","CG14423"
"31288","Df(1)ED6630","FBgn0029647","CG17959"
"31289","Df(1)ED6630","FBgn0029648","CG3603"
"31290","Df(1)ED6630","FBgn0003285","rst"
"31292","Df(1)ED6630","FBgn0028369","kirre"
"735444755","Df(1)ED6630","FBgn0259817","SteXh:CG42398"
"12798101","Df(1)ED6630","FBgn0263505","lncRNA:CR43494"
"31016","Df(1)ED6443","FBgn0025637","SkpA"
"31017","Df(1)ED6443","FBgn0021764","sdk"
"31018","Df(1)ED6443","FBgn0029531","CG13362"
"31019","Df(1)ED6443","FBgn0029532","CG13361"
"31020","Df(1)ED6443","FBgn0040383","CG5254"
"31021","Df(1)ED6443","FBgn0040382","CG5273"
"31022","Df(1)ED6443","FBgn0015288","RpL22"
"31023","Df(1)ED6443","FBgn0027343","fz3"
"31024","Df(1)ED6443","FBgn0086368","tw"
"31025","Df(1)ED6443","FBgn0025620","CG13360"
"31026","Df(1)ED6443","FBgn0025621","CG16989"
"31027","Df(1)ED6443","FBgn0015799","Rbf"
"31028","Df(1)ED6443","FBgn0025616","CG13359"
"31029","Df(1)ED6443","FBgn0026874","CG13358"
"31030","Df(1)ED6443","FBgn0260855","Sec22"
"31031","Df(1)ED6443","FBgn0264449","CG43867"
"31032","Df(1)ED6443","FBgn0029535","CG14635"
"31033","Df(1)ED6443","FBgn0040341","CG11664"
"31036","Df(1)ED6443","FBgn0029539","CG11663"
"31037","Df(1)ED6443","FBgn0040344","Lztr1"
"31038","Df(1)ED6443","FBgn0040339","MED22"
"31039","Df(1)ED6443","FBgn0040345","CG3708"
"31042","Df(1)ED6443","FBgn0040340","TRAM"
"31043","Df(1)ED6443","FBgn0040346","CG3704"
"31044","Df(1)ED6443","FBgn0040347","mus81"
"31045","Df(1)ED6443","FBgn0040348","CG3703"
"31046","Df(1)ED6443","FBgn0040349","CG3699"
"31047","Df(1)ED6443","FBgn0040350","CG3690"
"31048","Df(1)ED6443","FBgn0040338","TfIIA-S-2"
"31049","Df(1)ED6443","FBgn0029552","CG14631"
"31050","Df(1)ED6443","FBgn0040351","CG11638"
"31054","Df(1)ED6443","FBgn0003638","su(w[a])"
"50365","Df(1)ED6443","FBgn0040343","CG3713"
"50366","Df(1)ED6443","FBgn0040892","CG14634"
"53540","Df(1)ED6443","FBgn0040342","CG3706"
"59184","Df(1)ED6443","FBgn0042146","CG18823"
"318223","Df(1)ED6443","FBgn0052814","CG32814"
"318224","Df(1)ED6443","FBgn0052815","CG32815"
"3771847","Df(1)ED6443","FBgn0086666","snoRNA:Psi28S-2179"
"5740514","Df(1)ED6443","FBgn0083027","snoRNA:Psi18S-531"
"735444756","Df(1)ED6443","FBgn0259817","SteXh:CG42398"
"8673998","Df(1)ED6443","FBgn0259993","lncRNA:CR42491"
"19834749","Df(1)ED6443","FBgn0266281","lncRNA:CR44966"
"19835179","Df(1)ED6443","FBgn0266280","lncRNA:CR44965"
"19835347","Df(1)ED6443","FBgn0267032","lncRNA:CR45476"
"19835412","Df(1)ED6443","FBgn0265662","lncRNA:CR44469"
"324711","Df(1)ED7331","FBgn0014455","Ahcy"
"32472","Df(1)ED7331","FBgn0030638","CG11655"
"32473","Df(1)ED7331","FBgn0004391","shtd"
"32474","Df(1)ED7331","FBgn0030640","CG6294"
"32475","Df(1)ED7331","FBgn0030641","CG6299"
"32476","Df(1)ED7331","FBgn0030642","CG15642"
"32477","Df(1)ED7331","FBgn0030643","CG15641"
"32478","Df(1)ED7331","FBgn0026433","Grip128"
"32479","Df(1)ED7331","FBgn0030645","Alg14"
"32480","Df(1)ED7331","FBgn0267977","mh"
"32481","Df(1)ED7331","FBgn0030647","CG6324"
"32482","Df(1)ED7331","FBgn0030648","CG6340"
"32483","Df(1)ED7331","FBgn0027287","Gmap"
"32485","Df(1)ED7331","FBgn0022710","Ac13E"
"32487","Df(1)ED7331","FBgn0259195","CG42299"
"32488","Df(1)ED7331","FBgn0030653","CG7860"
"32489","Df(1)ED7331","FBgn0030654","CG15643"
"32490","Df(1)ED7331","FBgn0030655","CG9213"
"32492","Df(1)ED7331","FBgn0030657","cerv"
"32493","Df(1)ED7331","FBgn0030658","CG7872"
"32494","Df(1)ED7331","FBgn0030659","CG9215"
"32495","Df(1)ED7331","FBgn0030660","CG8097"
"32496","Df(1)ED7331","FBgn0030661","Alp11"
"32497","Df(1)ED7331","FBgn0030662","Chsy"
"32498","Df(1)ED7331","FBgn0003463","sog"
"32499","Df(1)ED7331","FBgn0030663","CG8117"
"32500","Df(1)ED7331","FBgn0030664","CG8119"
"32501","Df(1)ED7331","FBgn0030665","CG15646"
"32502","Df(1)ED7331","FBgn0030666","CG12708"
"32503","Df(1)ED7331","FBgn0030667","CG15599"
"32504","Df(1)ED7331","FBgn0030668","CG8128"
"32505","Df(1)ED7331","FBgn0030669","CG9240"
"32506","Df(1)ED7331","FBgn0030670","Pis"
"32507","Df(1)ED7331","FBgn0030671","CG8134"
"32508","Df(1)ED7331","FBgn0030672","CG9281"
"32509","Df(1)ED7331","FBgn0030673","CG15601"
"32510","Df(1)ED7331","FBgn0030674","HUWE1"
"32511","Df(1)ED7331","FBgn0030675","CG8191"
"32512","Df(1)ED7331","FBgn0030676","CG12379"
"32513","Df(1)ED7331","FBgn0026666","MagR"
"32514","Df(1)ED7331","FBgn0011741","Arp6"
"32515","Df(1)ED7331","FBgn0030678","CG11679"
"32516","Df(1)ED7331","FBgn0030679","CG8206"
"32517","Df(1)ED7331","FBgn0030680","CG8944"
"32518","Df(1)ED7331","FBgn0027329","CCT6"
"32520","Df(1)ED7331","FBgn0030683","Mvd"
"32521","Df(1)ED7331","FBgn0030684","CG8260"
"32522","Df(1)ED7331","FBgn0030685","Graf"
"32523","Df(1)ED7331","FBgn0030686","mRpL3"
"32524","Df(1)ED7331","FBgn0030687","Polr3A"
"32525","Df(1)ED7331","FBgn0030688","CG8952"
"32526","Df(1)ED7331","FBgn0053172","CG33172"
"32528","Df(1)ED7331","FBgn0030691","Efhc1.1"
"32529","Df(1)ED7331","FBgn0025809","Paf-AHalpha"
"32530","Df(1)ED7331","FBgn0030692","mRpS30"
"32531","Df(1)ED7331","FBgn0026374","Rhp"
"32532","Df(1)ED7331","FBgn0030693","sordd1"
"32533","Df(1)ED7331","FBgn0030694","CG15602"
"32534","Df(1)ED7331","FBgn0030695","PGRP-LE"
"32535","Df(1)ED7331","FBgn0030696","CG8509"
"32536","Df(1)ED7331","FBgn0003345","sd"
"318098","Df(1)ED7331","FBgn0052581","sordd2"
"318910","Df(1)ED7331","FBgn0263747","CG43672"
"7354426","Df(1)ED7331","FBgn0259196","CG42300"
"735444757","Df(1)ED7331","FBgn0259817","SteXh:CG42398"
"12797981","Df(1)ED7331","FBgn0262426","mir-283"
"12797982","Df(1)ED7331","FBgn0262409","mir-304"
"12797983","Df(1)ED7331","FBgn0262395","mir-12"
"12797984","Df(1)ED7331","FBgn0262991","asRNA:CR43299"
"14462401","Df(1)ED7331","FBgn0263748","CG43673"
"19835156","Df(1)ED7331","FBgn0265453","lncRNA:CR44353"
"19835254","Df(1)ED7331","FBgn0267082","lncRNA:CR45526"
"19835520","Df(1)ED7331","FBgn0265454","lncRNA:CR44354"
"19835556","Df(1)ED7331","FBgn0265534","lncRNA:CR44384"
"19835580","Df(1)ED7331","FBgn0265596","lncRNA:CR44423"
"19835666","Df(1)ED7331","FBgn0266182","lncRNA:CR44888"
"19835687","Df(1)ED7331","FBgn0267079","lncRNA:CR45523"
"19835881","Df(1)ED7331","FBgn0266198","lncRNA:CR44893"
"19836097","Df(1)ED7331","FBgn0267080","lncRNA:CR45524"
"26067097","Df(1)ED7331","FBgn0262606","lncRNA:CR43132"
"326191","Df(1)BSC761","FBgn0285944","para"
"32620","Df(1)BSC761","FBgn0264077","Cnx14D"
"326211","Df(1)BSC761","FBgn0030756","CG9903"
"326222","Df(1)BSC761","FBgn0030757","CG9902"
"326231","Df(1)BSC761","FBgn0011742","Arp2"
"326241","Df(1)BSC761","FBgn0011826","Pp2B-14D"
"326261","Df(1)BSC761","FBgn0030759","CG13014"
"326271","Df(1)BSC761","FBgn0015615","SMC3"
"440541","Df(1)BSC761","FBgn0267384","Ubc7"
"735444758","Df(1)BSC761","FBgn0259817","SteXh:CG42398"
"86740981","Df(1)BSC761","FBgn0267912","CanA-14F"
"327861","Df(1)ED13478","FBgn0030890","CG7536"
"327871","Df(1)ED13478","FBgn0030891","Ada3"
"327881","Df(1)ED13478","FBgn0030892","Swt1"
"327891","Df(1)ED13478","FBgn0021765","scu"
"32790","Df(1)ED13478","FBgn0030893","RhoGAP16F"
"32791","Df(1)ED13478","FBgn0030894","Mvb12"
"32792","Df(1)ED13478","FBgn0022724","Taf8"
"735444759","Df(1)ED13478","FBgn0259817","SteXh:CG42398"
"324291","Df(1)ED7289","FBgn0030600","hiw"
"324301","Df(1)ED7289","FBgn0052594","be"
"324341","Df(1)ED7289","FBgn0030605","ND-B18"
"324351","Df(1)ED7289","FBgn0264389","opm"
"324361","Df(1)ED7289","FBgn0030607","dob"
"324371","Df(1)ED7289","FBgn0030608","Lsd-2"
"324381","Df(1)ED7289","FBgn0053177","CG33177"
"324391","Df(1)ED7289","FBgn0030610","Cox17"
"324401","Df(1)ED7289","FBgn0030611","CG15027"
"324411","Df(1)ED7289","FBgn0030612","Dbct"
"32442","Df(1)ED7289","FBgn0030613","Rab3-GEF"
"32443","Df(1)ED7289","FBgn0030614","CG9072"
"32444","Df(1)ED7289","FBgn0030615","Cyp4s3"
"3189131","Df(1)ED7289","FBgn0053178","CG33178"
"27688771","Df(1)ED7289","FBgn0030603","CG5541"
"735444760","Df(1)ED7289","FBgn0259817","SteXh:CG42398"
"198350981","Df(1)ED7289","FBgn0265872","lncRNA:CR44661"
"198360841","Df(1)ED7289","FBgn0265873","lncRNA:CR44662"
"198362121","Df(1)ED7289","FBgn0266275","asRNA:CR44960"
"315391","Df(1)Exel6238","FBgn0029836","CG5928"
"315401","Df(1)Exel6238","FBgn0029837","Tsp5D"
"315411","Df(1)Exel6238","FBgn0029838","CG4666"
"315421","Df(1)Exel6238","FBgn0029839","CG4660"
"315431","Df(1)Exel6238","FBgn0029840","raptor"
"315441","Df(1)Exel6238","FBgn0026060","Mipp2"
"315471","Df(1)Exel6238","FBgn0029843","Nep1"
"315501","Df(1)Exel6238","FBgn0264386","Ca-alpha1T"
"315511","Df(1)Exel6238","FBgn0040069","vanin-like"
"315521","Df(1)Exel6238","FBgn0029848","Btnd"
"315531","Df(1)Exel6238","FBgn0029849","Efr"
"315541","Df(1)Exel6238","FBgn0003514","sqh"
"315551","Df(1)Exel6238","FBgn0262730","dtn"
"315561","Df(1)Exel6238","FBgn0029851","CG14445"
"315571","Df(1)Exel6238","FBgn0023458","Rbcn-3A"
"315581","Df(1)Exel6238","FBgn0015818","Spx"
"315601","Df(1)Exel6238","FBgn0029853","CG3781"
"440001","Df(1)Exel6238","FBgn0028982","Spt6"
"503921","Df(1)Exel6238","FBgn0040918","schlank"
"3181891","Df(1)Exel6238","FBgn0052751","CG32751"
"3262381","Df(1)Exel6238","FBgn0052750","CG32750"
"735444761","Df(1)Exel6238","FBgn0259817","SteXh:CG42398"
"127981221","Df(1)Exel6238","FBgn0262536","CG43090"
"198351801","Df(1)Exel6238","FBgn0266264","asRNA:CR44959"
"325021","Df(1)BSC629","FBgn0030666","CG12708"
"325031","Df(1)BSC629","FBgn0030667","CG15599"
"325041","Df(1)BSC629","FBgn0030668","CG8128"
"325051","Df(1)BSC629","FBgn0030669","CG9240"
"325061","Df(1)BSC629","FBgn0030670","Pis"
"325071","Df(1)BSC629","FBgn0030671","CG8134"
"325081","Df(1)BSC629","FBgn0030672","CG9281"
"325091","Df(1)BSC629","FBgn0030673","CG15601"
"325101","Df(1)BSC629","FBgn0030674","HUWE1"
"325111","Df(1)BSC629","FBgn0030675","CG8191"
"325121","Df(1)BSC629","FBgn0030676","CG12379"
"325131","Df(1)BSC629","FBgn0026666","MagR"
"325141","Df(1)BSC629","FBgn0011741","Arp6"
"325151","Df(1)BSC629","FBgn0030678","CG11679"
"325161","Df(1)BSC629","FBgn0030679","CG8206"
"325171","Df(1)BSC629","FBgn0030680","CG8944"
"325181","Df(1)BSC629","FBgn0027329","CCT6"
"325201","Df(1)BSC629","FBgn0030683","Mvd"
"325211","Df(1)BSC629","FBgn0030684","CG8260"
"325221","Df(1)BSC629","FBgn0030685","Graf"
"325231","Df(1)BSC629","FBgn0030686","mRpL3"
"325241","Df(1)BSC629","FBgn0030687","Polr3A"
"325251","Df(1)BSC629","FBgn0030688","CG8952"
"325261","Df(1)BSC629","FBgn0053172","CG33172"
"325281","Df(1)BSC629","FBgn0030691","Efhc1.1"
"325291","Df(1)BSC629","FBgn0025809","Paf-AHalpha"
"325301","Df(1)BSC629","FBgn0030692","mRpS30"
"325311","Df(1)BSC629","FBgn0026374","Rhp"
"325321","Df(1)BSC629","FBgn0030693","sordd1"
"325331","Df(1)BSC629","FBgn0030694","CG15602"
"325341","Df(1)BSC629","FBgn0030695","PGRP-LE"
"325351","Df(1)BSC629","FBgn0030696","CG8509"
"325361","Df(1)BSC629","FBgn0003345","sd"
"32537","Df(1)BSC629","FBgn0000319","Chc"
"3180981","Df(1)BSC629","FBgn0052581","sordd2"
"3189101","Df(1)BSC629","FBgn0263747","CG43672"
"735444762","Df(1)BSC629","FBgn0259817","SteXh:CG42398"
"144624011","Df(1)BSC629","FBgn0263748","CG43673"
"198352541","Df(1)BSC629","FBgn0267082","lncRNA:CR45526"
"198355561","Df(1)BSC629","FBgn0265534","lncRNA:CR44384"
"198356871","Df(1)BSC629","FBgn0267079","lncRNA:CR45523"
"198360971","Df(1)BSC629","FBgn0267080","lncRNA:CR45524"
"26067084","Df(1)BSC629","FBgn0052582","lncRNA:CR32582"
"260670971","Df(1)BSC629","FBgn0262606","lncRNA:CR43132"
"310231","Df(1)Exel6223","FBgn0027343","fz3"
"310241","Df(1)Exel6223","FBgn0086368","tw"
"310251","Df(1)Exel6223","FBgn0025620","CG13360"
"310261","Df(1)Exel6223","FBgn0025621","CG16989"
"310271","Df(1)Exel6223","FBgn0015799","Rbf"
"310281","Df(1)Exel6223","FBgn0025616","CG13359"
"310291","Df(1)Exel6223","FBgn0026874","CG13358"
"310301","Df(1)Exel6223","FBgn0260855","Sec22"
"310311","Df(1)Exel6223","FBgn0264449","CG43867"
"310321","Df(1)Exel6223","FBgn0029535","CG14635"
"310331","Df(1)Exel6223","FBgn0040341","CG11664"
"310361","Df(1)Exel6223","FBgn0029539","CG11663"
"503651","Df(1)Exel6223","FBgn0040343","CG3713"
"503661","Df(1)Exel6223","FBgn0040892","CG14634"
"735444763","Df(1)Exel6223","FBgn0259817","SteXh:CG42398"
"198354121","Df(1)Exel6223","FBgn0265662","lncRNA:CR44469"
"314971","Df(1)BSC654","FBgn0029798","Rtel1"
"314981","Df(1)BSC654","FBgn0029799","CG15772"
"314991","Df(1)BSC654","FBgn0029800","lin-52"
"315001","Df(1)BSC654","FBgn0029801","CG15771"
"315031","Df(1)BSC654","FBgn0029804","CG3097"
"315041","Df(1)BSC654","FBgn0259149","CG42264"
"315061","Df(1)BSC654","FBgn0029807","CG3108"
"315071","Df(1)BSC654","FBgn0261610","CG42699"
"315081","Df(1)BSC654","FBgn0029809","CG15767"
"315091","Df(1)BSC654","FBgn0029810","CG12239"
"315101","Df(1)BSC654","FBgn0029811","Cpr5C"
"315111","Df(1)BSC654","FBgn0029812","Prosbeta2R1"
"315121","Df(1)BSC654","FBgn0029813","AgmNAT"
"315131","Df(1)BSC654","FBgn0029814","CG15765"
"315151","Df(1)BSC654","FBgn0029816","CG12729"
"315161","Df(1)BSC654","FBgn0029817","CG15764"
"315171","Df(1)BSC654","FBgn0029818","GAA1"
"315181","Df(1)BSC654","FBgn0014340","mof"
"315191","Df(1)BSC654","FBgn0029819","Usp30"
"315201","Df(1)BSC654","FBgn0029820","CG16721"
"315211","Df(1)BSC654","FBgn0000042","Act5C"
"315221","Df(1)BSC654","FBgn0029821","CG4020"
"315231","Df(1)BSC654","FBgn0029822","CG12236"
"315241","Df(1)BSC654","FBgn0029823","Shmt"
"315252","Df(1)BSC654","FBgn0029824","CG3726"
"315262","Df(1)BSC654","FBgn0029825","CG12728"
"315272","Df(1)BSC654","FBgn0029826","CG6041"
"315282","Df(1)BSC654","FBgn0029827","CG6048"
"315292","Df(1)BSC654","FBgn0029828","CG6067"
"315321","Df(1)BSC654","FBgn0029831","CG5966"
"315331","Df(1)BSC654","FBgn0027546","CG4766"
"315351","Df(1)BSC654","FBgn0003302","rux"
"315361","Df(1)BSC654","FBgn0029833","MCTS1"
"441271","Df(1)BSC654","FBgn0029003","mab-21"
"445731","Df(1)BSC654","FBgn0013987","MAPk-Ak2"
"459942","Df(1)BSC654","FBgn0005390","fs(1)M3"
"503911","Df(1)BSC654","FBgn0029830","Grip"
"3181922","Df(1)BSC654","FBgn0052755","CG32755"
"3181932","Df(1)BSC654","FBgn0052756","CG32756"
"735444764","Df(1)BSC654","FBgn0259817","SteXh:CG42398"
"127981171","Df(1)BSC654","FBgn0263545","mir-4963"
"127981181","Df(1)BSC654","FBgn0262945","lncRNA:CR43264"
"127981191","Df(1)BSC654","FBgn0262610","CG43136"
"127981201","Df(1)BSC654","FBgn0262611","CG43137"
"144623821","Df(1)BSC654","FBgn0264939","asRNA:CR44108"
"198348961","Df(1)BSC654","FBgn0267084","asRNA:CR45528"
"198349221","Df(1)BSC654","FBgn0265692","lncRNA:CR44499"
"198350611","Df(1)BSC654","FBgn0266095","lncRNA:CR44832"
"198353401","Df(1)BSC654","FBgn0265691","lncRNA:CR44498"
"198353581","Df(1)BSC654","FBgn0267228","lncRNA:CR45668"
"198355401","Df(1)BSC654","FBgn0267085","lncRNA:CR45529"
"198360891","Df(1)BSC654","FBgn0265417","CG44329"
"315522","Df(1)BSC640","FBgn0029848","Btnd"
"315532","Df(1)BSC640","FBgn0029849","Efr"
"315542","Df(1)BSC640","FBgn0003514","sqh"
"315552","Df(1)BSC640","FBgn0262730","dtn"
"315562","Df(1)BSC640","FBgn0029851","CG14445"
"315572","Df(1)BSC640","FBgn0023458","Rbcn-3A"
"315582","Df(1)BSC640","FBgn0015818","Spx"
"315602","Df(1)BSC640","FBgn0029853","CG3781"
"315621","Df(1)BSC640","FBgn0029854","CG3566"
"315641","Df(1)BSC640","FBgn0029856","CG11700"
"315651","Df(1)BSC640","FBgn0026015","Top3beta"
"315661","Df(1)BSC640","FBgn0029857","wuho"
"315671","Df(1)BSC640","FBgn0028685","Rpt4"
"315681","Df(1)BSC640","FBgn0029858","mldr"
"315711","Df(1)BSC640","FBgn0029861","CG3815"
"315721","Df(1)BSC640","FBgn0043796","CG12219"
"440002","Df(1)BSC640","FBgn0028982","Spt6"
"503922","Df(1)BSC640","FBgn0040918","schlank"
"3262371","Df(1)BSC640","FBgn0086558","Ubi-p5E"
"37723831","Df(1)BSC640","FBgn0029860","CG15891"
"37726031","Df(1)BSC640","FBgn0029859","CG15892"
"735444765","Df(1)BSC640","FBgn0259817","SteXh:CG42398"
"198360851","Df(1)BSC640","FBgn0267086","lncRNA:CR45530"
"33245","Df(2L)ast2","FBgn0284247","ds"
"33247","Df(2L)ast2","FBgn0026438","Eaat2"
"33248","Df(2L)ast2","FBgn0031275","GABA-B-R3"
"33249","Df(2L)ast2","FBgn0031276","CG12506"
"33250","Df(2L)ast2","FBgn0031277","CG13947"
"33251","Df(2L)ast2","FBgn0041250","Gr21a"
"33252","Df(2L)ast2","FBgn0031279","CG3544"
"33253","Df(2L)ast2","FBgn0000442","Pkg21D"
"33254","Df(2L)ast2","FBgn0086130","Dbp21E2"
"33255","Df(2L)ast2","FBgn0031281","Saf6"
"33256","Df(2L)ast2","FBgn0031282","Pex12"
"33257","Df(2L)ast2","FBgn0031283","CG15880"
"33258","Df(2L)ast2","FBgn0031284","PGAP2"
"33259","Df(2L)ast2","FBgn0015621","Clp"
"33260","Df(2L)ast2","FBgn0031285","CG3662"
"33261","Df(2L)ast2","FBgn0031286","CG3862"
"33262","Df(2L)ast2","FBgn0010583","dock"
"33263","Df(2L)ast2","FBgn0020304","drongo"
"33264","Df(2L)ast2","FBgn0031287","CG4291"
"33265","Df(2L)ast2","FBgn0020545","kraken"
"33266","Df(2L)ast2","FBgn0031288","CG13949"
"33267","Df(2L)ast2","FBgn0031289","CG13950"
"33268","Df(2L)ast2","FBgn0029095","aru"
"33269","Df(2L)ast2","FBgn0020305","dbe"
"33270","Df(2L)ast2","FBgn0053526","PNUTS"
"33271","Df(2L)ast2","FBgn0002936","ninaA"
"33272","Df(2L)ast2","FBgn0031292","CG15824"
"33274","Df(2L)ast2","FBgn0002563","Lsp1beta"
"33275","Df(2L)ast2","FBgn0046113","GluRIIC"
"33276","Df(2L)ast2","FBgn0028481","CG4341"
"33277","Df(2L)ast2","FBgn0031294","IA-2"
"33278","Df(2L)ast2","FBgn0031295","CG4375"
"33279","Df(2L)ast2","FBgn0031296","CG4415"
"33281","Df(2L)ast2","FBgn0003310","S"
"33282","Df(2L)ast2","FBgn0015905","ast"
"33283","Df(2L)ast2","FBgn0031298","Atg4a"
"33284","Df(2L)ast2","FBgn0031299","CG4629"
"33285","Df(2L)ast2","FBgn0261938","PolrMT"
"33286","Df(2L)ast2","FBgn0031301","CG14339"
"33287","Df(2L)ast2","FBgn0031302","CG14340"
"33288","Df(2L)ast2","FBgn0016926","Pino"
"33289","Df(2L)ast2","FBgn0031304","TBC1D23"
"33290","Df(2L)ast2","FBgn0031305","Iris"
"33291","Df(2L)ast2","FBgn0031306","CG4577"
"33292","Df(2L)ast2","FBgn0031307","MFS3"
"33293","Df(2L)ast2","FBgn0283525","l(2)10685"
"33294","Df(2L)ast2","FBgn0031309","Tfb4"
"33295","Df(2L)ast2","FBgn0031310","Vps29"
"33298","Df(2L)ast2","FBgn0031312","Tango14"
"33299","Df(2L)ast2","FBgn0031313","CG5080"
"33300","Df(2L)ast2","FBgn0031314","IntS14"
"33301","Df(2L)ast2","FBgn0031315","CG14341"
"33303","Df(2L)ast2","FBgn0031317","Charon"
"33304","Df(2L)ast2","FBgn0031318","CG4887"
"33305","Df(2L)ast2","FBgn0031319","CG4896"
"33306","Df(2L)ast2","FBgn0031320","CG5126"
"33307","Df(2L)ast2","FBgn0031321","Tgt"
"33308","Df(2L)ast2","FBgn0031322","CG5001"
"33309","Df(2L)ast2","FBgn0031323","CG5139"
"33310","Df(2L)ast2","FBgn0031324","CG14342"
"33312","Df(2L)ast2","FBgn0259229","CG42329"
"33313","Df(2L)ast2","FBgn0031327","CG5397"
"33314","Df(2L)ast2","FBgn0041097","robo3"
"33317","Df(2L)ast2","FBgn0011294","a5"
"33318","Df(2L)ast2","FBgn0031331","CG5440"
"33319","Df(2L)ast2","FBgn0026141","Cdlc2"
"33320","Df(2L)ast2","FBgn0031332","CG5556"
"33321","Df(2L)ast2","FBgn0031333","CG5561"
"33323","Df(2L)ast2","FBgn0031335","CG5565"
"33324","Df(2L)ast2","FBgn0053126","NLaz"
"33325","Df(2L)ast2","FBgn0031337","CG14346"
"33330","Df(2L)ast2","FBgn0051661","CG31661"
"33331","Df(2L)ast2","FBgn0031343","CG18131"
"33332","Df(2L)ast2","FBgn0031344","CG7420"
"33333","Df(2L)ast2","FBgn0031345","CG18132"
"33334","Df(2L)ast2","FBgn0001174","halo"
"33335","Df(2L)ast2","FBgn0026398","Or22a"
"33336","Df(2L)ast2","FBgn0026397","Or22b"
"33337","Df(2L)ast2","FBgn0031347","nis"
"33338","Df(2L)ast2","FBgn0051935","Rab3GAP1"
"33339","Df(2L)ast2","FBgn0261509","haf"
"33341","Df(2L)ast2","FBgn0031351","CG14352"
"33343","Df(2L)ast2","FBgn0086758","chinmo"
"33346","Df(2L)ast2","FBgn0011570","cpb"
"43978","Df(2L)ast2","FBgn0024314","Plap"
