"","FBgn","Symbol","CG","ensembl","Moderate","Strong","Repress","Lethal","Enhancer","No.Effect"
"FBgn0027550","FBgn0027550","CG6495","CG6495","34486",0,1,1,0,0,0
"FBgn0036935","FBgn0036935","CG14186","CG14186","40196",0,1,1,0,0,0
"FBgn0000376","FBgn0000376","crm","CG2714","31268",0,1,1,0,0,0
"FBgn0031606","FBgn0031606","CG15439","CG15439","33651",1,1,1,0,0,0
"FBgn0025644","FBgn0025644","CG14424","CG14424","31279",0,1,1,0,0,0
"FBgn0038088","FBgn0038088","CG10126","CG10126","41579",0,1,1,0,0,0
"FBgn0267042","FBgn0267042","CG45486","CG45486","19836213",0,1,1,0,0,0
"FBgn0034251","FBgn0034251","ND-51L1","CG11423","36998",0,1,1,0,0,0
"FBgn0286031","FBgn0286031","lncRNA:CR46351","CR46351","39877393",0,1,1,0,0,0
"FBgn0036949","FBgn0036949","CG7290","CG7290","40211",0,1,1,0,0,0
"FBgn0037683","FBgn0037683","CG18473","CG18473","41116",0,1,1,0,0,0
"FBgn0031333","FBgn0031333","CG5561","CG5561","33321",0,1,1,0,0,0
"FBgn0030657","FBgn0030657","cerv","CG15645","32492",0,1,1,0,0,0
"FBgn0038125","FBgn0038125","CG8141","CG8141","41622",0,1,1,0,0,0
"FBgn0038098","FBgn0038098","CG7381","CG7381","41589",0,1,1,0,0,0
"FBgn0040076","FBgn0040076","primo-2","CG33747","3772427",0,1,1,0,0,0
"FBgn0053498","FBgn0053498","CR33498","CR33498","19835904",0,1,1,0,0,0
"FBgn0267051","FBgn0267051","CR45495","CR45495","19835681",0,1,1,0,0,0
"FBgn0265596","FBgn0265596","lncRNA:CR44423","CR44423","19835580",0,1,1,0,0,0
"FBgn0267937","FBgn0267937","lncRNA:CR46217","CR46217","26067528",0,1,1,0,0,0
"FBgn0051469","FBgn0051469","CG31469","CG31469","261628",0,1,1,0,0,0
"FBgn0267182","FBgn0267182","lncRNA:CR45622","CR45622","19836159",0,1,1,0,0,0
"FBgn0014000","FBgn0014000","Hf","CG10658","44038",0,1,1,0,0,0
"FBgn0005617","FBgn0005617","msl-1","CG10385","35121",0,1,1,0,0,0
