"","GRF.CxDf","GRF.CxOE","WTF.CxDf","WTF.CxOE","GRxWT.FC","GRxWT.FDf","GRxWT.FOE","GRM.CxDf","GRM.CxOE","WTM.CxDf","WTM.CxOE","GRxWT.MC","GRxWT.MDf","GRxWT.MOE","GR.FxM","WT.FxM"
"FBgn0000079",0.564006877324762,0.892672420781801,0.412474438691131,0.325640124397987,0.261113149184869,0.0143486407546936,0.0164976820793229,0.157215876339656,0.98014115169433,0.471417650751361,0.706750901948672,0.00819345708819363,0.552934860116919,0.106839173865252,0.762041068012378,0.19047836656184
"FBgn0000083",0.867806878207397,0.752950286338841,0.94814033009456,0.633621304081684,0.665625122073362,0.638217911175778,0.335725944511695,0.550650819796229,0.999434219973619,0.92712554791607,0.695134999014278,0.496653812138189,0.789988445467262,0.0658885184570153,0.000604257580106708,0.0327944322362708
"FBgn0000084",0.626535799036098,0.552112063132277,0.545824313469622,0.604542090465772,0.573966087842568,0.713097956548186,0.284680206079384,0.69384351901975,0.98014115169433,0.764917431075829,0.706750901948672,0.347637777045837,0.330914298490926,0.397648918463285,0.000124921043112475,0.000215165832605869
"FBgn0000092",0.812730823614252,0.878491388350593,0.690368534696887,0.763936547460954,0.64713517600185,0.231543333922037,0.555156049393435,0.525693787294574,0.994788948947338,0.951428857325535,0.489269047686255,0.884569862559666,0.412633113756521,0.0720389929016516,0.05,0.05
"FBgn0000097",0.582323272612962,0.655962494417484,0.148638415728108,0.225047305056254,0.0387256230417474,0.962228631168956,0.785672623575201,0.0548959901895687,0.999434219973619,0.857052490297541,0.676882013623585,0.557133853867711,0.194463824157876,0.906987303763219,0.868037469324693,0.0353090834565062
"FBgn0000100",0.746685624872088,0.975708257110159,0.289388735427507,0.628033474784892,0.866984849426432,0.685870953250812,0.516433526953964,0.0109312476460347,0.999434219973619,0.406516690498587,0.937825973345931,0.421828951503254,0.774146831808701,0.432201916158916,0.000150159808472483,0.00503667478418423
"FBgn0000108",0.90408311733683,0.733896490426637,0.306696436187853,0.672522108162512,0.857709687190294,0.297075728975765,0.0620501834477443,0.169929420799069,0.892522559696016,0.590576697256837,0.34510281538147,0.0515200950036699,0.0229038425265697,0.131934742182072,0.419408616831466,0.00679401529981859
"FBgn0000109",0.875753857031178,0.950585055442612,0.152866835586894,0.909380916692789,0.820594984032493,0.128006846803296,0.805877520798879,0.497827202632905,0.97556191526121,0.878243119189421,0.223079683260029,0.0226723320582261,0.0589102729926142,0.973028823317424,8.29149730355882e-05,0.0311560020355926
"FBgn0000114",0.535840789215354,0.810395860637519,0.988701776063237,0.902044817385013,0.778238568613515,0.766371240360893,0.98056802475371,0.00416835847663438,1,0.469175864144233,0.933731328398576,0.619883922512775,0.26764059938385,0.726317904611614,3.70173575783909e-14,3.95258419905332e-14
"FBgn0000115",0.291928838797155,0.943701593712071,0.566880796890666,0.945611665621253,0.4942494152089,0.282747279042634,0.166683802036698,0.383330092460459,0.98014115169433,0.632495986996337,0.475056053275259,0.125045643940491,0.964382306058504,0.845406734440923,0.00171545675519035,0.0104279473454341
