"","GR.F","GR.M","TktDfGR.F","TktDfGR.M","TktDfWT.F","TktDfWT.M","TktOEGR.F","TktOEGR.M","TktOEWT.F","TktOEWT.M","WT.F","WT.M"
"FBgn0032170",63.7927139004366,46.2155912578922,59.2011877835225,43.8604033209688,58.9477982145186,47.0129684180682,47.7920527692828,34.2519213553072,59.6460907824594,40.4352912589998,58.2286631843676,42.5443678957683
"FBgn0032171",11.3997523093126,10.748394612689,11.0076863804492,10.4676370318036,10.4500189404215,10.1794976419877,11.8839125818317,11.923218638931,10.9787330863495,9.5420133373698,8.50073685255771,8.4165468063014
"FBgn0032172",36.1072978567249,29.3395752423527,32.4923332268047,28.7972152946033,36.067524896978,30.8454240568411,36.1661703592742,27.9357288098029,36.930675537027,32.1903942881431,39.7343607303526,33.6561197367669
"FBgn0032175",0.22017577183417,16.5135057888398,0.0608041188343564,11.3081334690817,0.205938706847159,14.6471358294198,0.327478814685678,14.2912122142335,0.152121256652016,21.8905423836653,0.0922066495399865,16.0825433690625
"FBgn0032176",0.110087885917085,8.2240394897165,0.0445063100540463,5.33098888100071,0.0685281974566385,7.72416102690641,0.163608416385946,8.04236053606172,0.0889026266783096,8.60958844844562,0.0307355498466621,7.75912040692828
"FBgn0032178",1.02778512277743,0.956494118461542,1.38870613336401,1.18782101805767,1.44015449002114,1.28272918616278,0.922670193501871,0.530432065560158,0.750738370271184,1.22627141654997,0.64174559996445,1.89107291309083
"FBgn0032181",1.0309160920662,0.974725080882426,1.21335246414308,1.23229663436761,1.02721473289509,1.05580068634896,1.13153344377548,0.935500453975412,0.676724179954546,0.632508314651565,0.547225858664805,0.487608942553984
"FBgn0032187",16.7352779853193,17.4389765476099,21.2199419791981,18.8185774855622,17.247766838764,18.5220543301368,10.9341022844851,13.8578898247213,15.1528634968722,17.89705296687,17.2834423353394,15.3952383192124
"FBgn0032188",0.073988299047344,2.75236891266274,0,2.17414731008125,0,2.78556386831242,0.0258272889978218,3.44233979251964,0.0383161804489007,3.11831891933856,0,3.24701986301971
"FBgn0032189",5.11087709090282,11.9966205136612,5.93029488820429,9.50006740072341,6.19985424020093,11.3895760836968,6.19432916785602,12.4471327514273,5.34910374831247,11.4429139246655,5.94717038490593,12.4426802420737
"FBgn0032191",53.9608986729666,42.0011429339048,55.5281488483865,44.073287314834,48.3787827175233,39.8407317060177,52.6082113597348,39.2192739489529,49.9206564880109,39.8048528251212,43.554966875883,36.8872957779692
"FBgn0032192",3.63916217384132,3.05180901210954,4.57013252901653,5.04859340179049,5.7212192014362,4.70201829549597,3.58998490584193,2.83824600330553,5.16546574673348,3.5185265364548,6.19351740203117,3.74952190744246
"FBgn0032193",7.57338298121808,9.8505872104879,7.03527173801241,9.5375916519171,7.98123325959629,9.38421053892545,6.14071586624081,10.5801056021262,6.90484018188697,10.2571155099338,8.21651227168768,10.7876625952021
"FBgn0032194",18.9473231741811,17.7050682899377,19.5557867351531,20.4288329386981,20.1093077515123,20.2067158548025,18.9622942119878,17.1405764798627,20.229754213134,19.145028850827,18.8973628102179,20.0757404565435
"FBgn0032195",6.35973254816835,5.69092566036446,6.06933490792294,6.35733380862413,6.54568225777932,6.90595138617687,6.40195559741202,5.19728372196476,6.69132491229952,5.82797608842287,5.88708714026841,6.56573428724759
"FBgn0032196",22.4268794354266,25.5415701539347,17.5457661478729,26.5365662445249,21.9268984992609,31.0060106635598,20.4601619508069,28.6727402321218,21.6427292849074,29.2014883809868,25.9309176618515,29.6755704340593
"FBgn0032197",21.5217060757213,16.3353319808516,20.3969090546409,21.4019009729933,21.8161386273378,19.0841450997823,20.0773488600426,17.9699111096779,23.3063106175951,17.3227388478365,24.5653974161251,17.6241038795687
"FBgn0032198",176.521123675969,149.354658122525,160.423703805026,165.449285852579,187.02832366721,183.496744837935,160.876771195565,145.592131608447,178.204306860876,151.916524362053,205.668728686645,182.5421393809
"FBgn0032200",58.9259053717951,49.1747438273356,59.6760429939069,53.3991280496899,61.0156840304441,61.2535890620437,54.0667177463922,52.3669196298161,66.7156807606552,60.0790379981814,73.4532862983326,67.0718081988564
"FBgn0032202",35.1294780419531,24.6906815764044,34.1381834090337,23.9323950210767,35.0825418385492,26.3910480503798,34.3421238881698,23.5035838051127,35.6789761079979,24.9487758559391,37.1521119248811,25.3057323767269
"FBgn0032204",10.0791449596345,7.43441431128084,8.83948136902842,8.3539040693836,10.2099931920846,9.35773718815171,10.1670446390208,7.97394198465427,11.341301135122,9.80672193713091,12.7632632958532,9.76794430975843
"FBgn0032205",3.42256465262288,8.59958922316603,3.99812952028134,5.70368597112601,3.46049691432162,7.44277603316861,4.16006185255034,7.74700701166374,4.21815298442743,8.48981650568505,4.23430672382763,7.02516026081742
"FBgn0032208",178.984207048225,178.688098348246,179.789989943614,186.878716464212,177.436238647341,194.531481533908,170.250736587084,159.935003470552,176.253552395405,191.623226549333,186.401120107933,181.395706051122
"FBgn0032209",1.68831243827995,1.63205666906636,2.03441207282459,1.37607581722325,1.78314959178158,1.78248137736215,1.93334313457425,1.50404094729498,1.11173131832099,1.13263389959198,0.918365548584408,0.951929262796324
"FBgn0032210",29.7087820337251,63.1046027660921,25.7514829021684,45.9457846591359,22.3292148220696,53.6638893477473,27.288972884911,59.7413935110238,27.5764093311851,56.9249905254562,28.8993126831236,58.3292239606362
"FBgn0032211",1.288533294751,1.08149193037453,1.14957067218536,0.987848917275432,0.343349216237681,0.410185173743355,1.14017812617449,0.405939497891957,0.601235284200332,0.34212620708013,0.764225180999166,0.6011750871375
"FBgn0032213",125.627030962237,75.880623345652,137.05832620805,82.1222663873502,137.268707680714,98.7723985883662,131.663505503396,71.2916774321928,124.891767990812,79.0794402245047,113.161943139596,80.3269990611679
"FBgn0032214",40.7051769488929,73.3905571479354,36.0650171064306,58.4453316027879,31.6806579163213,59.7312086045637,40.7268155252764,73.3854259423558,37.0295447746472,63.8949822271957,39.6046819943062,66.7026614228697
"FBgn0032216",247.749084148722,185.667045953784,194.855900111608,171.235081218531,196.759865923879,174.155494865944,232.15596783744,177.085943699402,213.655541944959,161.564314091617,247.454563885855,175.231028723815
"FBgn0032217",37.7823220558104,41.4193471026429,36.1379261031745,45.7927440266181,39.4584312704113,51.5310535065962,35.0346665078336,44.048338195951,43.5985950206333,52.7846662257706,44.2678985609313,51.4116333779531
"FBgn0032218",39.2682197747203,26.6557009208397,44.6238947825785,31.8587932908457,44.3298611842715,34.8772709592512,40.6668838332598,29.6855734129689,44.3236253814737,34.1346744101045,37.4393149544819,30.7732113356961
"FBgn0032219",1.76632626926998,35.7700402109051,1.61863164381888,24.3974405711672,2.70774908573033,27.4130764134476,1.85849917874249,33.9344363405116,1.89260847927931,31.6237660108213,1.18943407698118,32.9983300501455
"FBgn0032221",2.35331256705211,2.96411578160314,2.16528714130608,4.31043485225488,2.74077378378829,3.93695424388458,2.55863855315018,3.80169296787089,3.1951698303348,4.28301956318897,3.99721207374103,3.15652301024386
"FBgn0032222",19.7406195226615,25.9794870265508,24.7081701360302,28.8603870484564,22.4257180632285,31.5297662722443,20.7110450711276,31.7149357483697,19.7391160924392,27.5392685703701,16.9212951327257,29.6334091116263
"FBgn0032223",21.9611630567357,24.2567643912085,25.3548512619641,27.4963164585372,22.3405464853414,30.2422723825801,21.0681766600185,25.2697894291242,26.793756902165,28.9149367940462,29.2452682434198,26.96624836445
"FBgn0032224",25.4095398257082,24.6096855843271,27.553692969454,26.1935043251747,28.8339898116173,27.8902625982178,22.5792031905764,25.0037044475426,24.8155534809589,27.7725259643226,20.3629542174671,23.1174616781455
"FBgn0032225",5.07880303597577,5.3829410583574,5.1417433847602,5.39078726918899,4.28389762723302,4.48630353422856,5.76763810089044,5.31848811331359,5.12020403058841,3.80137030617019,6.49485886192267,4.84370322435225
"FBgn0032228",0.514787124042648,0.220155242700286,0.570013455009441,0.443511362738937,0.272696331917576,0.51964103770712,0.483237540425891,0.338795516586756,0.318075873444135,0.226864157504386,0.2743068568603,0.303286187177906
"FBgn0032229",28.0137603755406,67.4181113288618,31.9409320151929,53.1709535384419,31.5343024933255,57.8295872908186,29.4524070186973,61.9851384530849,28.9445219473906,59.8984414327602,28.4634635650471,63.2328209996032
"FBgn0032230",33.1273211544052,24.7600400088313,31.4354917452093,30.2064894789475,35.9982884705668,29.5074289462129,36.3087604661072,27.6555036203367,44.5672950921988,28.1742659910701,46.9578231601757,30.3653995960986
"FBgn0032231",14.6070612846979,25.8349443948578,12.0350280621648,19.5523000031151,12.2296273874307,22.6048593302975,12.6388926419821,25.0085909968479,15.0190928237834,27.4173520611682,13.9164104027645,25.4075108353153
"FBgn0032233",1.35715421787476,4.69988848527056,2.77200786026912,4.53597835163864,2.70668674229859,3.70416724273479,3.03896715448865,4.49264370235036,3.5312603288598,2.89085424816986,3.6059770560692,2.8165511509899
"FBgn0032234",7.06127954513722,5.28602377909964,6.97882556469054,6.83322037831579,6.33514006272799,7.15515383241026,5.32555849064083,6.27971468634846,6.9582792877938,7.49036741176377,6.2210146234143,7.10358581755629
"FBgn0032235",30.4995248948581,17.1626320370922,30.7124759957812,13.5686395323703,23.2243307627328,19.9022219785198,9.96055731799508,10.0851688466104,24.9852686593749,25.1683726744302,18.6982028649897,15.5501240744983
"FBgn0032236",19.8966471846416,25.9836915196898,19.5322437429798,24.8863277752878,23.1401294766031,27.5334242242963,19.8596122242258,25.4171921204492,22.5082731172073,25.5162827623699,20.5034759142272,28.2522388262734
"FBgn0032242",155.091874634315,129.9282725609,141.673320722038,132.556545355782,142.869960033819,145.026341898182,146.735481458278,124.402848325975,156.61650678834,140.26212925313,164.35089183625,139.449695599299
"FBgn0032243",13.2837702470581,11.6410797829913,12.2668862462564,12.2087032064862,11.9934968983434,13.4346376837333,12.99310954163,11.4412271789395,11.9766713348305,11.7522332781508,10.9311583822037,11.1308765342482
"FBgn0032244",6.02589063980137,7.44763334840223,5.97912997299642,9.47592053236738,6.61562691314495,8.62121645783921,6.30795512461613,7.29166582026827,7.56408478848111,8.90564258503537,5.78701597874558,8.62163837524683
"FBgn0032246",113.333547727622,89.4880697829518,101.967205005851,87.9329876429649,106.950823195027,99.6259809454744,99.5003200965072,86.482337998203,110.012709773049,98.0502798374036,116.564799423889,96.7645355891855
"FBgn0032247",8.27627182216785,7.28730262706653,8.59745720850942,8.32555410215276,9.66141349795429,8.93180644008835,8.35182638380061,7.76365488928906,9.33449498400597,7.83647070958977,7.99072320066661,9.26945199716644
"FBgn0032248",9.88970139874652,36.2809601716986,9.86240384076308,28.659389156786,10.9304245515725,31.4632700666192,11.1286035916502,35.8760452446624,12.3313151542442,33.9707118726357,12.191518664536,36.2879046564246
"FBgn0032249",7.06396323309901,6.79375571150346,7.39724839391709,7.53174901218841,5.03168785314289,5.61986683026701,4.42480757548786,5.323980790217,5.32242238663851,4.90581492397212,6.15491734020166,3.72399227148223
"FBgn0032250",14.3748089170357,17.5151489344444,11.9045274473649,17.5673792513538,13.4315267015011,21.0302707393302,12.3707961509928,18.3570298005383,13.1272388581015,22.3431674321418,15.5846599634382,21.8899315830591
"FBgn0032251",2.68715447541909,6.99402929053943,3.24456973549921,5.8088912502192,3.42499341492294,7.96563710691292,2.30745364083401,7.47232217194025,4.04124834484243,9.31861359991977,4.51231452750338,8.77509549760319
"FBgn0032252",6.36644176807283,10.3005518626073,4.81467239665408,8.29203675982116,3.60180268296183,7.02794099197457,4.76642906672803,10.0619495621366,2.60809914656856,7.97800584689963,3.47702081810744,7.59564614232802
"FBgn0032253",24.0344943547547,18.2804280319417,31.1784304422819,18.5410100418991,62.1298409136125,44.9083410081527,23.5188001494971,13.7866977865396,54.4118212270901,42.0819655677286,46.0822783797018,36.9582034975246
"FBgn0032256",7.09469544404517,6.87679907027766,6.56942472861706,8.22350414009768,7.60521345977789,6.90590768362958,6.89452644436929,7.36238999888367,7.54565053418423,7.09377883515947,8.50443779937317,6.40783191168936
"FBgn0032258",22.3622840442455,16.7607973907163,23.0094005499244,21.5444069238328,26.8651780898658,21.6562061733372,19.992492019559,17.4771359246876,28.4643685153835,26.2311983974242,27.7718123241876,21.6643193505586
"FBgn0032259",3.79026974122477,9.00094442591659,4.44542993512685,8.08047201335231,4.59280568750375,8.4410478173744,3.89771629161841,9.12193382386382,5.15390731051745,8.72699319698163,5.6155559935197,7.9823287704869
"FBgn0032261",6.61645518819923,12.845925294976,5.96178716472949,8.41225024280615,7.16739363757049,9.79376621331507,6.35476666324076,10.730972308346,7.82192212049649,12.7836603396172,6.43199990717355,11.088943660714
"FBgn0032262",9.36507408551064,5.50156260258171,10.8820354501612,5.3984737188875,15.7934477696531,7.87254721814119,11.5895686909382,4.20493926887579,12.2061217547254,8.00116358073029,13.4040836591138,5.50166320935059
"FBgn0032264",42.057411072171,19.9504235935827,44.6951070127942,20.7413429206982,48.8282883174797,32.403099082035,34.1672549868593,20.1926904002834,44.3942061555034,31.5292784001667,37.9368950519845,24.6626643297874
"FBgn0032268",0.11053516724405,16.4519043864887,0.0689384378373111,10.6810928404938,0.068174082979394,12.6911950098107,0.0963033131924867,17.5069942904309,0.171279346876466,14.2238139191826,0.0610084813413924,15.6545747646596
"FBgn0032269",2.13403135787187,182.147519603182,0.846348778380697,109.242223391772,0.959394764392939,138.012940906757,1.68265795332797,170.436307759138,1.27101392845872,172.579927409465,1.34264920786256,175.235429389144
"FBgn0032271",0.331605501732151,11.2119391961249,0.526059546203006,6.72466351079621,0.240025748336856,6.72576211254184,0.241221274336305,9.77197128334698,0.222285422321884,7.46165941857973,0.244496543717502,7.23103356540238
"FBgn0032280",147.020888099577,33.5546409065535,57.9900285544868,18.4553770196135,107.068495345366,100.319434155564,35.3122889956808,24.0959282570332,59.0527657744995,66.8408373919309,20.4579365771187,36.9651945304073
"FBgn0032281",75.0873550979123,29.4176483055082,50.563735114623,17.3810429038442,49.0512245192347,39.6990085966837,40.5288970637503,28.9905168541835,28.8721706234875,31.0469139764205,12.2134644656959,25.0557372064653
"FBgn0032282",55.230646151985,58.359528681115,117.260029382412,49.8818106615093,129.673027127383,93.7681839613403,62.3785474171831,53.4202875878171,74.7026289306125,60.8946574341755,38.4404320469485,88.5228193558466
"FBgn0032283",448.141314294489,201.720805391781,351.836503050394,151.300473443201,303.759726927894,186.860907997886,286.728565320606,185.970957743677,203.492899400792,174.751591983488,143.685011054659,193.512870649094
"FBgn0032284",262.765911808404,140.116793170209,177.436305855172,108.750579457094,146.819531317875,107.164892988193,232.231565427222,124.198380376848,207.158349236365,141.215446246424,212.45550521808,170.30941471933
"FBgn0032285",184.314048267596,143.917126302235,158.836985798304,107.613597831812,113.358726736718,136.271685936226,186.191181646534,140.215027586914,120.380993608161,75.8353499131425,103.697504139965,123.521728695607
"FBgn0032287",46.8086341383573,24.2612944925769,53.4107278332447,32.887460940303,56.4462498984384,37.6913262427641,45.0990265721561,27.3846810996282,50.3354356341587,33.5676322987869,31.5663091033906,28.9106515558805
"FBgn0032289",1.94771876627261,1.02860113378139,3.07919408513496,2.29822014516323,2.84905485437054,4.38794760320213,1.35531012959919,0.999340368014805,4.24422957676562,4.9503387684641,3.23113641933414,2.3244785681864
"FBgn0032290",11.4674786697824,13.5084630526028,10.4672808598724,12.7863720141375,10.6907529177128,15.8995603263813,10.4592413038105,14.8832163401784,12.1077672001869,14.8187611561431,13.6947848969108,18.0099373529133
"FBgn0032291",0.147082035440757,31.2845855840084,0.336587040958002,18.3871039752971,0.375665685341157,19.0365429956873,0.508138846713537,32.297876899387,0.321475591205098,23.0956788631611,0.397249056246949,25.8616148954264
"FBgn0032292",21.7632211506354,31.6328217466544,22.3470308965468,29.9672009068922,22.4136781710022,31.2480239654117,20.5631996882942,33.3809719772189,22.3657582508654,31.0355691268023,23.4004249706826,35.3594759033603
"FBgn0032293",13.9625058963517,12.9196841709116,11.3402392773328,13.2413943876845,13.5341419404475,13.9898430392064,13.6841533586624,13.5502066102529,13.1209474407175,11.8693555958618,13.0675832044755,13.4380200434609
"FBgn0032294",0.257617202684807,14.1144987488385,0.0488642555665297,8.83072648364547,0.102615238946335,10.2749974899095,0.214337011671414,14.9521235878888,0.0256839967046033,11.346558137692,0.122942199386649,11.7107313466448
"FBgn0032295",22.5948534926203,25.2803441974873,24.5902186658347,33.8170730849304,27.2369485159572,31.0397714521524,24.7656645565937,26.1459594724124,27.6374480911003,28.9800288464612,32.1547079953774,29.878348243732
"FBgn0032296",12.7640630284188,11.7438017716015,11.5046282697592,13.801866863585,13.5064289595481,14.3625547639524,11.6996549865841,11.8829325389846,12.6929435492995,13.3189271215843,13.0590533355215,13.414645614927
"FBgn0032297",89.9469266106003,74.3189707337417,99.7411138706973,92.830645197237,68.0244202899894,63.6499469567438,78.7084588092158,66.5701974177189,67.4310605221818,49.0591676066613,84.059769564429,56.635914919607
"FBgn0032298",17.1733931223527,16.1302066556273,17.3926072921302,19.6417279498822,21.6243644995805,19.1878902257391,17.5780195417375,14.5218712305017,20.3279163393781,17.9919723796864,23.0165918466418,20.8627833832885
"FBgn0032304",38.5328095975165,70.77069236244,210.810989371438,188.482955284779,92.6919864291446,115.403526761057,67.5503547617969,48.6833372575371,102.250716426166,99.3954863175439,100.154240441139,110.372049335805
"FBgn0032305",119.591877615184,100.337591479606,118.903999967318,116.620565825793,125.557560256848,110.187215153622,119.218345362475,106.253720749577,125.00157264579,106.185364598179,131.832186164851,96.8243884670654
"FBgn0032312",0.147082035440757,16.1510500721407,0.0445063100540463,8.27075271284067,0.10296935342358,10.2117123573509,0.14795789118813,15.9894343186408,0.0697445364538592,12.0709752464959,0.121091725978921,13.6505244537534
"FBgn0032313",1.06433199097414,13.2120901880449,0.263843058855818,10.9448417252951,0.170789321925729,14.2417012527714,0.745394208295354,13.8665002065891,0.413504406602598,15.7865306718703,0.243108688661706,15.5127307264747
"FBgn0032314",1.61656054586743,79.5478546621657,0.392786915160371,48.2515418265005,0.341578643851459,59.6886489089884,1.03007625320454,79.5705489431133,0.708876371887084,74.0968304904242,0.579811881919194,69.0380289786087
