"","GRF.CxDf","GRF.CxOE","WTF.CxDf","WTF.CxOE","GRxWT.FC","GRxWT.FDf","GRxWT.FOE","GRM.CxDf","GRM.CxOE","WTM.CxDf","WTM.CxOE","GRxWT.MC","GRxWT.MDf","GRxWT.MOE","GR.FxM","WT.FxM"
"FBgn0000036",-0.404325270020726,0.315414840976927,-0.10937003079104,-0.074823748038588,0.215172284852278,-0.0797829543774082,0.605410873867793,-0.0303323706388132,0.144381879942829,0.0254463754119533,-0.00967038353032546,0.75047574404757,0.694696997996804,0.904528007520725,-0.0519349980272717,0.48336846116802
"FBgn0000037",-0.215773795684576,-0.0115155732386523,-0.197837285992327,-0.0911985288593643,0.339843000630441,0.321906490938192,0.419525956251153,0.168437004592276,-0.0821442056577598,-0.0747075238107883,0.116944604230331,0.103619936691812,0.346764465094877,-0.0954688731962786,0.0491106650347697,-0.187112398903859
"FBgn0000038",-0.0928727022844149,0.429843598994006,-0.235645863999716,-0.000980379399834528,-0.279432985459547,-0.136659823744246,0.151390992934293,0.367134329672168,0.06852002497462,0.459478682928146,0.557590382055914,0.316897654950271,0.224553301694293,-0.172172702131023,-0.440322500601162,0.156008139808657
"FBgn0000039",-0.19797863640224,-0.0407304567774669,-0.516096513708548,-0.405080664032815,-0.194694239694317,0.123423637611991,0.169655967561031,0.628906947898724,-0.00643661963792111,0.390625153878053,0.294367984739549,0.464081250694396,0.702363044715068,0.163276646316926,0.309225170240054,0.968000660628768
"FBgn0000042",-0.00551446174280991,-0.0919466810243587,-0.407311680237545,-0.274837412165072,-0.42313213868152,-0.021334920186785,-0.240241407540807,0.369719654209188,-0.0374094890601803,-0.0794763567937208,-0.244610793776351,-0.340286594429484,0.108909416573425,-0.133085289713314,0.536138842330985,0.618984386583021
"FBgn0000043",-0.277404645776367,-0.214435790967357,-0.151446160288026,-0.0314839194463196,-0.245197371819559,-0.3711558573079,-0.428149243340596,-0.096097678952293,-0.0917690951701459,-0.139990157548753,-0.118639933196378,-0.37498303742004,-0.33109055882358,-0.348112199393808,0.258097922650225,0.128312257049744
"FBgn0000044",0.829020978222138,0.231699138684945,1.46172660977984,0.775066403495197,0.655244692959487,0.0225390614017827,0.111877428149235,0.975283201715932,0.120276892345713,0.440293016201364,0.0989078220929995,-0.703731143226347,-0.16874095771178,-0.682362072973634,0.500737646312786,-0.858238189873049
"FBgn0000045",0.322538316311355,-0.0262086992667845,0.0116004448775039,0.0561089751984111,1.87819549338492,2.18913336481877,1.79587781891972,0.266563888506568,0.666657516344412,-0.283992534483773,0.215784297567269,1.00328248170745,1.55383890469779,1.45415570048459,0.0157923959853495,-0.859120615692116
"FBgn0000046",0.327817593708169,0.172868871487333,0.631866242960069,0.638425190942039,0.573190402704103,0.269141753452203,0.107634083249396,0.0890628689124522,-0.284364339127125,0.0842663973819815,0.370273240967464,0.148673547925109,0.15347001945558,-0.505964032169479,0.0815796824569698,-0.342937172322024
"FBgn0000047",1.70437553155633,1.8682348394346,0.445338468600546,-0.590614788664333,-0.86941421825069,0.389622844705093,1.58943540984825,2.18273798557226,0.249849149247979,-0.947286819572432,-0.89721678075315,-1.38936074573829,1.7406640594064,-0.242294815737162,-0.130620248096839,-0.650566775584439
"FBgn0000052",0.218820308352103,0.0890526706287218,0.364303844749627,-0.236397696635269,-0.707296479512436,-0.85278001590996,-0.381846112248446,-0.178325251560473,-0.359351843164503,0.476026990406261,0.0214874736219314,-0.0304901465526286,-0.684842388519363,-0.411329463339063,0.365827321469396,1.0426336544292
"FBgn0000053",0.0299927768710803,-0.0933206417540934,-0.0120976088770502,-0.296528054929587,-0.46624609031284,-0.424155704564709,-0.263038677137346,0.04227232151695,-0.43704886757927,0.352965248780835,-0.0980845753217902,0.064470234123066,-0.246222693140819,-0.274494058134413,0.185583303741,0.716299628176906
"FBgn0000055",-1.06167220010827,-0.293057907993376,0.49740375841559,0.253012924120501,1.1202388800885,-0.438837078435359,0.57416804797462,-1.35709205812412,-0.837930044931165,0.660332974326288,0.570299963354279,1.13059326927152,-0.886831763178891,-0.277636739013928,0.591213515487784,0.601567904670804
"FBgn0000057",-0.0321491409808828,0.0712116734566308,0.157381551011487,0.111192304583875,-0.0522664373939118,-0.241797129386281,-0.0922470685211561,-0.129235249019221,0.164914602168624,0.00851596149371141,0.141869696950445,0.0185233764736061,-0.119227834039327,0.0415682816917858,-0.45110619801558,-0.380316384148062
"FBgn0000061",-0.0760578864494066,0.228294359098944,-0.189378603431826,-0.14997061856315,-0.288806618659176,-0.175485901676757,0.0894583590029173,0.250351911160118,0.0289934693681896,-0.24980882473017,-0.478668743664346,-0.190519600820624,0.309641135069664,0.317142612211912,0.252810424019905,0.351097441858457
"FBgn0000063",-0.2024083943227,0.251438186106703,-0.240510379589315,0.169388402789303,-0.188771557757953,-0.150669572491339,-0.106721774440554,-0.199503021806634,-0.219286613471907,-0.424187108586512,-0.0711336618729375,-0.162024371868757,0.0626597149111209,-0.310177323467727,-0.908241060552909,-0.881493874663713
"FBgn0000064",0.329128880686059,0.22040733890681,1.31219026366095,0.74974581825562,0.77777222479892,-0.205289158175967,0.24843374545011,0.443689112400503,0.280609658960161,0.520124877545801,0.111994164058048,-0.417927117877521,-0.494362883022819,-0.249311622975408,0.634725209154203,-0.560974133522239
"FBgn0000071",0.188862843135934,0.235678204465414,-0.168530166714563,-0.445569925444321,-0.464387134355522,-0.106994124505026,0.216860995554212,0.0692265647093949,-0.327211616240805,-0.1930917098049,-0.580265524884882,-0.147862598419704,0.114455676094591,0.105191310224374,0.339530975358482,0.656055511294301
"FBgn0000075",0.148116717012727,-0.062002002783873,0.239379123427142,0.139956504610807,0.0667812040777011,-0.0244812023367135,-0.135177303316979,0.182595893282725,0.0455952636260066,0.0264518232731299,-0.0959712874573429,-0.264861902902333,-0.108717832892737,-0.123295351818983,0.474016379879708,0.142373272899675
