Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Threshold,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Curve Quality,Result Quality Issues
D12,false,WTM1_10,CoI,Unknown,SYBR,13.261742893031016,0.9606724668104446,2.5894946976660096,Amp,false,23457.245129825355,3,6,79.29541778564453,,,,,
E1,false,WTM1,CoI,Unknown,SYBR,13.842710630320067,0.9741546475537015,2.5879282478193364,Amp,false,23457.245129825355,3,6,78.99407196044922,,,,,
E2,false,WTF1,CoI,Unknown,SYBR,14.418430453882085,0.9625136319290719,2.5809771391386995,Amp,false,23457.245129825355,3,8,79.15509796142578,,,,,
E3,false,GRM1,CoI,Unknown,SYBR,13.689589104509604,0.9830505973356229,2.5793694835896943,Amp,false,23457.245129825355,3,6,79.15824890136719,,,,,
E4,false,GRF1,CoI,Unknown,SYBR,13.52820869044481,0.9709454340823443,2.5724231794992463,Amp,false,23457.245129825355,3,6,79.31930541992188,,,,,
E5,false,WTM2,CoI,Unknown,SYBR,13.969795583075559,0.9909058408145944,2.5762752859019393,Amp,false,23457.245129825355,3,7,79.29353332519531,,,,,
E6,false,WTF2,CoI,Unknown,SYBR,14.444022733405554,0.9747549649722306,2.520404231205633,Amp,false,23457.245129825355,3,7,79.45437622070312,,,,,
E7,false,GRM2,CoI,Unknown,SYBR,14.562310662473436,0.9648211069909007,2.53393016895531,Amp,false,23457.245129825355,3,7,79.30371856689453,,,,,
E8,false,GRF2,CoI,Unknown,SYBR,14.415656921577813,0.9876101693390983,2.567798635427355,Amp,false,23457.245129825355,3,7,79.30371856689453,,,,,
E9,false,WTM3,CoI,Unknown,SYBR,14.628269541301172,0.9832089067659383,2.57049178890694,Amp,false,23457.245129825355,3,8,79.32853698730469,,,,,
E10,false,WTF3,CoI,Unknown,SYBR,14.481600933651336,0.9601960933055909,2.5710373988157147,Amp,false,23457.245129825355,3,7,79.32853698730469,,,,,
E11,false,WTM1_2.5,CoI,Unknown,SYBR,14.965920105769928,0.9766726549334162,2.5918272211148974,Amp,false,23457.245129825355,3,7,79.29541778564453,,,,,
E12,false,WTM1_10,CoI,Unknown,SYBR,13.232091019200396,0.9545034858549751,2.596273393025631,Amp,false,23457.245129825355,3,6,79.29541778564453,,,,,
F1,false,WTM1,CoI,Unknown,SYBR,Undetermined,0,,No Amp,false,23457.245129825355,3,39,74.80732727050781,67.40000915527344,87.3675537109375,92.52046966552734,,
F2,false,WTF1,CoI,Unknown,SYBR,14.47653086947863,0.9666836675355253,2.5820089014909415,Amp,false,23457.245129825355,3,8,79.15509796142578,,,,,
F3,false,GRM1,CoI,Unknown,SYBR,13.39211685975621,0.971798713275606,2.5783219034768217,Amp,false,23457.245129825355,3,6,79.15824890136719,,,,,
F4,false,GRF1,CoI,Unknown,SYBR,13.2300200530348,0.9678603875137661,2.5779944787305626,Amp,false,23457.245129825355,3,7,79.15824890136719,,,,,
F5,false,WTM2,CoI,Unknown,SYBR,13.91178466558761,0.9830446838062333,2.5777512006568095,Amp,false,23457.245129825355,3,7,79.29353332519531,,,,,
F6,false,WTF2,CoI,Unknown,SYBR,14.030284611947934,0.9802584352423164,2.527063268803677,Amp,false,23457.245129825355,3,7,79.29353332519531,,,,,
F7,false,GRM2,CoI,Unknown,SYBR,14.506840592161655,0.9695746893443582,2.555779003656116,Amp,false,23457.245129825355,3,7,79.30371856689453,,,,,
F8,false,GRF2,CoI,Unknown,SYBR,14.84548633944285,0.9788642231755984,2.5079403478934057,Amp,false,23457.245129825355,3,8,79.30371856689453,,,,,
F9,false,WTM3,CoI,Unknown,SYBR,14.572916171783557,0.9726737004483897,2.5720139414009937,Amp,false,23457.245129825355,3,7,79.16740417480469,,,,,
F10,false,WTF3,CoI,Unknown,SYBR,14.839036019312957,0.9521350891815145,2.5797223437909964,Amp,false,23457.245129825355,3,9,79.32853698730469,,,,,
