Genotype,Data,Sample,NMJ,Segment,Boutons,Experiment,IntDen - pMad,CTCF
WT-cr/LoxP,Boutons,4b,7-Jun,5,43,1,,
WT-cr/LoxP,Boutons,5a,7-Jun,5,33,1,,
WT-cr/LoxP,Boutons,5b,7-Jun,5,32,1,,
WT-cr/LoxP,Boutons,6a,7-Jun,5,23,1,,
WT-cr/LoxP,Boutons,6b,7-Jun,5,39,1,,
WT-cr/LoxP,Boutons,1a,7-Jun,5,19,2,,
WT-cr/LoxP,Boutons,1b,7-Jun,5,17,2,,
WT-cr/LoxP,Boutons,2a,7-Jun,5,27,2,,
WT-cr/LoxP,Boutons,2b,7-Jun,5,23,2,,
WT-cr/LoxP,Boutons,3a,7-Jun,5,40,2,,
WT-cr/LoxP,Boutons,3b,7-Jun,5,28,2,,
WT-cr/LoxP,Boutons,4a,7-Jun,5,35,2,,
WT-cr/LoxP,Boutons,4b,7-Jun,5,46,2,,
WT-cr/LoxP,Boutons,5a,7-Jun,5,29,2,,
WT-cr/LoxP,Boutons,5b,7-Jun,5,28,2,,
WT-cr/LoxP,Boutons,6a,7-Jun,5,38,2,,
WT-cr/LoxP,Boutons,6b,7-Jun,5,47,2,,
WT-cr/LoxP,Boutons,1a,7-Jun,6,22,1,,
WT-cr/LoxP,Boutons,1b,7-Jun,6,22,1,,
WT-cr/LoxP,Boutons,2a,7-Jun,6,32,1,,
WT-cr/LoxP,Boutons,2b,7-Jun,6,26,1,,
WT-cr/LoxP,Boutons,3a,7-Jun,6,32,1,,
WT-cr/LoxP,Boutons,3b,7-Jun,6,21,1,,
WT-cr/LoxP,Boutons,4a,7-Jun,6,20,1,,
WT-cr/LoxP,Boutons,4b,7-Jun,6,32,1,,
WT-cr/LoxP,Boutons,5a,7-Jun,6,13,1,,
WT-cr/LoxP,Boutons,5b,7-Jun,6,20,1,,
WT-cr/LoxP,Boutons,6a,7-Jun,6,12,1,,
WT-cr/LoxP,Boutons,6b,7-Jun,6,18,1,,
WT-cr/LoxP,Boutons,1a,7-Jun,6,18,2,,
WT-cr/LoxP,Boutons,1b,7-Jun,6,42,2,,
