"","filter","A1","A2","A3","A4","B1","B2","B3","B4","C1","C2","C3","C4","D1","D2","D3","D4","E1","E2","E3","E4","F1","F2","F3","F4"
"deoxycarnitine+",196854745.13,256476711,248608012.2,180355592.3,202823109.1,297527996.3,272465437,395208770.3,269472234.5,309298391,186839010.9,294422731,338290401.3,74932244.71,85700835.09,91745040.29,68666425.85,96313724.5,93054069.41,110269922.5,46149846.41,43198185.44,53851151.25,49468663.16,66663015.58
"deoxycytidine",210102.54315,82733.48875,340491.976,62518.53647,442320.0866,133554.15,341356.0771,251232.1691,344959.5071,508734.8379,682269.1966,100541.8939,369483.6623,373283.7922,330106.02,392452.3716,289998.4971,285657.057,459027.1067,612099.2178,111230.8516,191880.6866,268078.2791,563486.7153,469182.3847
"deoxyguanosine",13296995.49462,72157.67038,72157.67038,72157.67038,72157.67038,72157.67038,72157.67038,72157.67038,72157.67038,1330889.597,72157.67038,360788.3519,72157.67038,12488041.8,15535353.53,13894245.49,15870142.51,11619774.21,15447973.74,13194122.39,4960177.602,7570910.424,11842039.68,18310704.86,18220877.71
"deoxyinosine",9480661.289975,21240.16108,291252.0054,142999.6473,454965.7241,233703.7621,250535.56,231504.5839,304123.7662,175057.0887,282710.0934,106200.8054,277513.5755,10246968.09,14408756.29,10618167.6,12720043.87,7133981.678,9553662.504,7731644.679,3916164.174,2987704.733,5453461.09,10898893.33,11610989.62
"deoxyuridine",114506.732675,612718.3917,106854.3157,42191.62112,73180.79588,4295.065096,22306.06698,37516.82601,26544.38635,137045.6885,38927.32885,1159589.752,136232.2759,37907.89673,148626.4055,21475.32548,102143.5174,41941.96929,4295.065096,163388.2304,3735005.694,853546.5108,273346.2489,54681.65201,138955.0702
"D-erythrose-4-phosphate",2583255.5095,1286499.501,6262083.328,3962681.084,5367249.915,7297401.54,8367639.228,10618417.14,8032443.17,21709032.61,5874368.026,9409298.832,9420373.302,6725142.146,8605839.395,9086314.964,6840002.146,5752630.963,7522700.191,7117479.054,1619483.001,3015349.63,7814383.409,6702771.09,6090970.583
"D-galactonic acid / D-gluconic acid",6193085968.5,12975519032,17254155505,7720921592,14923087115,10510239898,17288171376,15789227644,17133678738,26503703121,22760505946,12143769466,19332385256,16967044412,15353364005,20918111243,17687251119,15867424176,17686094931,22482320491,8952017609,14142684712,21040301079,25697469041,20929956202
"D-galactosamine/glucosamine-1/6-phosphate",8312348.0275,8857745.465,28952413.25,20613479,24248323.41,28049493.22,34947699.5,38035168.72,32947373.41,45744352.9,22431192.26,31329860.61,31969515.33,26712593.17,36561043.39,33034438.45,32189249.81,24792947.72,31084715.32,27137893.87,8784465.738,18310331.6,34479618.03,30297934.96,31562108.71
"D-glucuronolactone",1616352.923,2156796.39,19553786.49,2795428.323,4441405.382,3680231.932,3413348.188,5191474.96,2781321.573,12423907.47,5345030.796,4162478.619,6227689.072,5075279.162,6231396.381,7168559.18,4656467.255,3305621.54,4829322.721,4588813.579,4043202.126,2113626.981,4165045.48,5062227.317,3772707.527
"dihydroorotate",889525.591225,167874.7222,362504.9454,215416.3304,870257.4412,314108.7712,384132.6509,559890.0923,686858.9573,1090877.566,610692.7593,819035.9647,972622.114,1194781.662,1488660.277,1699848.694,1742680.825,3091056.097,877495.4847,1589934.047,437980.846,355350.3268,250966.481,1873690.764,555970.8036
"dimethylglycine",14864581.995,25993409.17,28991440.84,28856250.88,31441937.47,40842193.63,43514646.05,45729108.21,39342991.63,51060254.4,25456137.24,55532251.46,43316631.74,31966548.95,51561627.57,39200492.61,32959581.37,27437460.65,33464786.55,49852556.81,19256614.77,19593100.97,30468717.21,30175343.43,27134276.93
"DL-DOPA",77359644.3,32301115.5,197025329.1,81914099.18,315471051.5,265342748.8,304202138.2,263718304.9,337745155,181788055.6,283539300.8,305026320.5,300933151,299660468.3,353414473.6,338590218.3,632515277.1,403124573.7,326405253,278618500.3,363014321.4,306392898.5,233061697.6,468190933.2,438904135.4
"dopamine",3845204.0445,383210.7608,4803770.069,1971878.033,7625630.203,1916053.804,2455003.693,2156497.278,6090414.77,3485420.235,5776746.412,2684558.091,6119306.086,5916480.385,8039491.92,5512020.764,7218386.345,2928787.61,11680693.4,11488459.46,2467778.714,2575903.237,2816947.9,9070870.917,4797194.873
"D-ribose-1/5-phosphate / D-ribulose 5-phosphate",7951845.6675,5288873.979,23737497.88,10294804.95,15951886.19,17172728.32,22029601.8,24765853.33,23126132.43,24965039.68,15354628.79,15034594.01,20614863.51,16964787.24,17867302.78,19925662.79,22665050.92,12571959.99,15228459.16,9916033.375,4080432.847,9522443.829,14511202.81,13316268.44,13164949.89
"D-sedoheptulose",10965695.47,21327917.83,40712785.79,21281556.51,40046040.74,37980022.21,43222487.86,47898023.21,44722968.13,46992398.31,45857551.43,24971361.95,40993071.87,48180535.04,44847511.98,50094504.29,50905564.93,34071756.16,40368735.06,45297419.3,17630597.08,33936797.94,62850696.02,69019064.2,65073850.22
"D-sedoheptulose-7-phosphate",28397195.8275,15888981.23,76207083.22,33656220.85,67392591.56,56052923.71,72296429.36,92150976.28,80113039,147589921.2,74157345.89,75932810.43,99384405.46,57740941.15,65950360.78,87536426.59,71989584.91,40059873.2,61577195.89,60243997.73,20171934.28,49521397.1,104209616.6,85109367.96,94082931.17
"dTMP",262997.07535,217965.2785,216586.1431,198558.614,316587.4285,359224.9962,567510.3636,556525.6568,698490.3327,660456.4006,440988.5413,401647.1746,131959.1994,481287.1775,565402.8935,455860.6535,468356.2596,596173.096,530606.4241,542431.4098,161768.0996,336776.1772,464900.2242,233229.277,689247.9795
"epinephrine / normetanephrine",2935668.9235,12731533.6,12134827.13,12871322.84,11186185.76,16022886.05,11586287.42,12130299.4,9793930.231,13999103.72,11032167.19,8403261.467,9360274.029,13099505.86,11906040.54,11524414.72,9373665.215,13268329.35,12996613.64,11969336.44,5865553.13,8382436.763,9843105.905,11880017.42,9896257.533
"ethyl acetate",4810636.23625,4187842.581,20534391.21,1762900.67,3909817.517,7348125.63,3458339.898,8807205.543,5835998.154,16052218.4,2009578.764,4804876.418,20024834.88,5176222.047,26150979.29,5227544.195,15553442.06,2368463.587,5511626.626,5626890.714,9196166.649,2680860.937,4595780.258,4155140.272,8100966.692
"F-1,6/2,6-DP",914235.93855,2532123.802,1768645.306,609056.2085,682792.1899,2941489.329,1552416.293,1002726.785,717377.1381,7698368.104,1222900.13,851176.5193,1150334.422,2892390.568,1283075.772,800285.2772,547846.123,1796381.774,858810.6787,695386.0803,199224.5807,1161807.22,731120.4408,526487.3199,473124.4602
"F1P",1961202.488225,434828.7331,751617.3269,694113.9214,78283.26572,642055.318,520381.6807,1449347.585,856365.6544,1104202.586,902416.7925,1070525.264,1439458.756,2985342.322,2642640.739,2930761.049,3356662.395,2431154.193,2865853.638,3381226.489,1273855.411,1559698.072,2483948.251,4064328.325,83070.20299
"F6P / G1P / G6P",315005451.4,230733488.5,1063232113,642391838.7,927120669.9,1077058942,1304765473,1614768128,1253682957,2643977005,997324371.9,1278739909,1457822056,1041698452,1351991522,1379920576,1064348085,880419889.5,1240416053,997069526.5,250528412.4,561707786.9,1291195194,1047276658,1103956696
"FAD",873045.342,3850997.67,4631648.621,2154985.336,4281850.043,4550415.566,5100585.591,5257043.606,5091527.001,5042290.825,3164185.102,5220794.116,4667192.157,4934832.979,5944837.303,5280828.355,5058446.792,4473779.745,4037435.097,4873129.754,1935249.617,2228535.395,4351631.678,4410433.768,5257228.15
"FMN",385296.473225,466619.5463,985918.5929,497204.1875,560095.451,652846.5307,942175.6307,737067.0142,838267.4899,728536.6679,575132.4137,669105.3233,699175.5139,247413.9259,399081.5897,529386.5466,412649.3004,838891.3625,951525.0996,293800.6126,82041.79564,343229.4911,590398.6078,957778.5799,1122377.369
"fructose / mannose",1207057687.75,2590409230,4781811488,3047745143,4943565031,3396048281,4404101159,4372641498,4484518980,5803470173,6161124718,2634532380,4896620465,3801551385,4604149101,4673523436,4081377331,4939071792,4148644254,5163847533,1577487793,2615287632,4896529388,5535362794,4656470907
"fumaric acid",9084612.155,20809236.19,17753626.63,20175412.89,18506547.09,28820928.34,33935066.25,25368727.7,28908449.36,17046688.74,7682874.964,33530714.53,21200888.72,23171042.85,45722716.32,37960407.94,42629475.23,21568562.92,23870692.35,21604897.07,17903618.97,23511818.57,20458801.91,11374920.52,25660227.89
"GABA",34043381.2,119018697.5,186011091.9,138010963.7,165407895.9,136617083,152968997.2,183331717.5,177903744.9,160885029.3,156188963.2,179833261.8,182433736.4,143281776.5,266812718.5,144696398.4,164121484.1,160734062.5,157191360.1,316969111.5,127269270.6,97174824.87,155797491.4,145357266.1,162379873.6
"galactosamine / glucosamine / mannosamine",7790188.7025,22710840.06,30393923.98,24502860.59,46466208.05,24033392.21,25749239.17,33426415.11,32831130.5,35309509.38,32918520.79,27866622.82,36670696.77,23023501.06,28932067.36,26048932.32,36198949.03,32762870.72,29465775.2,31453663.29,50081980.72,26126355.86,28344956.4,32094556.86,38511170.55
"galactose / glucose",1224686732,2044039181,4622860759,3306429169,5367623935,3853341253,4261625198,4566951506,4384296995,4711153945,5115507140,3378132557,4958085029,4535234481,5908931174,4762627540,5542896292,6023885470,6016844881,5369049756,3191632425,3713090808,5429814507,5202494947,6019581834
"GalNAC / GlcNAC",452779.699,1874459.802,2269245.836,1985258.81,2007588.27,2322289.919,1518452.305,1952704.418,1259516.356,2000716.814,2006196.383,1559591.908,1739857.616,1337621.517,2043162.401,1518182.549,1961832.906,1260571.999,1994607.538,1632000.016,2702613.602,1815845.183,1823152.286,1466522.049,1603063.671
"GAP / DHAP",2201017.28825,3194833.953,9202503.586,2749819.72,6183084.718,4595956.645,4278394.019,5998268.241,5555282.782,10073234.94,3628669.656,4316427.118,8017469.926,5293718.322,7046761.6,6052090.42,6630300.422,5140336.935,6961947.368,3517521.041,1503834.477,2637845.081,5636737.214,4420503.86,6212540.148
"GDP",611038.73375,1023361.157,2347188.821,1181939.928,1986750.029,2086421.11,2808840.004,2444299.881,2559965.136,8097609.048,1020226.359,3028091.615,2929730.765,2174536.972,2381974.134,2492011.05,2952951.502,1965219.4,2689729.014,2134105.446,1255532.462,1621999.908,2380125.298,2109288.619,2478603.722
"GDP-L-fucose",111003.9637875,47160.61562,136162.1469,94971.53014,119956.0899,239646.209,237202.7898,266597.5198,217421.3432,539685.0533,64192.05107,126722.686,206783.0801,166277.8911,122840.1659,205581.955,94598.49953,127797.4966,141988.0729,153561.0123,16119.99487,77243.23572,140872.9985,68484.02828,128721.3371
"glucono-lactone",521516014.4,431322105.3,938288070.3,356839626.1,965076880.2,149181906.7,518839333.3,635348326.5,923447271.9,1293724989,1792613465,105708220,685091367.5,540463123.3,411553272.3,929573951.8,656537943.5,356727296.3,925277078,1230320880,254166205.3,406286051.2,876890998.5,1596721216,884022963.9
"glutaconic acid",338053777.825,283881618.3,620903154.5,259418062.9,656445602.7,110010594.6,342690464.6,426899108.1,605474032,751330733.4,1149600781,80641836.4,460868763.5,365706745.3,290960282.2,621851388.9,409107347.1,260216751.4,605834652.5,807222922.7,185043863.1,280700886.2,607400872.3,1076229121,582505654.3
"glutamate",680144724.5,1024648227,1687991037,1278919096,1489176614,2053430008,2352140139,1932485944,2006114352,2660421603,1214516116,2490436654,2190701576,1699219198,2148705751,1729684710,1785813862,1379973243,1447277249,1866992476,646528930.4,975875692.5,1333463204,1339243654,1525619210
"glutamine",2193109027,4503265465,5840108640,4934089612,5301289877,5843515451,6004626411,5962452706,5921376915,5112738777,5483824948,5380182084,5734346280,9213260340,10128488814,9240479198,10256868041,7800245277,7471342320,8781744642,4628607338,4480809665,6521456432,7346957810,7275997952
"glutathione",59625584.825,102094839.4,124115907.2,154109885.1,98028857.3,96885091.8,147584303.8,160766682.1,189657252.3,182363147.2,120458744.4,100051933.4,143865084.6,149403158.2,158120660.7,177505727.6,195621838.7,132854633.9,175182958.8,201276223.8,48857122.83,115001757.5,212208972.8,171492760,189115470.1
"glutathione disulfide",23484078.93,36366765.41,60769673.02,42774277.54,42803159.68,61306973.78,66921644.69,81671514.12,39886040.79,92608290.96,39046003.8,55923822.5,68034241.07,59315432.89,74030226.06,58670109.75,29517754.41,35266344.02,56928402.4,65353127.52,17613220.48,25671462.71,47868311.43,43153395.75,62429104.79
"glyceraldehyde",374303241.3,456498532.7,1120404834,603049708,866436403.6,916059212.4,1135283330,1022010027,773076158,713046067.2,906070977,2578540210,904019554.8,1296890142,1363307312,1180133478,1028764441,1225387873,1166103092,1350812115,1166295264,1274185103,2877683314,1336374509,951221714.4
"glyceric acid",7996257.6025,8753812.895,23373995.99,17375800.65,30249063.64,17283076.98,25031609.43,31468250.55,28580401.47,27005687.46,22056487.41,13619865.26,23704393.22,18649767.37,20739101.08,24031687.58,27244373.26,22369096.85,21972169.65,25225143.58,7234203.373,10123553.61,12681096.68,16485710.52,21607373.05
"glycerol 2/3-phosphate",82065136.775,89097767.58,301591462.6,201740296.3,239079833.9,255331427.4,253752229.6,374476510.8,366700059.3,280447652.3,213634581.9,265794979,278926215,232713885.2,254017416.9,245774862.6,278622356.7,276808887.7,242269276.6,192253102,90024519.29,158314992.6,169338336,187777566.9,196178456.9
"glycine",111415341.9,353245321.2,427140800.7,271257962.5,454589017.9,395677693.6,376029446.5,397148214.4,387242254,378289855.1,409468442,392639244.7,388873429.6,548238580.3,574532815,485364267.7,507691759.3,493626763.3,509253590.6,522610313.4,390747644.3,342789472.3,425066085.9,497277383.7,514513392.1
"glycylglycine",4052858.4918,2651051.411,4944709.666,2809495.197,360277.7866,3320660.231,4490828.7,122034.8119,5020236.372,4752634.365,209677.3932,4672316.867,106708.2276,3768338.947,170616.1309,4286388.979,306025.5648,4543657.861,270105.4824,3756230.463,2563314.22,2961124.94,216063.411,289485.3958,4236879.608
"glyoxylic acid",1103304.8565,552347.0612,3035184.785,2431392.41,3090236.716,1788020.868,1506340.255,2500440.938,1948289.728,1336246.587,3828863.144,2303895.444,3089240.989,2984118.758,3151188.466,2750658.784,4138997.725,1798408.029,3916533.408,3961549.569,2523694.243,2125198.536,2680146.642,3936986.329,3283539.364
"GMP",15915089.28,17153885.13,60983199.9,32126280.66,56478486.8,53298472.87,64267781.31,76176302.78,66857565.24,92245230.61,65042040.14,56032071,67897382.59,62063692.05,71388186.31,67334579.94,65162272.98,75328466.35,93571302.83,89081294.18,22018543.39,66276912.25,75637380.28,77836837.72,85227339.87
"GTP",33928.45501,22169.41575,18792.4302,1512.2590514,17626.9698,1512.2590514,20871.33124,36894.45712,11370.04099,472970.7757,10524.57706,97231.31713,53441.08591,70513.32133,13550.48617,1512.2590514,74556.79405,25714.84895,30085.41618,13929.76253,7561.295257,47383.51136,36107.72081,45980.79558,12747.34569
"guanidine",16112482.4475,45142804.31,29446328.98,5689741.561,13399552.23,30512315.39,23047848.62,10725172.7,17178921.82,8573809.01,8219954.797,32705897.37,20234093.84,30289306.73,10629284.09,8434268.365,17821634.3,6658337.658,38853908.47,9490160.331,5697180.032,3942469.052,8568558.895,14766172.28,10185182.88
"guanine",21989363.97575,932586.0855,1850242.833,1275743.189,2019837.467,1372374.371,1552732.658,1625632.313,1993706.556,2788179.65,4297263.829,805136.5977,1275546.875,23264468.06,24593681.32,24711833.02,26668407.95,19902168.48,26211726.27,22597199.53,8588213.748,12180820.16,18324942.59,33370236.16,29338707.97
"guanosine",122953481.25,92296122.16,185197202.8,79249827.19,215894287.9,215107596.5,228280284.8,196033985,205674075,150155463.5,174409261.3,130110723.1,180120036.1,297680701.2,313541191,275466435.9,292873781,454754122.6,538360784.3,407443914.8,162379545.5,239770842.3,249979649,368417745.5,464626869.5
"histamine",27774478.5325,13771797.94,36126707.28,43295605.22,60346714.97,55751856.28,49789451.71,112808348.1,68913908.3,34265999.65,58142308.13,37851607.67,42491132.75,27080446.63,27975401.89,111223299.7,41656946.61,90620699.88,30817784.06,27599250.82,40864788.61,21685286.35,28774853.65,33060554.1,27371029.72
"histidine",1677352884,2383395090,4505348688,3969972564,4519532200,5432696345,6066462473,5786972877,5302952814,4882752647,3999861982,6663179087,5176781302,3395497614,4398538343,3395974786,3904727929,3164944828,3334931762,3432117774,1373854278,2338300104,3041450670,2829132083,3316894293
"homocysteine",0,6582.541358,6582.541358,6582.541358,6582.541358,6582.541358,6582.541358,6582.541358,6582.541358,6582.541358,6582.541358,41338.2628,6582.541358,6582.541358,6582.541358,6582.541358,6582.541358,6582.541358,6582.541358,6582.541358,6582.541358,6582.541358,6582.541358,6582.541358,32912.70679
"homogentisic acid",33241368.0675,14674802.88,41639211.69,40955749.55,59084472.92,44227897.72,66596218.89,51403607.28,70358447.23,112612963.3,111795327.4,32036143.88,91821805.06,55477950.09,46617517.51,72621886.1,80973198.59,28634607.89,63092233.89,53035556.45,31311910.6,36124565.3,42766531.78,103151877.2,90759213.28
"homoserine / threonine / allothreonine",426884096.825,433261318.5,498009579.9,506102662.9,573177138.6,542040240.6,433653369.8,558361119.5,473691475.4,426723116.1,464473575.8,567513661.1,478415202.2,1313034852,1510684515,1185393655,1196651481,910803246.7,947570589.1,963562477.2,842643089.4,596657714.6,568293042.8,758686798.3,892579145.9
"hydroxyphenyllactic acid / HVA",9436225.439,329177.0762,3768151.649,2994671.525,7636220.499,3074434.063,1645885.381,4334435.301,2808520.783,2833134.806,3460727.694,329177.0762,3906140.512,6255991.997,9749519.488,7474761.841,13003239.73,13622243.22,21766988.3,14054627.68,12319878.58,4846965.381,4960827.007,15239464.57,14919102.3
"hypoxanthine",163525949.5,88301211,444234200.4,272199231.7,560408231.3,315821753.9,322824689.5,588739903.9,476777968.6,385457479.5,765692066.8,182585929.3,488644126.3,275511111.8,308456642.1,296179638.8,306001680.2,273010843.5,231379934.9,238374302,147742977.8,64489496.88,138549287,315800136.5,267022222.9
"IDP",30833.5708588,1284.9944162,1284.9944162,1284.9944162,11364.11533,1284.9944162,35722.47936,1284.9944162,1284.9944162,104483.912,1284.9944162,29450.52801,77967.67942,38627.79611,1284.9944162,22823.92547,1284.9944162,73916.73044,1284.9944162,14904.96784,6750.15656,6424.972081,35365.62081,31036.21343,23169.12943
"imidazole-4-acetate",6029610.64575,6621573.618,13247836.94,7049700.213,17516357.25,11854959.75,13525824.02,12928803.15,9843206.951,16797580.43,17518263.12,9249233.185,11092305.48,5289203.367,7087284.399,11198486.13,13692709.56,9740682.398,7688151.546,8580371.555,4531805.8,7070605.074,15678456.41,16562976.2,12274608.13
"IMP",10431778.9625,9149147.007,38803770.24,30275522.66,33708943.32,50479903.16,54754821.81,49500317.32,57047978.94,48866572.31,41428225.74,43875576.35,45557370.11,55699510.47,51262720.74,40985654.1,50634153.18,43218432.74,39390115.22,39083393.61,11751478.45,39461770.53,40934041.73,42953333.73,42410125.81
"inosine",639038193.7,198710060.7,753353842.8,393293332.9,895419630.5,635753513.2,683789773.2,774748761.5,844287164.1,673692606.6,856881815.2,399965338.5,792204261.6,1165323941,1323663087,1176730028,1321659583,1358500329,1568653927,1319851706,497818098.6,749910431.6,859233658.8,1341525657,1574137159
"isonictinic acid",13561035.56325,9154391.224,48217455.55,9268707.927,25092400.32,14466732.14,14394201.04,30238051.85,18401866.47,24134710.88,32691089.86,18375212.95,44613391.61,4957721.575,42908094.56,9223027.834,12021594.1,8154872.125,12463017.37,11327894.26,11955716.1,5547011.671,14251100.83,13939036.28,12215648.86
"itaconic acid",8573380.1475,9031204.494,25464021.92,12615415.19,40413893.56,24037649.59,29716799.11,28277274.69,35916387.57,24723228.4,29217217.64,29166515.46,30733477.63,29382453.29,43487776.23,33716792.04,49335389.95,23125092.43,23429022.87,25592699.53,19728609.42,20365757.26,28333072.66,46103427.81,32039566.73
"kynurenic acid",34487756.185,62229158.34,113282584.5,57574449.2,173822430.5,36869294.29,30691989.52,41325006.99,35784991.67,54902985.54,65657287.25,21275958.04,49161957.55,17505060.25,19971016.89,19044523.46,25998878.09,44202941.36,53031232.26,31964616.98,16783880.41,13848533.86,20504506.96,106133593.3,48295751.04
"kynurenine",21218786.6,40558004.9,114670155.4,30072924.36,94202108.6,20824446.93,17034038.41,15097710.77,23251977.35,17345681.4,34225800.22,8613148.401,13936834.25,12961718.3,33045779.46,36790322.17,19321192.06,35771596.93,40029367.92,34608701.65,13919444.21,6732291.066,9721051.144,47888842.77,23262323.14
"lactic acid",2847576478.75,6910692175,14730108543,9372940909,16293579379,11901528711,12803142925,16389919804,15055084487,12420430287,17385460860,7287728324,14229478925,12574999497,13261848005,13371411862,13571664353,13104021652,14246190487,13652526103,5899250190,7535686613,9839735214,13969615810,12880590980
"lactose / maltose / sucrose",204040111.3,222615022.1,563220368.5,418238068.2,668696747.8,594765877,564451415.3,732322600.4,615624016.1,773127237.2,486414338.9,729364878.6,657229929.5,741880587.7,846345692.7,731120155.1,853642671.8,709448436.9,766535940.8,822714267.1,246973257.1,504313057.9,751000392,906403409.5,809262762.1
"L-arginino-succinate",11974504.9225,6001579.499,22928461.8,12573869.71,19230663.19,22101728.22,31296244.68,34485175.22,27839930.37,40157991.37,11580846.77,24778063,22251188.97,23812334.58,25895999.47,25190570.85,25125101.72,12603297.14,18151671.08,13354853.06,3637049.915,7919442.768,21015332.36,13641871.82,21272645.5
"L-cysteic acid",3287.120486,3287.120486,87551.60357,3287.120486,3287.120486,3287.120486,3287.120486,127641.8821,3287.120486,103670.1229,3287.120486,3287.120486,51278.13697,3287.120486,65344.71618,3287.120486,3287.120486,3287.120486,3287.120486,3287.120486,16435.60243,3287.120486,3287.120486,3287.120486,3287.120486
"leucine / leucine(iso) / norleucine",1091420530.75,2554603341,5720533810,3129914335,6448464498,5806871127,5370754028,6123284376,5860529177,5370073137,6894365028,3807335854,5912419208,5402070335,6284828958,5444184924,5523451926,5259327864,6087112944,6284386830,2278036124,3063597293,4240957493,5921292487,6206715647
"L-NMMA",2375493.544,2829279.254,6544468.107,2126897.156,6009358.303,3774754.747,3877389.323,7609176.071,4717740.169,15065293.37,5051417.434,4788089.956,10405992.19,3732795.847,9409590.735,4889162.075,5232444.981,4185434.106,5181470.393,6837025.128,3649909.164,3961202.34,5846086.669,5277015.311,6239500.804
"L-tyrosine methyl ester",6215129.31,6334226.856,9285990.33,11604152.6,21207879.82,8843535.088,7746966.847,10472268.79,14300030.32,8836472.977,15817068.76,8703225.211,13195633.15,7442561.631,12229917.03,16515686.91,26183618.85,6395035.278,7068091.605,10340579.87,13058240.44,6035844.787,11674048.12,16115818.32,23034322.42
"lysine",415234771.975,742164886.7,1063905868,502617743.1,875320033.9,671943074.6,862022077.9,1111989542,906283375.6,3197084020,1072517263,823953685.6,1349463592,1253903681,1362331028,1398548125,1323235409,1044117921,1036314709,1313871775,903323837.6,707709687.9,828577496.4,1073418591,1011675903
"maleic acid",852435.52725,1793372.607,2852786.14,1222492.331,1996986.81,1574757.717,1159642.392,1788286.777,1842050.989,2017884.844,2642901.353,894229.0254,1627513.061,1427908.846,1205333.964,2131731.861,2216261.871,869320.9583,1495988.03,1097620.77,1229881.374,1053087.342,828268.643,2201151.189,2353982.695
"malic acid",398279834.45,186088382.6,215076165.4,670299177.8,205688212.3,468487548,727599884,663204452.4,596583755.4,439817700.5,88977186.73,1155803123,496945546.2,656185324.8,1653741106,1421369272,1534606561,296909942.8,444411545.7,749035692.9,182971476.4,282817453.8,392677177.8,287520208.6,570605034.4
"malonic acid",50122213.0275,21639979.65,73308650.19,52551967.17,75182834.38,26426734.66,89879875.09,117984790,119051772.5,104113448.7,97093714.76,48612808.97,49097833.2,56259785.1,43861298.1,98907432.84,69526493.09,35906613.37,152495798.8,83969099.07,43747915.89,23672749.58,63771973.2,116431608.4,66792983.76
"malonyl-CoA",0,21473.45924,4294.691848,4294.691848,4294.691848,4294.691848,4294.691848,4294.691848,31086.18868,4294.691848,4294.691848,4294.691848,4294.691848,4294.691848,4294.691848,4294.691848,4294.691848,4294.691848,4294.691848,4294.691848,4294.691848,4294.691848,4294.691848,4294.691848,4294.691848
"ManNAC",1350573.8615,1569604.983,3409059.539,2273418.595,3164559.187,2339313.974,2942072.363,3668255.745,3411546.944,3736987.878,4081359.173,1526152.559,2335264.867,2659883.626,6306836.176,9558464.055,2278035.221,3304484.409,3614046.515,3931868.323,2333665.066,1795331.523,2890267.563,3388302.315,4421627.252
"mesaconic acid",284580586.75,808882664.1,1167142767,989232641.5,1125947881,1015364818,1071043197,1664420329,1189880681,1440616003,1251326003,1349634952,1365146374,1047713198,1322921916,1338586580,1180880772,934294338.9,1294523166,1151604107,517793239,666156243.8,1328061011,1143109905,1074303117
"methionine",405061470.5,596360017.9,1253283951,848793547.8,1448455759,1515563799,1669952410,1767052329,1494941838,2326840654,2404016345,1060356277,2269764491,1478352935,1600171148,1721999966,1542599774,1309484423,1523242039,1936161519,778974703.8,1080948921,1292014970,1288900050,1672743339
"methyl acetoacetate",4954948.39125,4248768.031,11240385.99,5897554.736,8662689.657,4502944.767,4101088.813,12271274.56,7717567.65,6533493.179,12181514.67,11312853.8,11160261.48,5279010.795,11763084.12,5941386.388,10289602.16,11423098.09,6892497.315,6870047.867,9166381.905,10552367.07,14327332.83,12004500.1,10064364.35
"methylglyoxal",1803261.55568,2606174.206,4913073.638,108394.60232,2004404.83,108394.60232,108394.60232,108394.60232,1383772.119,108394.60232,3319503.403,108394.60232,2862225.877,108394.60232,108394.60232,108394.60232,1880739.934,812951.0896,108394.60232,108394.60232,108394.60232,1562383.03,541973.0116,2735545.485,1153296.631
"methylmalonic acid",4748168.4575,15384862.69,22560753.94,17664448.21,23385591.37,21734870.51,21630055.11,22845004.84,23491062.18,27415135.99,25944135.97,17325578.8,23725791.16,27747780.99,25898289.88,27386501.78,27746187.32,22831689.27,22691499.42,24651822.41,3385826.612,14642013.1,28343061.06,30495227.82,26146946.23
"mevalonic acid",59471712.0225,8381614.788,156730255,21793348.97,41754332.1,41975949.83,14707921.35,74736642.73,30728311.28,99942170.83,54056923.18,7010215.487,146052394.7,9140779.913,108677754.7,19243708.29,70290408.54,50217448.19,89625234.35,126136310.5,44932154.7,6916439.878,28134606.25,18217189.58,27571004.58
"N1/N8-acetylspermidine",3384449.1595,227025.4596,6660522.569,8266195.518,7180408.663,9547498.619,9735084.156,4129555.521,7594740.798,7780632.319,12819082.81,10563435.36,7905113.477,121704221.3,17057335.84,8523807.423,15195837.83,20971657.85,6936660.957,5340061.001,5619329.232,6913083.336,6754299.705,6249323.483,5863869.428
"N1-acetylspermine",2516208.326415,14410212.91,2552861.415,339498.1439,92098.9724,13963912,1616339.707,103488.5847,60384.68209,7109540.023,896008.7892,31447.19202,17419.32258,6368755.878,527908.3107,81570.01609,7245.301556,4910222.42,209064.5672,9968.897968,40838.64707,2628241.754,282711.4304,28909.85261,65514.41713
"N-acetylaspartic acid",86194558.7,140250153.9,187453404.4,91231668.1,171843636.2,225635865.1,248239663,263950136.2,239623393.4,261585287.2,158290859.5,220370741.1,190818262.8,203182175.7,221941180.2,205157913.5,180459374.1,124366655.2,130350806.2,142449503.7,60224417.12,88649768.95,130333387.3,135974787.5,144604246.1
"N-acetyl-b-alanine",24320936.7325,29141494.85,65117218.08,36583051.28,77538451,53519892.27,55442039.79,46728909.28,47960946.19,79767627.05,82010501.45,29858824.94,65112930.82,23149851.66,24463672.93,31424466.46,28314429.44,40286175.3,44179017.19,48489055.95,11985318.4,19945819.42,35772874.23,45472089.21,41644050.17
"N-acetyl-DL-alanine",8694382.385,5584400.494,24442884.26,31209546.61,31388970.82,15462770.16,14738606.61,17523404.9,16550783,17868028.9,23820520.79,31420500.54,30173245.35,12383224.02,21664933.98,51152366.21,15839623.72,19490806.55,22598063.05,20537672.57,8063104.165,6801090.283,12596223.46,21791813.97,17821092.08
