"","A1","A2","A3","A4","B1","B2","B3","B4","C1","C2","C3","C4","D1","D2","D3","D4","E1","E2","E3","E4","F1","F2","F3","F4"
"Label","A","A","A","A","B","B","B","B","C","C","C","C","D","D","D","D","E","E","E","E","F","F","F","F"
"acetylcarnitine+","1.137932e+12","6.778047e+11","5.451301e+11","5.168334e+11","8.538148e+11","6.306086e+11","6.281886e+11","5.582136e+11","5.185310e+11","4.768071e+11","5.670272e+11","5.508082e+11","4.584373e+11","4.262468e+11","4.293554e+11","3.491706e+11","4.725601e+11","2.719376e+11","5.390456e+11","2.636096e+11","3.150557e+11","3.051814e+11","3.818442e+11","3.100955e+11"
"acetylcholine+"," 37659468270"," 55638933512","129524431652","109307923021","216834222237","120691674873","231657291144","237990206672"," 66489773533"," 78653065592"," 37731598536"," 63455373553"," 45619850125"," 54381252454","115508990662"," 59314640004","397428284479"," 43992035408"," 49931218627","260392389595"," 25842001429"," 34048244049"," 48168952824"," 41666938204"
"aconitic acid","195107329100","175176694742","123169988862","128472902038","129701274012","208419857837","125723764018","130723633105","177925663629","152426100927","153286109978","175348697954","125724670733","194364634629","210279973220","145064834913","129078232310","158745902474","237947605395"," 76701214022","133998185020","243225605682","231100730656","176463623787"
"acrylic acid","172137729900","268070805422","281299370357","321432074027","247130439537","234552930868","242481375740","266266878684","246467528098","260338605036","223652784947","281361123298","306719452763","320021548893","289726582908","355193956279","418835559334","323074469727","333865492350","352935130800","305821366738","352397652368","322104818539","354453166658"
"adenine"," 66686761630","129506829049"," 68932540098","140239609391"," 78271036719"," 86903833906"," 82047679613","129711734046"," 76070038670","101340512415"," 23819598633"," 97566182421"," 93796746935","101257477818","121124494740","117770206493","154287320362","158257405047","166410564536","168917623125"," 61169113332"," 77365437176","126550354481","152251439947"
"adenosine","6.188870e+11","1.186730e+12","5.412504e+11","1.038886e+12","9.064563e+11","9.633934e+11","6.501464e+11","1.070717e+12","6.889618e+11","8.283625e+11","2.616833e+11","9.548073e+11","6.869315e+11","7.513092e+11","7.201151e+11","8.889259e+11","1.000438e+12","8.507708e+11","7.577351e+11","5.135591e+11","3.490907e+11","4.909063e+11","7.410925e+11","9.157075e+11"
"adenylosuccinate"," 218420169"," 565332034"," 466103992"," 386821345"," 586901538","1019702690","1006982210"," 846152706","5340152776"," 405454313"," 761112429"," 676455974","1146542189","1475486776","1589827322","1084906470"," 872762265"," 979168671"," 834328065"," 423487513"," 541911022","1155977089"," 716183731","1191264605"
"ADP / dGDP","27233413340","42707559702","31764731547","30158825403","35907901705","48896109677","38009923180","38674762076","79099081598","20966857392","46257071020","41542498234","32523197781","36179074396","34114914710","41174421263","34784661030","35628315934","31074737792","14702185924","31188236968","42657917284","31947900674","36476180380"
"ADP-D-glucose"," 53776443","125648649","129932157"," 96745366","146964385","232940720","178671939","186172266","264244107"," 66261197","147121641","169485633","100680761","157800454","108694020","105335785","128298714","102486134","137083840","  9731516","195283925"," 74079050"," 26065705"," 81931508"
"agmatine"," 2010489142","13416823664","21817237225","21507819073","12550710792","18693702582"," 9489441191","20495123423"," 6059981309"," 7612391753"," 7489393466"," 8307649836","13127766732","10013972283","11415893028","12232798418"," 9218369378"," 8023346410"," 9004224985"," 9690177300","15769211782","14376374994","16580075481","14640199362"
"AICA ribonucleotide"," 59586495","276141706","138008812","272424049"," 45961342"," 45338643","203671832","316362763","244916711","554725912","285496868","424809695"," 45133210","147850973"," 41012234"," 48797017","150801121","201506254","170645321"," 59871976","204297752","234201844","342253251","201194149"
"a-KG","270420347900","162403413756","172607502825","174296833210","315619437434","379284897450","196409412805","218335595970","293464795507","315255772281","354140013819","261184064553","555708106412","291714400999","342644480092","434956234995","323053225291","149717866365","262448159976","257720503862","312019544203","341282807794","336418761405","280673170187"
"alanine","1.669359e+12","1.627623e+12","1.258836e+12","1.636078e+12","1.615898e+12","1.633768e+12","1.836186e+12","1.511652e+12","1.284602e+12","1.670790e+12","1.322191e+12","1.368843e+12","1.522328e+12","1.466587e+12","1.396879e+12","1.495787e+12","1.390520e+12","1.229779e+12","1.200392e+12","1.581054e+12","1.262301e+12","1.115834e+12","1.001040e+12","1.107719e+12"
"allantoin"," 59051556370","109271713153","102744945238","171464828786","134650696046","140082798373","132838359512","142425419766","158879707448","234171933071"," 81032630600","165773502235"," 99009153130"," 94398305893","136710983414","143936731969","138602628521","147987302075","176961317179"," 77654821743"," 63709170201"," 86557500434","135498047340","125899801048"
"AMP / dGMP"," 76137494780","138300445357","167389586215","120282975858","138404103901","143871200073","139766713990","153415164636","161651557150","130248995123","147607307203","133802625900","112133450756","125334201004","126420444216","113821560267","127010688070","126154720244","146393490996"," 62045434192","130090135260","148820156668","152680689015","145546341519"
"arginine","5.979626e+12","6.338554e+12","4.793303e+12","7.030129e+12","5.513912e+12","6.543404e+12","7.174494e+12","6.839126e+12","9.876846e+12","5.953576e+12","7.583042e+12","7.788631e+12","5.581584e+12","6.604345e+12","6.262811e+12","6.289028e+12","6.425593e+12","6.182283e+12","6.725965e+12","5.726418e+12","5.723834e+12","7.522832e+12","6.333169e+12","6.061366e+12"
"ascorbic acid","1.864798e+11","2.560334e+11","4.646822e+11","1.838207e+11","1.490202e+11","1.581307e+11","2.340031e+11","3.247388e+10","2.566836e+11","1.202993e+11","4.043846e+11","2.032503e+11","6.111364e+11","1.079273e+12","6.947450e+11","5.120221e+11","3.158965e+11","5.378048e+11","5.696818e+11","1.407029e+11","3.711495e+11","4.809952e+11","3.866835e+11","5.859648e+11"
"asparagine","288552246300","522727462596","508296762313","502212269302","514082692569","505000296892","541994965924","526499607757","459092580204","520789878585","619173951885","516229177373","776104288072","718430767497","767448195203","791835217327","706715941722","626718810883","777040453597","542125103072","440602871073","556898236374","553238485461","554120742277"
"aspartic acid","28703055870","43900775388","39968764955","33450990239","30286335823","40267544067","55731154205","44373755721","42882568080","19926427981","45626868714","38778532957","17877760941","50548120404","40848425458","36873510148","26396531895","31642554036","47877643520","19676050792","31503173474","29123162374","21034098929","32844321784"
"ATP / dGTP","2393536420","2584120685","2464800664","1906638288","1842049933","4002320572","3214557743","2514118486","9692215516"," 982711662","5201385413","4126294678","2707728292","2139767041","2935055463","3684804661","3135606749","2137879760","2537530598","2192700263","3111673097","4062683590","2818183844","3322816780"
"b-alanine","1.222619e+12","1.201493e+12","1.086301e+12","1.039072e+12","1.073638e+12","1.035271e+12","1.150353e+12","1.143408e+12","1.015186e+12","1.024013e+12","9.031870e+11","1.029864e+12","7.457334e+11","6.357089e+11","7.166042e+11","7.121533e+11","7.259788e+11","7.134620e+11","6.861958e+11","7.519211e+11","6.792672e+11","7.269926e+11","6.439895e+11","7.321424e+11"
"betaine+","1.678740e+12","2.361361e+12","1.344996e+12","2.481611e+12","2.186537e+12","2.462797e+12","2.701032e+12","2.677628e+12","2.326116e+12","2.767100e+12","8.023638e+11","2.230269e+12","1.757400e+12","1.803477e+12","1.745202e+12","2.191779e+12","2.568965e+12","1.689955e+12","1.905243e+12","1.049655e+12","1.701907e+12","2.081300e+12","2.575045e+12","2.334973e+12"
